# Title: June - August 2000 Contiguous U.S. County Maximum Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,93.8,125,2.9,90.9
AL-003,Baldwin County,Alabama,93.4,127,3.1,90.2
AL-005,Barbour County,Alabama,93.8,127,3.2,90.6
AL-007,Bibb County,Alabama,93.2,118,2.5,90.7
AL-009,Blount County,Alabama,91.3,111,1.9,89.4
AL-011,Bullock County,Alabama,93.5,125,3,90.6
AL-013,Butler County,Alabama,94.4,129,3.6,90.8
AL-015,Calhoun County,Alabama,90.6,99,1.1,89.5
AL-017,Chambers County,Alabama,91.2,112,1.7,89.5
AL-019,Cherokee County,Alabama,90.3,95,0.7,89.6
AL-021,Chilton County,Alabama,92.8,118,2.4,90.4
AL-023,Choctaw County,Alabama,94.2,127,2.9,91.3
AL-025,Clarke County,Alabama,94.2,127,2.9,91.3
AL-027,Clay County,Alabama,90.2,111,1.5,88.7
AL-029,Cleburne County,Alabama,89.1,92,0.7,88.4
AL-031,Coffee County,Alabama,94.2,128,3.4,90.8
AL-033,Colbert County,Alabama,91.4,103,1.5,90
AL-035,Conecuh County,Alabama,94,128,2.6,91.3
AL-037,Coosa County,Alabama,92,114,2,89.9
AL-039,Covington County,Alabama,94,126,2.5,91.5
AL-041,Crenshaw County,Alabama,94.1,128,3.4,90.7
AL-043,Cullman County,Alabama,91.2,109,1.8,89.4
AL-045,Dale County,Alabama,94.6,130,4.1,90.5
AL-047,Dallas County,Alabama,94.1,128,3.3,90.8
AL-049,DeKalb County,Alabama,87.9,85,0.5,87.4
AL-051,Elmore County,Alabama,93.6,122,2.7,90.9
AL-053,Escambia County,Alabama,93.9,126,2.4,91.5
AL-055,Etowah County,Alabama,90.9,110,1.6,89.2
AL-057,Fayette County,Alabama,93.2,115,2.5,90.7
AL-059,Franklin County,Alabama,91.2,107,1.9,89.3
AL-061,Geneva County,Alabama,93.9,127,2.9,91
AL-063,Greene County,Alabama,93.7,119,2.4,91.3
AL-065,Hale County,Alabama,93.6,122,2.7,90.8
AL-067,Henry County,Alabama,94.4,130,3.8,90.6
AL-069,Houston County,Alabama,94.8,130,3.8,91
AL-071,Jackson County,Alabama,88.4,86,0.5,87.9
AL-073,Jefferson County,Alabama,92.5,115,2.3,90.2
AL-075,Lamar County,Alabama,93.6,118,2.7,90.9
AL-077,Lauderdale County,Alabama,90.9,101,1.2,89.8
AL-079,Lawrence County,Alabama,90.9,102,1.4,89.4
AL-081,Lee County,Alabama,92.2,121,2.2,90
AL-083,Limestone County,Alabama,90.7,100,1.3,89.4
AL-085,Lowndes County,Alabama,94.6,129,3.6,91
AL-087,Macon County,Alabama,93.6,125,2.7,90.9
AL-089,Madison County,Alabama,90.1,93,0.9,89.2
AL-091,Marengo County,Alabama,93.9,125,2.9,91
AL-093,Marion County,Alabama,92.3,112,2.4,89.9
AL-095,Marshall County,Alabama,89.6,96,1.1,88.5
AL-097,Mobile County,Alabama,93,126,2.8,90.2
AL-099,Monroe County,Alabama,94.2,129,3,91.1
AL-101,Montgomery County,Alabama,94.4,128,3.3,91.1
AL-103,Morgan County,Alabama,91,102,1.6,89.4
AL-105,Perry County,Alabama,93.5,125,2.9,90.5
AL-107,Pickens County,Alabama,93.9,116,2.6,91.3
AL-109,Pike County,Alabama,93.7,125,3,90.7
AL-111,Randolph County,Alabama,90.1,107,1.3,88.8
AL-113,Russell County,Alabama,93.3,124,2.5,90.8
AL-115,St. Clair County,Alabama,91.6,112,1.9,89.8
AL-117,Shelby County,Alabama,92.4,115,2.1,90.3
AL-119,Sumter County,Alabama,93.6,120,2.5,91.2
AL-121,Talladega County,Alabama,91.6,109,1.6,90.1
AL-123,Tallapoosa County,Alabama,91.8,111,1.7,90.1
AL-125,Tuscaloosa County,Alabama,93.8,119,2.6,91.2
AL-127,Walker County,Alabama,92.7,115,2.4,90.3
AL-129,Washington County,Alabama,94.2,126,2.6,91.7
AL-131,Wilcox County,Alabama,94.4,129,3.4,91
AL-133,Winston County,Alabama,91.2,111,2.1,89.2
AZ-001,Apache County,Arizona,86.4,118,2.8,83.6
AZ-003,Cochise County,Arizona,91.5,77,0.6,90.9
AZ-005,Coconino County,Arizona,88.8,117,2.7,86.1
AZ-007,Gila County,Arizona,93.2,122,2.8,90.4
AZ-009,Graham County,Arizona,92.5,105,1.4,91.1
AZ-011,Greenlee County,Arizona,87.8,109,1.5,86.3
AZ-012,La Paz County,Arizona,104.5,100,1.5,102.9
AZ-013,Maricopa County,Arizona,102.7,93,1.4,101.3
AZ-015,Mohave County,Arizona,96.3,113,2.3,94.1
AZ-017,Navajo County,Arizona,89,121,3.1,85.9
AZ-019,Pima County,Arizona,98.4,88,1,97.4
AZ-021,Pinal County,Arizona,101.1,111,1.8,99.3
AZ-023,Santa Cruz County,Arizona,89.3,64,0.3,89
AZ-025,Yavapai County,Arizona,93.1,111,2.5,90.6
AZ-027,Yuma County,Arizona,104.3,94,1.5,102.8
AR-001,Arkansas County,Arkansas,92.2,104,1.2,91
AR-003,Ashley County,Arkansas,93.8,113,2.2,91.6
AR-005,Baxter County,Arkansas,88.8,77,0.3,88.5
AR-007,Benton County,Arkansas,87.6,71,0.1,87.6
AR-009,Boone County,Arkansas,87.3,66,-0.3,87.5
AR-011,Bradley County,Arkansas,93.3,109,1.6,91.7
AR-013,Calhoun County,Arkansas,93.1,103,1.2,91.9
AR-015,Carroll County,Arkansas,86.8,64,-0.4,87.2
AR-017,Chicot County,Arkansas,93.9,115,2.1,91.8
AR-019,Clark County,Arkansas,92.8,96,0.9,91.9
AR-021,Clay County,Arkansas,89,40,-1.1,90.1
AR-023,Cleburne County,Arkansas,89.7,94,1.1,88.6
AR-025,Cleveland County,Arkansas,92.9,107,1.4,91.5
AR-027,Columbia County,Arkansas,93.7,105,1.8,91.9
AR-029,Conway County,Arkansas,91.7,95,1,90.7
AR-031,Craighead County,Arkansas,90,72,0,90
AR-033,Crawford County,Arkansas,90.6,92,1.1,89.5
AR-035,Crittenden County,Arkansas,92.1,111,1.7,90.4
AR-037,Cross County,Arkansas,91.2,101,0.9,90.2
AR-039,Dallas County,Arkansas,92.5,92,0.8,91.7
AR-041,Desha County,Arkansas,92.5,103,1,91.4
AR-043,Drew County,Arkansas,93,109,1.6,91.4
AR-045,Faulkner County,Arkansas,91.9,100,1.3,90.6
AR-047,Franklin County,Arkansas,90.6,95,1.2,89.3
AR-049,Fulton County,Arkansas,88.5,79,0.5,88
AR-051,Garland County,Arkansas,91.6,95,1.1,90.5
AR-053,Grant County,Arkansas,93.1,106,1.4,91.7
AR-055,Greene County,Arkansas,89.4,57,-0.5,89.9
AR-057,Hempstead County,Arkansas,92.5,90,0.8,91.7
AR-059,Hot Spring County,Arkansas,92.4,94,1,91.4
AR-061,Howard County,Arkansas,91.5,91,0.9,90.6
AR-063,Independence County,Arkansas,89.9,94,0.9,89
AR-065,Izard County,Arkansas,89.3,87,0.8,88.5
AR-067,Jackson County,Arkansas,90.1,91,0.6,89.5
AR-069,Jefferson County,Arkansas,92.8,105,1.5,91.3
AR-071,Johnson County,Arkansas,89.2,86,0.7,88.5
AR-073,Lafayette County,Arkansas,93.5,100,1.4,92.2
AR-075,Lawrence County,Arkansas,89.3,63,-0.2,89.5
AR-077,Lee County,Arkansas,92.5,116,2.1,90.3
AR-079,Lincoln County,Arkansas,92.6,104,1.2,91.3
AR-081,Little River County,Arkansas,92.6,93,1.2,91.4
AR-083,Logan County,Arkansas,91.7,93,1.1,90.5
AR-085,Lonoke County,Arkansas,92.3,102,1.1,91.2
AR-087,Madison County,Arkansas,86,72,0.2,85.9
AR-089,Marion County,Arkansas,88.7,77,0.2,88.5
AR-091,Miller County,Arkansas,93.2,92,1.2,92.1
AR-093,Mississippi County,Arkansas,90.5,83,0.4,90.1
AR-095,Monroe County,Arkansas,92,110,1.5,90.5
AR-097,Montgomery County,Arkansas,90.7,84,0.8,89.9
AR-099,Nevada County,Arkansas,92.9,96,1,91.9
AR-101,Newton County,Arkansas,86,72,0.1,86
AR-103,Ouachita County,Arkansas,93.1,99,1.1,92
AR-105,Perry County,Arkansas,92.2,100,1.3,90.9
AR-107,Phillips County,Arkansas,92.5,114,2,90.5
AR-109,Pike County,Arkansas,91.6,89,0.7,90.9
AR-111,Poinsett County,Arkansas,90.5,85,0.3,90.1
AR-113,Polk County,Arkansas,89.6,91,1.1,88.5
AR-115,Pope County,Arkansas,90.2,88,0.8,89.4
AR-117,Prairie County,Arkansas,92,106,1.2,90.8
AR-119,Pulaski County,Arkansas,92.6,105,1.4,91.3
AR-121,Randolph County,Arkansas,88.9,56,-0.5,89.5
AR-123,St. Francis County,Arkansas,92.1,112,1.8,90.3
AR-125,Saline County,Arkansas,92.2,103,1.3,90.9
AR-127,Scott County,Arkansas,90.7,91,1.1,89.6
AR-129,Searcy County,Arkansas,88.4,93,0.9,87.5
AR-131,Sebastian County,Arkansas,91.8,87,1,90.8
AR-133,Sevier County,Arkansas,92.1,95,1.3,90.8
AR-135,Sharp County,Arkansas,88.9,80,0.4,88.5
AR-137,Stone County,Arkansas,89,96,1.1,87.9
AR-139,Union County,Arkansas,93.7,112,1.9,91.8
AR-141,Van Buren County,Arkansas,89.4,96,1.1,88.3
AR-143,Washington County,Arkansas,87.4,74,0.3,87.1
AR-145,White County,Arkansas,90.8,93,0.9,89.9
AR-147,Woodruff County,Arkansas,91.2,101,1.1,90.2
AR-149,Yell County,Arkansas,91.9,94,1.2,90.7
CA-001,Alameda County,California,80.9,68,0.4,80.5
CA-003,Alpine County,California,73,84,1.3,71.6
CA-005,Amador County,California,87.2,58,0,87.2
CA-007,Butte County,California,89.5,61,0.3,89.3
CA-009,Calaveras County,California,88.2,63,0.1,88.1
CA-011,Colusa County,California,91.8,43,-0.6,92.5
CA-013,Contra Costa County,California,83.6,71,0.4,83.2
CA-015,Del Norte County,California,77.5,108,2.3,75.3
CA-017,El Dorado County,California,83,69,0.3,82.7
CA-019,Fresno County,California,85.6,62,0.4,85.2
CA-021,Glenn County,California,89.8,39,-0.8,90.6
CA-023,Humboldt County,California,78.8,105,2.1,76.7
CA-025,Imperial County,California,105.2,93,1.2,104
CA-027,Inyo County,California,94.2,92,1.5,92.7
CA-029,Kern County,California,93.2,82,1.1,92.2
CA-031,Kings County,California,95,57,0.3,94.7
CA-033,Lake County,California,86,50,-0.1,86.1
CA-035,Lassen County,California,81.7,87,1.7,80
CA-037,Los Angeles County,California,87.4,108,2.2,85.2
CA-039,Madera County,California,87.2,74,0.6,86.6
CA-041,Marin County,California,70,45,-0.3,70.3
CA-043,Mariposa County,California,86.2,75,0.6,85.6
CA-045,Mendocino County,California,80.2,44,-0.4,80.7
CA-047,Merced County,California,91.8,77,0.7,91.1
CA-049,Modoc County,California,81.4,101,2.5,78.9
CA-051,Mono County,California,77.5,101,1.7,75.9
CA-053,Monterey County,California,84.2,57,0.2,84
CA-055,Napa County,California,86.6,58,0.1,86.4
CA-057,Nevada County,California,82,76,0.9,81.1
CA-059,Orange County,California,83,110,2.1,80.9
CA-061,Placer County,California,83.2,70,0.6,82.6
CA-063,Plumas County,California,79.8,86,1.2,78.5
CA-065,Riverside County,California,98.9,107,1.9,97.1
CA-067,Sacramento County,California,90.7,53,-0.1,90.9
CA-069,San Benito County,California,86.2,73,0.6,85.6
CA-071,San Bernardino County,California,98.9,106,2,96.9
CA-073,San Diego County,California,89.6,112,2.5,87
CA-075,San Francisco County,California,69,54,-0.1,69
CA-077,San Joaquin County,California,90.4,71,0.4,90
CA-079,San Luis Obispo County,California,85.8,73,0.6,85.2
CA-081,San Mateo County,California,72.2,58,0.1,72.1
CA-083,Santa Barbara County,California,80.5,100,1.8,78.8
CA-085,Santa Clara County,California,81.6,79,0.6,81
CA-087,Santa Cruz County,California,75.1,48,-0.1,75.3
CA-089,Shasta County,California,87.4,90,1.6,85.8
CA-091,Sierra County,California,78.6,91,1.6,77
CA-093,Siskiyou County,California,80.5,100,2.3,78.2
CA-095,Solano County,California,87.3,71,0.3,86.9
CA-097,Sonoma County,California,78.1,47,-0.2,78.3
CA-099,Stanislaus County,California,90.2,58,0.1,90.1
CA-101,Sutter County,California,93,57,-0.1,93.1
CA-103,Tehama County,California,88.6,55,0.1,88.5
CA-105,Trinity County,California,84.2,91,1.5,82.7
CA-107,Tulare County,California,84.4,72,0.6,83.7
CA-109,Tuolumne County,California,79.8,80,0.8,79
CA-111,Ventura County,California,82.8,106,2.3,80.5
CA-113,Yolo County,California,91.5,48,-0.5,92
CA-115,Yuba County,California,90.6,73,0.7,89.9
CO-001,Adams County,Colorado,89.1,121,3.7,85.5
CO-003,Alamosa County,Colorado,80.7,115,2.8,77.9
CO-005,Arapahoe County,Colorado,88,120,3.6,84.4
CO-007,Archuleta County,Colorado,80.1,123,3.1,77.1
CO-009,Baca County,Colorado,90.6,99,1.6,89
CO-011,Bent County,Colorado,92.8,118,3.2,89.6
CO-013,Boulder County,Colorado,80.4,127,3.4,76.9
CO-014,Broomfield County,Colorado,88.1,119,3.1,85
CO-015,Chaffee County,Colorado,72.5,121,3.3,69.2
CO-017,Cheyenne County,Colorado,90.7,123,4.2,86.5
CO-019,Clear Creek County,Colorado,69.8,123,3,66.8
CO-021,Conejos County,Colorado,75,121,3,72
CO-023,Costilla County,Colorado,77,118,2.8,74.2
CO-025,Crowley County,Colorado,91.5,121,3.4,88.1
CO-027,Custer County,Colorado,75.5,121,2.6,72.9
CO-029,Delta County,Colorado,84.1,123,4.7,79.4
CO-031,Denver County,Colorado,88.7,125,3.5,85.1
CO-033,Dolores County,Colorado,78.5,123,4.1,74.4
CO-035,Douglas County,Colorado,82.9,123,3.4,79.6
CO-037,Eagle County,Colorado,75.2,123,3.6,71.6
CO-039,Elbert County,Colorado,85.8,119,3.4,82.4
CO-041,El Paso County,Colorado,83.7,118,3.1,80.5
CO-043,Fremont County,Colorado,81.2,122,2.9,78.3
CO-045,Garfield County,Colorado,79,122,3.9,75.1
CO-047,Gilpin County,Colorado,72.6,125,3.2,69.4
CO-049,Grand County,Colorado,73.4,123,3.4,70
CO-051,Gunnison County,Colorado,73.8,123,3.6,70.2
CO-053,Hinsdale County,Colorado,67.7,122,3.7,64
CO-055,Huerfano County,Colorado,81.8,121,2.7,79.2
CO-057,Jackson County,Colorado,73.7,124,3.6,70.1
CO-059,Jefferson County,Colorado,81.8,126,3.5,78.4
CO-061,Kiowa County,Colorado,91.6,119,3.4,88.2
CO-063,Kit Carson County,Colorado,89.6,121,3.9,85.7
CO-065,Lake County,Colorado,67.9,119,3.1,64.8
CO-067,La Plata County,Colorado,80.3,122,3.7,76.6
CO-069,Larimer County,Colorado,78.1,127,4,74.2
CO-071,Las Animas County,Colorado,86.8,107,2.2,84.6
CO-073,Lincoln County,Colorado,88.9,120,3.5,85.4
CO-075,Logan County,Colorado,90.2,125,4.4,85.7
CO-077,Mesa County,Colorado,84.4,120,4.3,80.2
CO-079,Mineral County,Colorado,69.5,124,3.2,66.3
CO-081,Moffat County,Colorado,82.9,116,3.7,79.3
CO-083,Montezuma County,Colorado,85.7,122,3.4,82.3
CO-085,Montrose County,Colorado,85.1,121,4.2,80.9
CO-087,Morgan County,Colorado,90,126,4.4,85.5
CO-089,Otero County,Colorado,92.4,121,3.4,89
CO-091,Ouray County,Colorado,76.5,121,4.2,72.3
