agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
0,2025-09-09T00:00:00.000Z,0,1,,2017-08-29T00:00:00.000Z,0,,,,X,0,3,,,1,0,,11,1973-01-01T00:00:00.000Z,2016-09-25T00:00:00.000Z,50000.00,20000.00,0.00,0,RatingEngine,0,152000,56000,2017,1,57079,2,50000.00,762528,0,N,21133,1,20000.00,65000,,,682,,0,0,Hurricane Harvey,30000,0.00,480287,480287,HARRIS COUNTY*,,,1,847253,0,A,0,1,X,1,0,TX,Currently Unavailable,77429,48201,48201552301,482015523012,29.9,-95.6,8929d797-9792-4bf8-bdb9-44e1b4d49d63
0,2025-09-09T00:00:00.000Z,2,1,,2003-09-18T00:00:00.000Z,1,,,,A04,0,3,,,2,0,50,1,1964-07-01T00:00:00.000Z,2000-05-04T00:00:00.000Z,12843.93,4428.58,0.00,0,1,0,93400,20800,2003,1,13844,1,12843.93,59128,1,N,5429,1,4428.58,0,0,,640,,0,0,Hurricane Isabel,30000,0.00,510104,,,,,1,109496,0,A,0,22,,,0,VA,Currently Unavailable,23508,51710,51710002400,517100024001,36.9,-76.3,9fb6abd5-8221-4f27-a900-4f720bc46910
0,2025-09-09T00:00:00.000Z,,1,,2009-03-19T00:00:00.000Z,1,,1.0,15.8,AOB,0,3,158.0,16.7,1,0,10,3,1919-05-02T00:00:00.000Z,1998-02-13T00:00:00.000Z,,,,0,1,0,170400,81100,2009,1,,1,0.00,,0,U,,1,0.00,,0,,,,0,0,,,0.00,120192,,,06,06,1,,,A,0,0,,1,0,FL,Currently Unavailable,33433,12099,12099007607,120990076071,26.4,-80.1,a3bf7c3e-b8a1-45ed-9af6-b268734a9908
0,2025-09-09T00:00:00.000Z,,1,,2005-08-29T00:00:00.000Z,0,,,,X,0,3,,,1,0,,1,1958-07-01T00:00:00.000Z,2005-05-12T00:00:00.000Z,,,,0,7,0,125000,50000,2005,1,,0,0.00,,0,N,,0,0.00,,0,,654,,0,0,Hurricane Katrina,30000,0.00,225199,,,20,20,1,,,A,0,,,,0,LA,Currently Unavailable,70003,22051,22051023600,220510236003,30.0,-90.2,bb6cf898-b431-4d66-a9b4-fe5589311e1b
0,2025-09-09T00:00:00.000Z,,1,,1995-05-08T00:00:00.000Z,0,,,,C,0,3,,,1,0,10,1,1981-01-01T00:00:00.000Z,1993-06-27T00:00:00.000Z,206.05,0.00,0.00,1,7,0,50000,12000,1995,0,706,0,206.05,41040,4,N,,0,0.00,,0,,582,,0,0,Flooding,15000,0.00,225199,,,,,1,0,,R,0,0,,,0,LA,Currently Unavailable,70094,22051,22051027502,220510275021,29.9,-90.2,593af336-6765-4955-8df2-44db8576c3f0
0,2025-09-09T00:00:00.000Z,,1,,2005-08-29T00:00:00.000Z,0,,,,A01,0,3,,,1,0,,2,1970-01-01T00:00:00.000Z,2003-06-10T00:00:00.000Z,70000.00,0.00,0.00,0,1,0,109000,0,2005,0,74495,0,70000.00,90236,4,N,,,0.00,,0,,654,,0,0,Hurricane Katrina,30000,0.00,225203,,,,,1,108718,,A,0,3,,,0,LA,Currently Unavailable,70117,22071,22071001301,220710013014,30.0,-90.0,66a813ed-9d62-4920-b748-c062e32f135e
0,2025-09-09T00:00:00.000Z,,1,,1985-10-29T00:00:00.000Z,0,,0.0,,A02,0,3,,,1,0,10,1,1980-07-01T00:00:00.000Z,1985-07-12T00:00:00.000Z,23205.13,0.00,0.00,1,1,0,58000,0,1985,0,23706,0,23205.13,57900,0,N,,0,0.00,,0,,533,,0,0,Hurricane Juan,,0.00,225199,,,,,0,0,,R,0,3,,,0,LA,Currently Unavailable,70072,22051,22051027701,220510277012,29.9,-90.1,32bb50a5-c340-4c9c-81dc-868e0098766b
0,2025-09-09T00:00:00.000Z,,1,,2005-08-29T00:00:00.000Z,0,3,-2.0,1.5,AO,0,4,,-0.1,2,0,,1,1978-01-15T00:00:00.000Z,1993-05-20T00:00:00.000Z,40216.82,0.00,0.00,1,1,0,250000,100000,2005,1,40717,1,40216.82,188326,4,N,,1,0.00,,0,,654,,0,0,Hurricane Katrina,30000,0.00,225203,,,,,1,190229,,A,0,2,,,0,LA,Currently Unavailable,70126,22071,22071001725,220710017254,30.0,-90.0,155b6358-f327-490c-8e20-5492059da61e
0,2025-09-09T00:00:00.000Z,4,1,,2017-04-29T00:00:00.000Z,0,3,-3.0,882.3,AE,0,,880.2,878.9,2,0,,1,1971-06-01T00:00:00.000Z,2008-07-21T00:00:00.000Z,,,,0,W,0,104500,0,2017,0,,5,0.00,,,N,,,0.00,,0,,,,0,0,,30000,0.00,205187,205187,"TOPEKA, CITY OF",,02,0,,,A,0,0,AE,1,0,KS,Currently Unavailable,66607,20177,20177001100,201770011001,39.1,-95.6,efc1cac6-c830-4521-8919-46110c826d93
0,2025-09-09T00:00:00.000Z,0,1,,2022-09-28T00:00:00.000Z,0,,0.0,7.0,AE,0,3,9998.6,6.7,1,0,,11,1969-01-01T00:00:00.000Z,2021-08-15T00:00:00.000Z,298267.40,91996.93,0.00,0,RatingEngine,0,250000,100000,2022,1,145999,2,149133.70,259439,1,N,10225417,1,91996.93,2250,0,FL0222,,,2,0,Hurricane Ian,30000,0.00,125124,125124,LEE COUNTY*,,,1,322304,0,A,0,19,AE,1,0,FL,Currently Unavailable,33905,12071,12071030202,120710302022,26.7,-81.7,f7d94769-54e0-4cb9-acbf-a219d9b5e309
