"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"01001",831,72778000
2000,"01003",2933,301169000
2000,"01005",237,13977000
2000,"01007",272,13339000
2000,"01009",729,55125000
2000,"01011",62,3114000
2000,"01013",167,9087000
2000,"01015",1321,93184000
2000,"01017",329,15941000
2000,"01019",190,11265000
2000,"01021",524,28031000
2000,"01023",139,5363000
2000,"01025",288,13291000
2000,"01027",139,5755000
2000,"01029",123,8567000
2000,"01031",448,33556000
2000,"01033",626,43115000
2000,"01035",99,3645000
2000,"01037",54,2969000
2000,"01039",279,13330000
2000,"01041",93,4075000
2000,"01043",785,51594000
2000,"01045",436,24737000
2000,"01047",446,24131000
2000,"01049",512,27084000
2000,"01051",1215,107099000
2000,"01053",332,15761000
2000,"01055",1016,73894000
2000,"01057",109,5885000
2000,"01059",183,10223000
2000,"01061",165,7488000
2000,"01063",74,2861000
2000,"01065",159,7655000
2000,"01067",175,9779000
2000,"01069",1326,107590000
2000,"01071",382,23922000
2000,"01073",9139,967419000
2000,"01075",85,3811000
2000,"01077",1150,95960000
2000,"01079",477,25648000
2000,"01081",1739,146899000
2000,"01083",972,81213000
2000,"01085",118,5557000
2000,"01087",151,7229000
2000,"01089",5523,592087000
2000,"01091",154,6374000
2000,"01093",161,8547000
2000,"01095",914,64064000
2000,"01097",5007,418187000
2000,"01099",192,9665000
2000,"01101",3269,326981000
2000,"01103",1806,149037000
2000,"01105",84,3027000
2000,"01107",104,4905000
2000,"01109",307,17930000
2000,"01111",179,10065000
2000,"01113",494,31265000
2000,"01115",1109,78325000
2000,"01117",4211,550557000
2000,"01119",113,4507000
2000,"01121",796,43940000
2000,"01123",404,26522000
2000,"01125",2371,218467000
2000,"01127",717,39500000
2000,"01129",136,5496000
2000,"01131",122,4707000
2000,"01133",129,6427000
2000,"02013",1,16000
2000,"02016",2,398000
2000,"02020",4928,730894000
2000,"02050",16,2647000
2000,"02060",0,0
2000,"02068",1,162000
2000,"02070",9,1166000
2000,"02090",328,40259000
2000,"02100",2,231000
2000,"02105",0,0
2000,"02110",179,30080000
2000,"02122",83,10174000
2000,"02130",57,7770000
2000,"02150",44,6318000
2000,"02164",1,180000
2000,"02170",395,48855000
2000,"02180",18,2302000
2000,"02185",9,1245000
2000,"02188",2,336000
2000,"02195",10,777000
2000,"02198",10,342000
2000,"02220",33,5376000
2000,"02240",8,581000
2000,"02261",69,5563000
2000,"02270",0,0
2000,"02275",2,181000
2000,"02282",4,223000
2000,"02290",0,29000
2000,"04001",432,21164000
2000,"04003",1266,109709000
2000,"04005",1578,187333000
2000,"04007",618,63831000
