IBRC_Geo_ID,Statefips,Countyfips,Description,Year,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
0,0,000,U.S.,2000,282162411,19178293,53197896,27315274,84973340,62428040,35069568,72376189,150287588,59498634,138443407,143719004
0,0,000,U.S.,2001,284968955,19298217,53372958,27992652,84523274,64491563,35290291,72671175,151902194,60395586,139891492,145077463
0,0,000,U.S.,2002,287625193,19429192,53507265,28480708,83990295,66695526,35522207,72936457,152463197,62225539,141230559,146394634
0,0,000,U.S.,2003,290107933,19592446,53508312,28916746,83398001,68828899,35863529,73100758,153134701,63872474,142428897,147679036
0,0,000,U.S.,2004,292805298,19785885,53511850,29302179,83066831,70935234,36203319,73297735,153998940,65508623,143828012,148977286
0,0,000,U.S.,2005,295516599,19917400,53606269,29441546,82764185,73137401,36649798,73523669,154701635,67291295,145197078,150319521
0,0,000,U.S.,2006,298379912,19938883,53818831,29602839,82638980,75216272,37164107,73757714,155527978,69094220,146647265,151732647
0,0,000,U.S.,2007,301231207,20125962,53893443,29808025,82509693,77068373,37825711,74019405,156257657,70954145,148064854,153166353
0,0,000,U.S.,2008,304093966,20271127,53833475,30194274,82399959,78617510,38777621,74104602,157054680,72934684,149489951,154604015
0,0,000,U.S.,2009,306771529,20244518,53889649,30530346,82211153,80272688,39623175,74134167,157608587,75028775,150807454,155964075
0,0,000,U.S.,2010,309327143,20189578,53933055,30764105,82192810,81769346,40478249,74122633,157943372,77261138,152077478,157249665
0,0,000,U.S.,2011,311583481,20126211,53790597,31086530,82434730,82794522,41350891,73916808,158247149,79419524,153212980,158370501
0,0,000,U.S.,2012,313877662,19980936,53732038,31384903,82815744,82831830,43132211,73712974,158456612,81708076,154397027,159480635
0,0,000,U.S.,2013,316059947,19855184,53736550,31506349,83300574,83028953,44632337,73591734,158556188,83912025,155514054,160545893
0,0,000,U.S.,2014,318386329,19878806,53714411,31437973,83879109,83315025,46161005,73593217,158646547,86146565,156695810,161690519
0,0,000,U.S.,2015,320738994,19924706,53729014,31156188,84513865,83759351,47655870,73653720,158683158,88402116,157906843,162832151
0,0,000,U.S.,2016,323071755,19936737,53762556,30829797,85239027,84095159,49208479,73699293,158772112,90600350,159085693,163986062
0,0,000,U.S.,2017,325122128,19895016,53737320,30543639,86087763,84100751,50757639,73632336,158858451,92631341,160113445,165008683
0,0,000,U.S.,2018,326838199,19778527,53606974,30396002,86911154,83790937,52354605,73385501,158878816,94573882,160960513,165877686
0,0,000,U.S.,2019,328329953,19571339,53517336,30234867,87678128,83291548,54036735,73088675,158773318,96467960,161692336,166637617
0,0,000,U.S.,2020,331577720,19294289,54972482,30099855,88593237,84158286,54459571,74266771,159794724,97503857,164243648,167334072
0,0,000,U.S.,2021,332099760,18852206,54787178,30123975,88954733,83489404,55892264,73639384,159777532,98669920,164443697,167656063
0,0,000,U.S.,2022,334017321,18710954,54692234,30456842,89720736,82931518,57505037,73403188,160764638,99778216,165335932,168681389
0,0,000,U.S.,2023,336806231,18632397,54636018,30863216,90761574,82586319,59326707,73268415,162270338,101102772,166706095,170100136
0,0,000,U.S.,2024,340110988,18599314,54533406,31363181,91993088,82442081,61179918,73132720,164136625,102841643,168337882,171773106
1000,01,000,Alabama,2000,4452173,295185,827088,442244,1284371,1022405,580880,1122273,2331379,998521,2149338,2302835
1000,01,000,Alabama,2001,4467634,296624,823785,447963,1266952,1048479,583831,1120409,2338370,1008855,2158138,2309496
1000,01,000,Alabama,2002,4480089,296046,820544,450657,1249808,1077429,585605,1116590,2330371,1033128,2165719,2314370
1000,01,000,Alabama,2003,4503491,295204,817879,456549,1238460,1105027,590372,1113083,2334366,1056042,2179422,2324069
1000,01,000,Alabama,2004,4530729,295970,817692,457934,1231571,1133736,593826,1113662,2337878,1079189,2192872,2337857
1000,01,000,Alabama,2005,4569805,296441,820788,458170,1228586,1163718,602102,1117229,2345987,1106589,2213382,2356423
1000,01,000,Alabama,2006,4628981,297222,829576,459114,1233767,1196222,613080,1126798,2364791,1137392,2243501,2385480
1000,01,000,Alabama,2007,4672840,300300,831996,462996,1232608,1222870,622070,1132296,2376399,1164145,2265565,2407275
1000,01,000,Alabama,2008,4718206,304842,830085,470431,1231410,1244494,636944,1134927,2389995,1193284,2287949,2430257
1000,01,000,Alabama,2009,4757938,305412,828780,476884,1232200,1265621,649041,1134192,2401818,1221928,2309779,2448159
1000,01,000,Alabama,2010,4785514,304246,826193,479777,1228758,1285698,660842,1130439,2401885,1253190,2323013,2462501
1000,01,000,Alabama,2011,4799642,302855,821098,481780,1225368,1296493,672048,1123953,2393367,1282322,2328518,2471124
1000,01,000,Alabama,2012,4816632,299329,817640,485538,1225621,1290419,698085,1116969,2386228,1313435,2336196,2480436
1000,01,000,Alabama,2013,4831586,294814,815458,486928,1227430,1287237,719719,1110272,2379388,1341926,2343135,2488451
1000,01,000,Alabama,2014,4843737,293680,812537,480897,1229245,1285386,741992,1106217,2366655,1370865,2348012,2495725
1000,01,000,Alabama,2015,4854803,294097,809062,471910,1230689,1286744,762301,1103159,2351777,1399867,2352806,2501997
1000,01,000,Alabama,2016,4866824,294616,805845,462098,1231213,1289047,784005,1100461,2337301,1429062,2357211,2509613
1000,01,000,Alabama,2017,4877989,294572,802005,455547,1233167,1287432,805266,1096577,2325223,1456189,2360503,2517486
1000,01,000,Alabama,2018,4891628,295520,797079,453230,1236516,1282303,826980,1092599,2316986,1482043,2365445,2526183
1000,01,000,Alabama,2019,4907965,294274,794453,450764,1242294,1274660,851520,1088727,2309910,1509328,2371832,2536133
1000,01,000,Alabama,2020,5033094,297347,832329,467246,1270670,1299444,866058,1129676,2364124,1539193,2446816,2586278
1000,01,000,Alabama,2021,5049196,294227,833920,475424,1277137,1287898,880590,1128147,2372657,1550979,2453002,2596194
1000,01,000,Alabama,2022,5076181,293480,836216,478391,1285214,1279704,903176,1129696,2382840,1566349,2465853,2610328
1000,01,000,Alabama,2023,5117673,294447,839471,482743,1296732,1274413,929867,1133918,2399292,1586378,2484555,2633118
1000,01,000,Alabama,2024,5157699,295446,839411,488175,1309411,1269355,955901,1134857,2417153,1605689,2503170,2654529
1001,01,001,"Autauga County, AL",2000,44021,3029,9538,3520,13444,9959,4531,12567,22673,8781,21385,22636
1001,01,001,"Autauga County, AL",2001,44889,3120,9574,3654,13507,10367,4667,12694,23155,9040,21813,23076
1001,01,001,"Autauga County, AL",2002,45909,3191,9864,3661,13696,10680,4817,13055,23444,9410,22362,23547
1001,01,001,"Autauga County, AL",2003,46800,3192,10110,3768,13713,11023,4994,13302,23783,9715,22760,24040
1001,01,001,"Autauga County, AL",2004,48366,3353,10389,4015,13958,11461,5190,13742,24593,10031,23512,24854
