IBRC_Geo_ID,Year,Total Population
0,2021,332099760
0,2022,334017321
0,2023,336806231
0,2024,340110988
1000,2000,4452173
1000,2001,4467634
1000,2002,4480089
1000,2003,4503491
1000,2004,4530729
1000,2005,4569805
1000,2006,4628981
1000,2007,4672840
1000,2008,4718206
1000,2009,4757938
1000,2010,4785514
1000,2011,4799642
1000,2012,4816632
1000,2013,4831586
1000,2014,4843737
1000,2015,4854803
1000,2016,4866824
1000,2017,4877989
1000,2018,4891628
1000,2019,4907965
1000,2020,5033094
1000,2021,5049196
1000,2022,5076181
1000,2023,5117673
1000,2024,5157699
1001,2000,44021
1001,2001,44889
1001,2002,45909
1001,2003,46800
1001,2004,48366
1001,2005,49676
1001,2006,51328
1001,2007,52405
1001,2008,53277
1001,2009,54135
1001,2010,54761
1001,2011,55229
1001,2012,54970
1001,2013,54747
1001,2014,54922
1001,2015,54903
1001,2016,55302
1001,2017,55448
1001,2018,55533
1001,2019,55769
1001,2020,58909
1001,2021,59191
1001,2022,59736
1001,2023,60436
1001,2024,61464
1003,2000,141342
1003,2001,144875
1003,2002,147957
1003,2003,151509
1003,2004,156266
1003,2005,162183
1003,2006,168121
1003,2007,172404
1003,2008,175827
1003,2009,179406
1003,2010,183121
1003,2011,186579
1003,2012,190203
1003,2013,194978
1003,2014,199306
1003,2015,203101
1003,2016,207787
1003,2017,212737
1003,2018,218071
1003,2019,223565
1003,2020,233244
1003,2021,239411
1003,2022,246577
1003,2023,254107
1003,2024,261608
1005,2000,29015
1005,2001,28863
1005,2002,28653
1005,2003,28594
1005,2004,28287
1005,2005,28027
1005,2006,27861
1005,2007,27757
1005,2008,27808
1005,2009,27657
1005,2010,27325
1005,2011,27344
1005,2012,27172
1005,2013,26946
1005,2014,26768
1005,2015,26300
1005,2016,25828
1005,2017,25169
1005,2018,24887
1005,2019,24657
1005,2020,24975
1005,2021,24517
1005,2022,24722
1005,2023,24644
1005,2024,24358
1007,2000,19913
1007,2001,21028
1007,2002,21199
1007,2003,21399
1007,2004,21721
1007,2005,22042
1007,2006,22099
1007,2007,22438
1007,2008,22705
1007,2009,22941
1007,2010,22858
1007,2011,22736
1007,2012,22657
1007,2013,22510
1007,2014,22541
1007,2015,22553
1007,2016,22590
1007,2017,22532
1007,2018,22300
1007,2019,22313
1007,2020,22176
1007,2021,22344
1007,2022,21983
1007,2023,21890
1007,2024,22258
1009,2000,51107
1009,2001,51845
1009,2002,52551
1009,2003,53457
1009,2004,54124
1009,2005,54624
1009,2006,55485
1009,2007,56240
1009,2008,57055
1009,2009,57341
1009,2010,57372
1009,2011,57561
1009,2012,57585
1009,2013,57630
1009,2014,57536
1009,2015,57535
1009,2016,57487
1009,2017,57801
1009,2018,57770
1009,2019,57840
1009,2020,59110
1009,2021,59050
1009,2022,59491
1009,2023,59777
1009,2024,60163
1011,2000,11581
1011,2001,11358
1011,2002,11256
1011,2003,11316
1011,2004,11056
1011,2005,11011
1011,2006,10776
1011,2007,11011
1011,2008,10953
1011,2009,10987
1011,2010,10876
1011,2011,10680
1011,2012,10610
1011,2013,10557
1011,2014,10668
1011,2015,10404
1011,2016,10397
1011,2017,10181
1011,2018,10165
1011,2019,10144
1011,2020,10230
1011,2021,10126
1011,2022,10126
1011,2023,9908
1011,2024,9901
1013,2000,21325
1013,2001,21139
1013,2002,20803
1013,2003,20833
1013,2004,20870
1013,2005,20830
1013,2006,20815
1013,2007,20894
1013,2008,20949
1013,2009,20867
1013,2010,20933
1013,2011,20867
1013,2012,20672
1013,2013,20359
1013,2014,20332
1013,2015,20168
1013,2016,20040
1013,2017,19911
1013,2018,19675
1013,2019,19501
1013,2020,19027
1013,2021,18856
1013,2022,18652
1013,2023,18357
1013,2024,18256
1015,2000,111081
1015,2001,111266
1015,2002,111625
1015,2003,112705
1015,2004,113462
1015,2005,114477
1015,2006,115388
1015,2007,116211
1015,2008,117274
1015,2009,118363
1015,2010,118420
1015,2011,117767
1015,2012,117227
1015,2013,116528
1015,2014,115991
1015,2015,115550
1015,2016,115036
1015,2017,114746
1015,2018,114298
1015,2019,114070
1015,2020,116242
1015,2021,115633
1015,2022,115744
1015,2023,116403
1015,2024,116427
1017,2000,36571
1017,2001,36274
1017,2002,35965
1017,2003,35680
1017,2004,35463
1017,2005,35279
1017,2006,34945
1017,2007,34847
1017,2008,34563
1017,2009,34384
1017,2010,34105
1017,2011,34016
1017,2012,34088
1017,2013,34125
1017,2014,33964
1017,2015,33991
1017,2016,33742
1017,2017,33716
1017,2018,33570
1017,2019,33244
1017,2020,34572
1017,2021,34396
1017,2022,34093
1017,2023,34087
1017,2024,33813
1019,2000,24006
1019,2001,24182
1019,2002,24403
1019,2003,24591
1019,2004,24887
1019,2005,25031
1019,2006,25466
1019,2007,25553
1019,2008,25636
1019,2009,25854
1019,2010,25968
1019,2011,25993
1019,2012,25961
1019,2013,26022
1019,2014,25900
1019,2015,25739
1019,2016,25769
1019,2017,25822
1019,2018,26035
1019,2019,26254
1019,2020,24981
1019,2021,25060
1019,2022,25334
1019,2023,25700
1019,2024,26138
1021,2000,39897
1021,2001,40197
1021,2002,40683
1021,2003,41079
1021,2004,41534
1021,2005,41946
1021,2006,42318
1021,2007,42881
1021,2008,43239
1021,2009,43484
1021,2010,43645
1021,2011,43682
1021,2012,43572
1021,2013,43617
1021,2014,43751
1021,2015,43693
1021,2016,43854
1021,2017,44085
1021,2018,44084
1021,2019,44313
1021,2020,45060
1021,2021,45255
1021,2022,45856
1021,2023,46525
1021,2024,47262
1023,2000,15875
1023,2001,15677
1023,2002,15367
1023,2003,15199
1023,2004,14930
1023,2005,14545
1023,2006,14431
1023,2007,14216
1023,2008,14114
1023,2009,13976
1023,2010,13848
1023,2011,13608
1023,2012,13565
1023,2013,13401
1023,2014,13322
1023,2015,13237
1023,2016,13049
1023,2017,12923
1023,2018,12810
1023,2019,12577
1023,2020,12622
1023,2021,12544
1023,2022,12420
1023,2023,12263
1023,2024,12052
1025,2000,27819
1025,2001,27624
1025,2002,27267
1025,2003,27090
1025,2004,26958
1025,2005,26764
1025,2006,26755
1025,2007,26436
1025,2008,26283
1025,2009,26038
1025,2010,25767
1025,2011,25589
1025,2012,25161
1025,2013,25131
1025,2014,24873
1025,2015,24711
1025,2016,24342
1025,2017,24083
1025,2018,23965
1025,2019,23651
1025,2020,22989
1025,2021,22735
1025,2022,22545
1025,2023,22305
1025,2024,22142
1027,2000,14263
1027,2001,14298
1027,2002,14257
1027,2003,14203
1027,2004,14121
1027,2005,14077
1027,2006,14053
1027,2007,14085
1027,2008,14161
1027,2009,14006
1027,2010,13897
1027,2011,13687
1027,2012,13433
1027,2013,13406
1027,2014,13443
1027,2015,13415
1027,2016,13393
1027,2017,13355
1027,2018,13301
1027,2019,13265
1027,2020,14210
1027,2021,14156
1027,2022,14198
1027,2023,14157
1027,2024,14239
1029,2000,14172
1029,2001,14222
1029,2002,14416
1029,2003,14438
1029,2004,14339
1029,2005,14368
1029,2006,14538
1029,2007,14799
1029,2008,14874
1029,2009,14918
1029,2010,15004
1029,2011,14928
1029,2012,14889
1029,2013,14974
1029,2014,15029
1029,2015,14923
1029,2016,14871
1029,2017,14924
1029,2018,15047
1029,2019,14952
1029,2020,15063
1029,2021,15151
1029,2022,15353
1029,2023,15658
1029,2024,15905
1031,2000,43580
1031,2001,43716
1031,2002,43930
1031,2003,44315
1031,2004,45053
1031,2005,45604
1031,2006,46228
1031,2007,47458
1031,2008,48516
1031,2009,49440
1031,2010,50204
1031,2011,50449
1031,2012,51159
1031,2013,50709
1031,2014,50693
1031,2015,51004
1031,2016,51281
1031,2017,51943
1031,2018,52097
1031,2019,52639
1031,2020,53565
1031,2021,54201
1031,2022,54769
1031,2023,55707
1031,2024,56358
1033,2000,54997
