fips,year,prop_rate
1001,2000,
1001,2001,
1001,2002,
1001,2003,0.245
1001,2004,0.245
1001,2005,0.245
1001,2006,0.245
1001,2007,0.275
1001,2008,0.275
1001,2009,0.275
1001,2010,0.275
1001,2011,0.275
1001,2012,0.275
1001,2013,0.265
1001,2014,0.265
1001,2015,0.265
1001,2016,
1001,2017,
1001,2018,
1001,2019,
1001,2020,
1003,2000,
1003,2001,
1003,2002,
1003,2003,0.285
1003,2004,0.285
1003,2005,0.285
1003,2006,0.285
1003,2007,0.275
1003,2008,0.275
1003,2009,0.275
1003,2010,0.275
1003,2011,0.275
1003,2012,0.275
1003,2013,0.275
1003,2014,0.275
1003,2015,0.275
1003,2016,
1003,2017,
1003,2018,
1003,2019,
1003,2020,
1005,2000,
1005,2001,
1005,2002,
1005,2003,0.345
1005,2004,0.345
1005,2005,0.345
1005,2006,0.32
1005,2007,0.32
1005,2008,0.32
1005,2009,0.32999998
1005,2010,0.32999998
1005,2011,0.32999998
1005,2012,0.32999998
1005,2013,0.32999998
1005,2014,0.32999998
1005,2015,0.32999998
1005,2016,
1005,2017,
1005,2018,
1005,2019,
1005,2020,
1007,2000,
1007,2001,
1007,2002,
1007,2003,0.215
1007,2004,0.215
1007,2005,0.215
1007,2006,0.215
1007,2007,0.245
1007,2008,0.245
1007,2009,0.245
1007,2010,0.245
1007,2011,0.245
1007,2012,0.245
1007,2013,0.245
1007,2014,0.245
1007,2015,0.245
1007,2016,
1007,2017,
1007,2018,
1007,2019,
1007,2020,
1009,2000,
1009,2001,
1009,2002,
1009,2003,0.3175
1009,2004,0.3175
1009,2005,0.3175
1009,2006,0.3175
1009,2007,0.3375
1009,2008,0.35250002
1009,2009,0.35250002
1009,2010,0.3375
1009,2011,0.3375
1009,2012,0.3375
1009,2013,0.3375
1009,2014,0.3375
1009,2015,0.32999998
1009,2016,
1009,2017,
1009,2018,
1009,2019,
1009,2020,
1011,2000,
1011,2001,
1011,2002,
1011,2003,0.4675
1011,2004,0.4675
1011,2005,0.4675
1011,2006,0.4675
1011,2007,0.4675
1011,2008,0.4675
1011,2009,0.4675
1011,2010,0.4675
1011,2011,0.4675
1011,2012,0.4675
1011,2013,0.4675
1011,2014,0.4675
1011,2015,0.4675
1011,2016,
1011,2017,
1011,2018,
1011,2019,
1011,2020,
1013,2000,
1013,2001,
1013,2002,
1013,2003,0.35999998
1013,2004,0.35999998
1013,2005,0.35999998
1013,2006,0.35999998
1013,2007,0.35999998
1013,2008,0.35999998
1013,2009,0.35999998
1013,2010,0.35999998
1013,2011,0.35999998
1013,2012,0.35999998
1013,2013,0.35999998
1013,2014,0.35999998
1013,2015,0.35999998
1013,2016,
1013,2017,
1013,2018,
1013,2019,
1013,2020,
1015,2000,
1015,2001,
1015,2002,
1015,2003,0.35000002
1015,2004,0.35000002
1015,2005,0.35000002
1015,2006,0.35000002
1015,2007,0.35000002
1015,2008,0.37
1015,2009,0.35000002
1015,2010,0.35000002
1015,2011,0.35000002
1015,2012,0.35000002
1015,2013,0.35000002
1015,2014,0.35000002
1015,2015,0.35000002
1015,2016,
1015,2017,
1015,2018,
1015,2019,
1015,2020,
1017,2000,
1017,2001,
1017,2002,
1017,2003,0.379
1017,2004,0.379
1017,2005,0.379
1017,2006,0.379
1017,2007,0.379
1017,2008,0.379
1017,2009,0.379
1017,2010,0.379
1017,2011,0.37
1017,2012,0.37
1017,2013,0.37
1017,2014,0.41
1017,2015,0.41
1017,2016,
1017,2017,
1017,2018,
1017,2019,
1017,2020,
1019,2000,
1019,2001,
1019,2002,
1019,2003,0.405
1019,2004,0.405
1019,2005,0.405
1019,2006,0.405
1019,2007,0.405
1019,2008,0.405
1019,2009,0.405
1019,2010,0.405
1019,2011,0.405
1019,2012,0.4
1019,2013,0.405
1019,2014,0.405
1019,2015,0.405
1019,2016,
1019,2017,
1019,2018,
1019,2019,
1019,2020,
1021,2000,
1021,2001,
1021,2002,
1021,2003,0.39
1021,2004,0.39
1021,2005,0.39
1021,2006,0.39
1021,2007,0.41
1021,2008,0.41
1021,2009,0.41
1021,2010,0.39499998
1021,2011,0.41
1021,2012,0.4025
1021,2013,0.4175
1021,2014,0.4175
1021,2015,0.4175
1021,2016,
1021,2017,
1021,2018,
1021,2019,
1021,2020,
1023,2000,
1023,2001,
1023,2002,
1023,2003,0.285
1023,2004,0.285
1023,2005,0.285
1023,2006,0.285
1023,2007,0.285
1023,2008,0.285
1023,2009,0.285
1023,2010,0.285
1023,2011,0.285
1023,2012,0.285
1023,2013,0.285
1023,2014,0.285
1023,2015,0.285
1023,2016,
1023,2017,
1023,2018,
1023,2019,
1023,2020,
1025,2000,
1025,2001,
1025,2002,
1025,2003,0.315
1025,2004,0.315
1025,2005,0.315
1025,2006,0.315
1025,2007,0.315
1025,2008,0.315
1025,2009,0.315
1025,2010,0.315
1025,2011,0.315
1025,2012,0.315
1025,2013,0.315
1025,2014,0.315
1025,2015,0.315
1025,2016,
1025,2017,
1025,2018,
1025,2019,
1025,2020,
1027,2000,
1027,2001,
1027,2002,
1027,2003,0.32
1027,2004,0.32
1027,2005,0.32
1027,2006,0.32
1027,2007,0.32
1027,2008,0.32
1027,2009,0.32
1027,2010,0.32
1027,2011,0.32
1027,2012,0.32
1027,2013,0.32
1027,2014,0.32
1027,2015,0.32
1027,2016,
1027,2017,
1027,2018,
1027,2019,
1027,2020,
1029,2000,
1029,2001,
1029,2002,
1029,2003,0.425
1029,2004,0.425
1029,2005,0.425
1029,2006,0.425
1029,2007,0.425
1029,2008,0.425
1029,2009,0.425
1029,2010,0.425
1029,2011,0.425
1029,2012,0.425
1029,2013,0.425
1029,2014,0.425
1029,2015,0.425
1029,2016,
1029,2017,
1029,2018,
1029,2019,
1029,2020,
1031,2000,
1031,2001,
1031,2002,
1031,2003,0.265
1031,2004,0.265
1031,2005,0.265
1031,2006,0.265
1031,2007,0.265
1031,2008,0.265
1031,2009,0.265
1031,2010,0.265
1031,2011,0.265
1031,2012,0.265
1031,2013,0.265
1031,2014,0.265
1031,2015,0.265
1031,2016,
1031,2017,
1031,2018,
1031,2019,
1031,2020,
1033,2000,
1033,2001,
1033,2002,
1033,2003,0.275
1033,2004,0.275
1033,2005,0.275
1033,2006,0.275
1033,2007,0.275
1033,2008,0.275
1033,2009,0.275
1033,2010,0.275
1033,2011,0.275
1033,2012,0.275
1033,2013,0.265
1033,2014,0.2875
1033,2015,0.2875
1033,2016,
1033,2017,
1033,2018,
1033,2019,
1033,2020,
1035,2000,
1035,2001,
1035,2002,
1035,2003,0.32500002
1035,2004,0.32500002
1035,2005,0.32500002
1035,2006,0.32500002
1035,2007,0.32999998
1035,2008,0.32999998
1035,2009,0.32999998
1035,2010,0.32999998
1035,2011,0.32999998
1035,2012,0.32999998
1035,2013,0.32999998
1035,2014,0.32999998
1035,2015,0.32999998
1035,2016,
1035,2017,
1035,2018,
1035,2019,
1035,2020,
1037,2000,
1037,2001,
1037,2002,
1037,2003,0.245
1037,2004,0.245
1037,2005,0.245
1037,2006,0.245
1037,2007,0.245
1037,2008,0.245
1037,2009,0.245
1037,2010,0.245
1037,2011,0.245
1037,2012,0.245
1037,2013,0.245
1037,2014,0.245
1037,2015,0.245
1037,2016,
1037,2017,
1037,2018,
1037,2019,
1037,2020,
1039,2000,
1039,2001,
1039,2002,
1039,2003,0.275
1039,2004,0.275
1039,2005,0.275
1039,2006,0.275
1039,2007,0.275
1039,2008,0.275
1039,2009,0.275
1039,2010,0.275
1039,2011,0.275
1039,2012,0.275
1039,2013,0.275
1039,2014,0.275
1039,2015,0.275
1039,2016,
1039,2017,
1039,2018,
1039,2019,
1039,2020,
1041,2000,
1041,2001,
1041,2002,
1041,2003,0.345
1041,2004,0.345
1041,2005,0.345
1041,2006,0.345
1041,2007,0.365
1041,2008,0.365
1041,2009,0.365
1041,2010,0.365
1041,2011,0.365
1041,2012,0.365
1041,2013,0.365
1041,2014,0.365
1041,2015,0.365
1041,2016,
1041,2017,
1041,2018,
1041,2019,
1041,2020,
1043,2000,
1043,2001,
1043,2002,
1043,2003,0.185
1043,2004,0.185
1043,2005,0.185
1043,2006,0.185
1043,2007,0.215
1043,2008,0.215
1043,2009,0.215
1043,2010,0.215
1043,2011,0.215
1043,2012,0.215
1043,2013,0.215
1043,2014,0.215
1043,2015,0.215
1043,2016,
1043,2017,
1043,2018,
1043,2019,
1043,2020,
1045,2000,
1045,2001,
1045,2002,
1045,2003,0.265
1045,2004,0.265
1045,2005,0.265
1045,2006,0.265
1045,2007,0.265
1045,2008,0.265
1045,2009,0.265
1045,2010,0.275
1045,2011,0.275
1045,2012,0.275
1045,2013,0.275
1045,2014,0.28
1045,2015,0.28
1045,2016,
1045,2017,
1045,2018,
1045,2019,
1045,2020,
1047,2000,
1047,2001,
1047,2002,
1047,2003,0.45
1047,2004,0.45
1047,2005,0.45
1047,2006,0.45
1047,2007,0.45
1047,2008,0.45
1047,2009,0.45
1047,2010,0.45
1047,2011,0.45
1047,2012,0.45
1047,2013,0.45
1047,2014,0.45
1047,2015,0.45
1047,2016,
1047,2017,
1047,2018,
1047,2019,
1047,2020,
1049,2000,
1049,2001,
1049,2002,
1049,2003,0.34
1049,2004,0.34
1049,2005,0.34
1049,2006,0.34
1049,2007,0.34
1049,2008,0.34
1049,2009,0.34
1049,2010,0.34
1049,2011,0.34
