ZIP_CODE,CITY_NAME,COUNTY_NAME,COUNTY_FIPS_CODE,STATE_CODE,EXPECTED_ANNUAL_LOSS,RESILIENCE_SCORE,SOCIAL_VULNERABILITY_SCORE,AVG_CURRENT_COST_INSURANCE,AVG_COST_RISK_BASED_INSURANCE,AVG_LISTING_PRICE_REALTOR,CLIMATE_INVESTMENT_RISK_INDEX,UPDATED_AT
94706,Albany,Alameda County,06001,CA,1013064.464773169,77.580671759,38.799839237,830,973,857331,55.503251287,2025-07-31
94587,Union City,Alameda County,06001,CA,3062828.346694881,77.610000463,49.509106589,889,1324,1185712,50.697296182,2025-07-31
94551,Livermore,Alameda County,06001,CA,3123437.6172294,77.550623627,36.15252273,875,1712,1315553,56.046635002,2025-07-31
94708,Berkeley,Alameda County,06001,CA,1310459.613169149,75.466994705,6.748279995,574,628,2026737,61.662173391,2025-07-31
94560,Newark,Alameda County,06001,CA,3643509.99768785,77.610000688,40.951769134,804,985,1240451,48.99505708,2025-07-31
94539,Fremont,Alameda County,06001,CA,5557729.114768132,77.610000502,26.857256937,676,1483,2171957,52.594650117,2025-07-31
94538,Fremont,Alameda County,06001,CA,5386465.612370564,77.610000548,45.975205533,729,784,1379432,42.314596951,2025-07-31
94541,Hayward,Alameda County,06001,CA,1786284.647591083,77.610000688,74.046908554,877,1283,859682,43.911506619,2025-07-31
94588,Pleasanton,Alameda County,06001,CA,5154943.928503832,77.480735845,27.498439132,958,2582,1755630,53.477635541,2025-07-31
94705,Berkeley,Alameda County,06001,CA,1715073.33809556,77.610000766,24.647406283,677,823,2418954,47.367919748,2025-07-31
94580,San Lorenzo,Alameda County,06001,CA,1431707.26778804,77.610000766,61.130323659,803,1077,845852,55.61926219,2025-07-31
94566,Pleasanton,Alameda County,06001,CA,3328696.581661332,77.610000688,32.627002204,717,2264,2127639,53.376950377,2025-07-31
94611,Oakland,Alameda County,06001,CA,2211320.155453107,77.578871806,29.815325357,890,1053,1484433,48.516362373,2025-07-31
94609,Oakland,Alameda County,06001,CA,1936715.00439097,77.610000579,51.507687008,745,841,923759,41.146767069,2025-07-31
94501,Alameda,Alameda County,06001,CA,2078666.113046027,77.610000688,57.19160403,819,2713,1048178,40.779575438,2025-07-31
94707,Berkeley,Alameda County,06001,CA,1544375.553158732,75.330676248,8.117002271,742,813,1736533,67.830960919,2025-07-31
94546,Castro Valley,Alameda County,06001,CA,1640344.321786966,77.610000455,58.212881265,1070,1515,1090190,50.753010628,2025-07-31
94550,Livermore,Alameda County,06001,CA,2620657.677294806,77.51063081,25.505016788,803,1508,1538287,55.725724773,2025-07-31
94568,Dublin,Alameda County,06001,CA,3742810.124883693,77.606533948,31.335684259,1455,2139,1295100,56.551642168,2025-07-31
94602,Oakland,Alameda County,06001,CA,1105195.072366172,77.610000478,46.176133526,787,1078,912982,51.366894113,2025-07-31
94544,Hayward,Alameda County,06001,CA,2188935.623830354,77.610000455,71.805734706,921,1121,854988,43.930946292,2025-07-31
95666,Pioneer,Amador County,06005,CA,1311753.529178816,32.244660298,40.684061424,1028,2229,433110,38.74899525,2025-07-31
95629,Fiddletown,Amador County,06005,CA,585861.324385719,35.214109112,31.878492854,1028,2229,1062357,41.761896134,2025-07-31
95917,Biggs,Butte County,06007,CA,1195141.534329437,50.61000056,60.647146529,635,948,478822,36.396699494,2025-07-31
95938,Durham,Butte County,06007,CA,5498906.015897811,50.610000661,39.856147687,634,672,577282,42.746978184,2025-07-31
95969,Paradise,Butte County,06007,CA,807705.722602164,50.610000661,69.519369902,1028,2229,483461,38.351985533,2025-07-31
95965,Oroville,Butte County,06007,CA,808506.543023096,50.610000661,87.417234525,890,2458,448931,29.07958707,2025-07-31
95973,Chico,Butte County,06007,CA,1272331.821729151,50.571888122,50.334148875,984,2033,697230,40.561526384,2025-07-31
95916,Berry Creek,Butte County,06007,CA,1288805.405057532,50.61000061,77.142387932,1028,2229,361122,31.51414721,2025-07-31
95928,Chico,Butte County,06007,CA,2660835.266735203,50.61000062,69.735795082,798,1302,679262,26.708462699,2025-07-31
95948,Gridley,Butte County,06007,CA,710479.882034237,50.596116137,84.698299439,681,886,576832,30.007905669,2025-07-31
95926,Chico,Butte County,06007,CA,752481.463553963,50.61000061,62.274837411,626,729,525838,33.195940243,2025-07-31
95966,Oroville,Butte County,06007,CA,859384.9944065,50.589758521,73.823427635,1120,1512,432635,35.899968672,2025-07-31
95942,Forest Ranch,Butte County,06007,CA,1211406.34359051,50.61000061,15.05510941,1028,2229,435295,51.061604997,2025-07-31
95968,Palermo,Butte County,06007,CA,1362472.697839432,50.61000061,93.104685202,1275,1565,824500,,2025-07-31
95228,Copperopolis,Calaveras County,06009,CA,1979674.222089344,34.110738391,29.301671774,1697,5223,827466,38.30843631,2025-07-31
95223,Arnold,Calaveras County,06009,CA,1013598.620767779,34.09254566,18.435303101,690,859,551501,42.865473801,2025-07-31
95955,Maxwell,Colusa County,06011,CA,1440087.9059606,20.719999313,86.559997559,945,1239,620000,30.157365796,2025-07-31
95950,Grimes,Colusa County,06011,CA,1297318.014145231,20.719999313,71.550003052,671,757,4166667,16.788605919,2025-07-31
