ABSOLUTE_ROWNUMBER,BEGIN_DATE,BEGIN_LOCATION,BEGIN_TIME,CZ_FIPS,CZ_NAME_STR,CZ_TIMEZONE,CZ_TYPE,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE,END_TIME,EPISODE_ID,EPISODE_NARRATIVE,EVENT_ID,EVENT_NARRATIVE,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,MAGNITUDE_TYPE,SOURCE,STATE_ABBR,TOR_F_SCALE,WFO,__source_file
1.0,07/04/2000,,0,6,GUAM (ZONE),SST,Z,0,500000,0,0.0,07/04/2000,2300.0,1100642,"The Coast Guard was notified that a German ship was in distress 700 miles northwest of Guam. The 
317 foot cargo vessel Southern Ameliar II with a crew of 19, was on its maiden voyage from Shanghai to Oregon. It received damage after passing through Typhoon Kirogi. The crew decided to board a lifeboat and abandon ship three hours after a total loss of power and failure of the ships main engines. The storm also damaged one of the ship's two cargo cranes, which smashed into the ship's forward hold. The ship's rudder was also damaged. The cargo was not damaged.",5155401,,Hurricane (Typhoon),0,0.0,,,NEWSPAPER,XX,,GUA,storm_data_search_results (1).csv
2.0,08/22/2000,,200,2,ST. CROIX (ZONE),AST,Z,0,100000,0,0.0,08/22/2000,2200.0,1102751,"Debby formed on the 18th as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands.  Debby passed about 30 miles north of St. Thomas late that morning and about 20 to 40 miles of the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest and to weaken during most of the day and night and by the 23rd, it was located about 100 miles northwest of Puerto Rico as a tropical storm. 

Minor damages were reported across the Virgin Islands.  Maximum wind speed reported at the St. Thomas airport  was 33 mph with gusts to 45 mph. At St. Croix airport, maximum sustained wind speed was 35 mph with gusts to 43 mph.  These winds produced brief power blackouts.",5156118,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
3.0,08/22/2000,,200,1,ST. THOMAS / ST. JOHN AND ADJACENT ISLANDS (ZONE),AST,Z,0,100000,0,0.0,08/22/2000,2200.0,1102751,"Debby formed on the 18th as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands.  Debby passed about 30 miles north of St. Thomas late that morning and about 20 to 40 miles of the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest and to weaken during most of the day and night and by the 23rd, it was located about 100 miles northwest of Puerto Rico as a tropical storm. 

Minor damages were reported across the Virgin Islands.  Maximum wind speed reported at the St. Thomas airport  was 33 mph with gusts to 45 mph. At St. Croix airport, maximum sustained wind speed was 35 mph with gusts to 43 mph.  These winds produced brief power blackouts.",5156119,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
4.0,08/22/2000,,1500,13,VIEQUES (ZONE),AST,Z,0,25000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5156116,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
5.0,08/22/2000,,1500,7,PONCE AND VICINITY (ZONE),AST,Z,0,41000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5156113,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
6.0,08/22/2000,,1500,8,NORTHWEST (ZONE),AST,Z,0,41000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5156112,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
7.0,08/22/2000,,1500,12,CULEBRA (ZONE),AST,Z,0,25000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5157373,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
8.0,08/22/2000,,1500,11,SOUTHWEST (ZONE),AST,Z,0,41000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5156115,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
9.0,08/22/2000,,1500,6,CENTRAL INTERIOR (ZONE),AST,Z,0,41000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5157372,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
10.0,08/22/2000,,1500,1,SAN JUAN AND VICINITY (ZONE),AST,Z,0,41000,0,0.0,08/23/2000,200.0,1102750,"Debby formed on the 18th of  August as a tropical depression about 1100 miles east of the Windward Islands.  The storm moved west  northwest and strengthened to a hurricane on the morning of August 22 just northeast of the Leeward Islands. Debby passed about  30 miles north of St.Thomas late that morning and about  30 to 40 miles off the northeast coast of Puerto Rico during the afternoon.  The storm continued to move west northwest  and weakened during most of the day and night and by the 23rd it was located about 100 miles northwest of Puerto Rico as a tropical storm.   

Its major impact over Puerto Rico was flooding. Some sectors in the interior received more than 12 inches of rain in a 48-hour period.  This caused widespread flooding and many rivers to overflow  their banks forcing communities to be evacuated.  Also this rainfall caused landslides and mudslides and induced various bridges to collapse. Many homes were affected by flood waters island wide.   Maximum sustained wind speed at the San Juan Airport was 24 mph with gusts to 35 mph. In Ceiba, maximum sustained winds were 28 mph with gust to 35 mph.  Damages were estimated around .5 M due to flooding affecting about 406 homes.  Caguas municipality was the most affected with 237 families reporting some degree of  flood damage.",5157371,,Hurricane (Typhoon),0,0.0,,,EMERGENCY MANAGER,XX,,SJU,storm_data_search_results (1).csv
