FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,FIRE_RISK
01001,2003,43,274.8,11816.4
01001,2004,86,744.5,64027.0
01001,2005,63,234.2,14754.599999999999
01001,2006,62,534.7,33151.4
01001,2007,93,477.3,44388.9
01001,2008,30,108.0,3240.0
01001,2009,16,131.0,2096.0
01001,2010,25,156.9,3922.5
01001,2011,30,135.85,4075.5
01001,2012,31,114.0,3534.0
01001,2013,39,383.6,14960.400000000001
01001,2014,48,440.7,21153.6
01001,2015,24,232.8,5587.200000000001
01001,2016,29,192.45,5581.049999999999
01001,2017,13,47.1,612.3000000000001
01001,2018,10,102.8,1028.0
01001,2019,24,182.25,4374.0
01001,2020,13,32.45,421.85
01003,2003,135,2565.7999999999997,346382.99999999994
01003,2004,167,2246.65,375190.55
01003,2005,135,2978.8,402138.0
01003,2006,199,6558.0,1305042.0
01003,2007,126,2290.0,288540.0
01003,2008,67,1035.75,69395.25
01003,2009,86,1367.35,117592.09999999999
01003,2010,102,544.45,55533.9
01003,2011,184,6599.75,1214354.0
01003,2012,75,2572.5,192937.5
01003,2013,107,2322.96,248556.72
01003,2014,104,2420.65,251747.6
01003,2015,141,2576.93,363347.13
01003,2016,128,1186.5,151872.0
01003,2017,49,744.5,36480.5
01003,2018,51,1044.3,53259.299999999996
01003,2019,52,1550.97,80650.44
01003,2020,46,2067.55,95107.3
01005,2003,8,56.3,450.4
01005,2004,43,445.7,19165.1
01005,2005,13,402.5,5232.5
01005,2006,24,808.7,19408.800000000003
01005,2007,16,282.8,4524.8
01005,2008,16,254.2,4067.2
01005,2009,17,290.0,4930.0
01005,2010,11,118.0,1298.0
01005,2011,34,478.1,16255.400000000001
01005,2012,19,255.0,4845.0
01005,2013,16,524.5,8392.0
01005,2014,23,236.45,5438.349999999999
01005,2015,12,146.8,1761.6000000000001
01005,2016,49,358.55,17568.95
01005,2017,18,352.05,6336.900000000001
01005,2018,9,282.16999999999996,2539.5299999999997
01005,2019,11,155.35,1708.85
01005,2020,12,40.75,489.0
01007,2003,25,270.0,6750.0
01007,2004,59,1030.6,60805.399999999994
01007,2005,30,373.85,11215.5
01007,2006,53,1355.5,71841.5
01007,2007,35,858.8,30058.0
01007,2008,33,505.46,16680.18
01007,2009,22,162.8,3581.6000000000004
01007,2010,19,63.65,1209.35
01007,2011,25,532.6,13315.0
01007,2012,21,306.5,6436.5
01007,2013,22,639.61,14071.42
01007,2014,34,507.15,17243.1
01007,2015,27,119.95,3238.65
01007,2016,54,504.7,27253.8
01007,2017,4,407.6,1630.4
01007,2018,7,118.1,826.6999999999999
01007,2019,21,6758.1,141920.1
01007,2020,9,267.6,2408.4
01009,2003,32,250.0,8000.0
01009,2004,20,220.0,4400.0
01009,2005,30,235.75,7072.5
01009,2006,46,641.85,29525.100000000002
01009,2007,70,354.25,24797.5
01009,2008,21,127.1,2669.1
01009,2009,15,256.25,3843.75
01009,2010,33,627.5,20707.5
01009,2011,13,279.25,3630.25
01009,2012,19,51.5,978.5
01009,2013,26,227.25,5908.5
01009,2014,46,687.0,31602.0
01009,2015,19,178.75,3396.25
01009,2016,53,1675.2,88785.6
01009,2017,7,72.1,504.69999999999993
01009,2018,14,44.0,616.0
01009,2019,20,156.5,3130.0
01009,2020,5,42.5,212.5
01011,2003,6,86.1,516.5999999999999
01011,2004,35,847.7,29669.5
01011,2005,22,374.6,8241.2
01011,2006,25,898.2,22455.0
01011,2007,34,171.8,5841.200000000001
01011,2008,16,441.7,7067.2
01011,2009,4,154.0,616.0
01011,2010,15,347.8,5217.0
01011,2011,23,437.5,10062.5
01011,2012,13,252.5,3282.5
01011,2013,7,98.7,690.9
01011,2014,17,126.55,2151.35
01011,2015,12,203.5,2442.0
01011,2016,23,77.69,1786.87
01011,2017,14,306.0,4284.0
01011,2018,11,145.95,1605.4499999999998
01011,2019,24,715.35,17168.4
01011,2020,7,89.3,625.1
01013,2003,47,248.6,11684.199999999999
01013,2004,34,222.4,7561.6
01013,2005,54,664.9,35904.6
01013,2006,55,469.5,25822.5
01013,2007,50,424.70000000000005,21235.000000000004
01013,2008,31,89.3,2768.2999999999997
01013,2009,29,313.46,9090.34
01013,2010,21,159.5,3349.5
01013,2011,42,498.95,20955.899999999998
01013,2012,34,264.5,8993.0
01013,2013,61,813.9000000000001,49647.90000000001
01013,2014,45,402.25,18101.25
01013,2015,60,1546.15,92769.0
01013,2016,58,197.18,11436.44
01013,2017,23,81.24,1868.52
01013,2018,19,59.3,1126.7
01013,2019,34,95.93,3261.6200000000003
01013,2020,23,95.0,2185.0
01015,2003,33,322.35,10637.550000000001
01015,2004,32,889.5,28464.0
01015,2005,34,581.25,19762.5
01015,2006,42,1187.35,49868.7
01015,2007,63,1271.61,80111.43
01015,2008,27,394.85,10660.95
01015,2009,18,289.0,5202.0
01015,2010,44,1068.15,46998.600000000006
01015,2011,33,1871.5,61759.5
01015,2012,32,1186.57,37970.24
01015,2013,22,706.6,15545.2
01015,2014,29,3748.0,108692.0
01015,2015,23,238.65,5488.95
01015,2016,97,2757.13,267441.61
01015,2017,23,966.25,22223.75
01015,2018,24,676.45,16234.800000000001
01015,2019,50,1287.35,64367.49999999999
01015,2020,18,205.0,3690.0
01017,2003,21,155.25,3260.25
01017,2004,38,518.0,19684.0
01017,2005,23,140.25,3225.75
01017,2006,33,484.5,15988.5
01017,2007,36,306.25,11025.0
01017,2008,27,331.25,8943.75
01017,2009,18,223.5,4023.0
01017,2010,20,119.6,2392.0
01017,2011,29,339.5,9845.5
01017,2012,38,474.0,18012.0
01017,2013,28,506.6,14184.800000000001
01017,2014,23,271.0,6233.0
01017,2015,13,48.3,627.9
01017,2016,44,323.6,14238.400000000001
01017,2017,24,246.3,5911.200000000001
01017,2018,14,90.5,1267.0
01017,2019,18,139.2,2505.6
01017,2020,9,245.0,2205.0
01019,2003,47,1199.9,56395.3
01019,2004,93,2541.2,236331.59999999998
01019,2005,93,2648.5,246310.5
01019,2006,101,3659.7,369629.69999999995
01019,2007,95,5468.1,519469.50000000006
01019,2008,40,695.2,27808.0
01019,2009,35,937.35,32807.25
