yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2018,90001,1233018,1799,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,685.3907726514731
2019,90001,1351943,1863,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,725.6806226516371
2020,90001,1496492,1908,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,784.3249475890985
2021,90001,1629265,1976,06037,,,,,,,,,,,,,,,,,,,,,824.5268218623481
2018,90002,1721682,2517,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,684.0214541120381
2019,90002,1923430,2660,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,723.093984962406
2020,90002,2094994,2695,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,777.3632653061225
2021,90002,2281854,2781,06037,,,,,,,,,,,,,,,,,,,,,820.5156418554477
2018,90003,1767630,2393,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,738.6669452569996
2019,90003,1929607,2459,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,784.7120780805205
2020,90003,2118635,2510,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,844.0776892430279
2021,90003,2284017,2555,06037,,,,,,,,,,,,,,,,,,,,,893.9401174168297
2018,90004,5954665,2675,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,2226.042990654206
2019,90004,6444463,2731,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,2359.7447821310875
2020,90004,7574027,2746,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,2758.2035688273854
2021,90004,8418899,2747,06037,,,,,,,,,,,,,,,,,,,,,3064.7611940298507
2018,90005,1723657,566,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,3045.3303886925796
2019,90005,1964267,583,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,3369.2401372212694
2020,90005,2256321,585,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,3856.9589743589745
2021,90005,2626546,596,06037,,,,,,,,,,,,,,,,,,,,,4406.956375838926
2018,90006,610523,567,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,1076.7601410934744
2019,90006,667651,580,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1151.1224137931035
2020,90006,738655,590,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1251.957627118644
2021,90006,798561,590,06037,,,,,,,,,,,,,,,,,,,,,1353.493220338983
2018,90007,626594,579,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,1082.2003454231433
2019,90007,682156,590,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1156.1966101694916
2020,90007,758573,585,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1296.7059829059829
2021,90007,794880,584,06037,,,,,,,,,,,,,,,,,,,,,1361.0958904109589
2018,90008,4366353,3590,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,1216.2543175487465
2019,90008,4828862,3634,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1328.8007705008256
2020,90008,5402739,3657,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1477.369155045119
2021,90008,5708176,3646,06037,,,,,,,,,,,,,,,,,,,,,1565.5995611629182
2018,90010,643,1,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,643.0
2019,90010,1761,2,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,880.5
2020,90010,5944,5,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1188.8
2021,90010,6684,7,06037,,,,,,,,,,,,,,,,,,,,,954.8571428571429
2018,90011,1785329,2327,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,767.2234636871508
2019,90011,1988973,2436,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,816.4913793103449
2020,90011,2157506,2483,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,868.9109947643979
2021,90011,2362109,2540,06037,,,,,,,,,,,,,,,,,,,,,929.9641732283465
2018,90012,154430,179,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,862.7374301675977
2019,90012,164609,175,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,940.6228571428571
2020,90012,191301,179,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1068.7206703910615
2021,90012,225356,195,06037,,,,,,,,,,,,,,,,,,,,,1155.6717948717949
2018,90013,2309,3,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,769.6666666666666
2019,90013,1952,3,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,650.6666666666666
2020,90013,984,2,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,492.0
2021,90013,2556,4,06037,,,,,,,,,,,,,,,,,,,,,639.0
2018,90014,788,1,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,788.0
2021,90014,476,1,06037,,,,,,,,,,,,,,,,,,,,,476.0
2018,90015,77639,78,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,995.3717948717949
2019,90015,79032,75,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1053.76
2020,90015,77864,71,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1096.6760563380283
2021,90015,88655,72,06037,,,,,,,,,,,,,,,,,,,,,1231.3194444444443
2018,90016,3419225,3742,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,913.7426509887761
2019,90016,3730457,3816,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,977.583071278826
2020,90016,4140213,3860,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1072.5940414507772
2021,90016,4428121,3847,06037,,,,,,,,,,,,,,,,,,,,,1151.0582271900182
2018,90017,4705,7,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,672.1428571428571
2019,90017,6486,6,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1081.0
2020,90017,10032,9,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1114.6666666666667
2021,90017,11434,10,06037,,,,,,,,,,,,,,,,,,,,,1143.4
2018,90018,2837749,2922,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,971.1666666666666
2019,90018,3128837,3020,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1036.0387417218542
2020,90018,3510454,3078,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1140.498375568551
2021,90018,3761889,3085,06037,,,,,,,,,,,,,,,,,,,,,1219.4129659643436
2018,90019,5330609,4373,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,1218.9821632746398
2019,90019,5820581,4442,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,1310.351418280054
2020,90019,6613927,4468,06037,2.72,1665.85,CALIFORNIA,2.0,0.0,3.42,0.4079326357351419,0.25,475.0,156529.9,0.0,0.0,0.0,729068982,12.3,1.171,6037.0,55477.0,37157885000.0,9996634.0,1480.288048343778
2021,90019,7153765,4452,06037,,,,,,,,,,,,,,,,,,,,,1606.8654537286614
2018,90020,2858239,526,06037,6.71,1566.79,CALIFORNIA,0.0,0.0,0.0,0.441350321100161,-4.96,265.0,5455.87,0.0,0.0,0.0,740088358,4.6,1.175,6037.0,52076.0,30465190000.0,10061533.0,5433.914448669201
2019,90020,3132263,543,06037,3.5,1621.68,CALIFORNIA,0.0,0.0,0.0,0.4398961265460667,1.3,354.0,17334.12,0.0,0.0,0.0,767859358,4.5,1.182,6037.0,53991.0,32818975000.0,10011602.0,5768.44014732965
