,county_fips5,yr,hpi_change,index_nsa,STATE,CZ_NAME,FLOOD_FREQUENCY,FLOOD_PROPERTY_DAMAGE,FLOOD_DURATION_HOURS
0,1001,1986,,100.0,ALABAMA,AUTAUGA,0.0,0.0,0.0
1,1001,1987,-1.86,98.14,ALABAMA,AUTAUGA,0.0,0.0,0.0
2,1001,1988,2.6,100.68,ALABAMA,AUTAUGA,0.0,0.0,0.0
3,1001,1989,4.3,105.02,ALABAMA,AUTAUGA,0.0,0.0,0.0
4,1001,1990,-0.33,104.67,ALABAMA,AUTAUGA,0.0,0.0,0.0
5,1001,1991,2.59,107.38,ALABAMA,AUTAUGA,0.0,0.0,0.0
6,1001,1992,3.1,110.71,ALABAMA,AUTAUGA,0.0,0.0,0.0
7,1001,1993,3.43,114.51,ALABAMA,AUTAUGA,0.0,0.0,0.0
8,1001,1994,4.21,119.33,ALABAMA,AUTAUGA,0.0,0.0,0.0
9,1001,1995,3.63,123.67,ALABAMA,AUTAUGA,0.0,0.0,0.0
10,1001,1996,2.89,127.24,ALABAMA,AUTAUGA,2.0,18000.0,2.2
11,1001,1997,3.03,131.1,ALABAMA,AUTAUGA,0.0,0.0,0.0
12,1001,1998,3.76,136.04,ALABAMA,AUTAUGA,1.0,25000.0,4.5
13,1001,1999,1.28,137.78,ALABAMA,AUTAUGA,2.0,185000.0,3.33
14,1001,2000,2.5,141.23,ALABAMA,AUTAUGA,1.0,200000.0,3.5
15,1001,2001,3.44,146.08,ALABAMA,AUTAUGA,2.0,37000.0,4.25
16,1001,2002,2.67,149.98,ALABAMA,AUTAUGA,0.0,0.0,0.0
17,1001,2003,1.79,152.66,ALABAMA,AUTAUGA,2.0,58000.0,6.0
18,1001,2004,2.92,157.12,ALABAMA,AUTAUGA,1.0,8000.0,3.5
19,1001,2005,7.02,168.15,ALABAMA,AUTAUGA,6.0,19000.0,76.0
20,1001,2006,7.88,181.4,ALABAMA,AUTAUGA,1.0,0.0,1.8
21,1001,2007,4.51,189.59,ALABAMA,AUTAUGA,1.0,0.0,1.62
22,1001,2008,0.27,190.09,ALABAMA,AUTAUGA,0.0,0.0,0.0
23,1001,2009,-1.79,186.69,ALABAMA,AUTAUGA,3.0,1580000.0,17.0
24,1001,2010,-3.58,180.0,ALABAMA,AUTAUGA,0.0,0.0,0.0
25,1001,2011,-2.06,176.29,ALABAMA,AUTAUGA,0.0,0.0,0.0
26,1001,2012,-2.78,171.39,ALABAMA,AUTAUGA,0.0,0.0,0.0
27,1001,2013,0.31,171.92,ALABAMA,AUTAUGA,1.0,0.0,10.5
28,1001,2014,-0.05,171.83,ALABAMA,AUTAUGA,2.0,0.0,35.33
29,1001,2015,1.1,173.72,ALABAMA,AUTAUGA,2.0,0.0,3.67
30,1001,2016,2.4,177.9,ALABAMA,AUTAUGA,2.0,0.0,5.98
31,1001,2017,2.99,183.21,ALABAMA,AUTAUGA,2.0,0.0,7.0
32,1001,2018,0.03,183.27,ALABAMA,AUTAUGA,0.0,0.0,0.0
33,1001,2019,4.32,191.19,ALABAMA,AUTAUGA,0.0,0.0,0.0
34,1001,2020,0.58,192.3,ALABAMA,AUTAUGA,0.0,0.0,0.0
35,1001,2021,8.04,207.76,ALABAMA,AUTAUGA,0.0,0.0,0.0
36,1001,2022,14.03,236.89,ALABAMA,AUTAUGA,0.0,0.0,0.0
37,1001,2023,9.35,259.05,ALABAMA,AUTAUGA,0.0,0.0,0.0
38,1001,2024,8.2,280.3,ALABAMA,AUTAUGA,1.0,0.0,2.0
39,1003,1977,,100.0,ALABAMA,BALDWIN,0.0,0.0,0.0
40,1003,1978,-3.13,96.87,ALABAMA,BALDWIN,0.0,0.0,0.0
41,1003,1979,8.67,105.27,ALABAMA,BALDWIN,0.0,0.0,0.0
42,1003,1980,18.23,124.47,ALABAMA,BALDWIN,0.0,0.0,0.0
43,1003,1981,-12.94,108.36,ALABAMA,BALDWIN,0.0,0.0,0.0
44,1003,1982,-2.89,105.22,ALABAMA,BALDWIN,0.0,0.0,0.0
45,1003,1983,31.11,137.96,ALABAMA,BALDWIN,0.0,0.0,0.0
46,1003,1984,-3.53,133.09,ALABAMA,BALDWIN,0.0,0.0,0.0
47,1003,1985,0.33,133.53,ALABAMA,BALDWIN,0.0,0.0,0.0
48,1003,1986,0.6,134.33,ALABAMA,BALDWIN,0.0,0.0,0.0
49,1003,1987,0.99,135.65,ALABAMA,BALDWIN,0.0,0.0,0.0
50,1003,1988,1.27,137.37,ALABAMA,BALDWIN,0.0,0.0,0.0
51,1003,1989,2.5,140.81,ALABAMA,BALDWIN,0.0,0.0,0.0
52,1003,1990,2.8,144.75,ALABAMA,BALDWIN,0.0,0.0,0.0
53,1003,1991,2.95,149.02,ALABAMA,BALDWIN,0.0,0.0,0.0
54,1003,1992,4.13,155.18,ALABAMA,BALDWIN,0.0,0.0,0.0
55,1003,1993,8.37,168.17,ALABAMA,BALDWIN,0.0,0.0,0.0
56,1003,1994,7.28,180.4,ALABAMA,BALDWIN,0.0,0.0,0.0
57,1003,1995,7.88,194.61,ALABAMA,BALDWIN,0.0,0.0,0.0
58,1003,1996,3.72,201.86,ALABAMA,BALDWIN,2.0,202000.0,9.0
59,1003,1997,6.53,215.04,ALABAMA,BALDWIN,2.0,0.0,49.5
60,1003,1998,4.57,224.86,ALABAMA,BALDWIN,6.0,1030000.0,60.75
61,1003,1999,2.67,230.86,ALABAMA,BALDWIN,1.0,5000.0,14.0
62,1003,2000,3.91,239.9,ALABAMA,BALDWIN,0.0,0.0,0.0
63,1003,2001,4.43,250.51,ALABAMA,BALDWIN,2.0,15000.0,6.0
64,1003,2002,1.63,254.6,ALABAMA,BALDWIN,3.0,0.0,25.08
65,1003,2003,3.5,263.5,ALABAMA,BALDWIN,7.0,500000.0,28.73
66,1003,2004,4.92,276.47,ALABAMA,BALDWIN,3.0,0.0,3.0
67,1003,2005,17.19,323.98,ALABAMA,BALDWIN,6.0,260000.0,33.23
68,1003,2006,17.32,380.1,ALABAMA,BALDWIN,3.0,0.0,4.0
69,1003,2007,1.81,387.0,ALABAMA,BALDWIN,4.0,100000.0,11.75
70,1003,2008,-4.06,371.3,ALABAMA,BALDWIN,7.0,27000.0,32.08
71,1003,2009,-7.93,341.85,ALABAMA,BALDWIN,8.0,0.0,5.33
