ID,State,County,Year,Annual_Mean_Index
AL-001,Alabama,Autauga County,2000,-2.32
AL-001,Alabama,Autauga County,2001,1.43
AL-001,Alabama,Autauga County,2002,-0.76
AL-001,Alabama,Autauga County,2003,2.39
AL-001,Alabama,Autauga County,2004,0.0
AL-001,Alabama,Autauga County,2005,0.9
AL-001,Alabama,Autauga County,2006,-1.34
AL-001,Alabama,Autauga County,2007,-3.33
AL-001,Alabama,Autauga County,2008,-1.38
AL-001,Alabama,Autauga County,2009,1.64
AL-001,Alabama,Autauga County,2010,-0.78
AL-001,Alabama,Autauga County,2011,-2.57
AL-001,Alabama,Autauga County,2012,-1.16
AL-001,Alabama,Autauga County,2013,1.43
AL-001,Alabama,Autauga County,2014,0.06
AL-001,Alabama,Autauga County,2015,-1.13
AL-001,Alabama,Autauga County,2016,-0.49
AL-001,Alabama,Autauga County,2017,1.75
AL-001,Alabama,Autauga County,2018,1.67
AL-001,Alabama,Autauga County,2019,-0.68
AL-001,Alabama,Autauga County,2020,1.43
AL-003,Alabama,Baldwin County,2000,-4.08
AL-003,Alabama,Baldwin County,2001,-2.3
AL-003,Alabama,Baldwin County,2002,-0.98
AL-003,Alabama,Baldwin County,2003,1.61
AL-003,Alabama,Baldwin County,2004,0.41
AL-003,Alabama,Baldwin County,2005,1.39
AL-003,Alabama,Baldwin County,2006,-2.7
AL-003,Alabama,Baldwin County,2007,-2.02
AL-003,Alabama,Baldwin County,2008,0.21
AL-003,Alabama,Baldwin County,2009,0.45
AL-003,Alabama,Baldwin County,2010,0.05
AL-003,Alabama,Baldwin County,2011,-2.78
AL-003,Alabama,Baldwin County,2012,-1.08
AL-003,Alabama,Baldwin County,2013,0.62
AL-003,Alabama,Baldwin County,2014,0.45
AL-003,Alabama,Baldwin County,2015,-0.78
AL-003,Alabama,Baldwin County,2016,-0.13
AL-003,Alabama,Baldwin County,2017,1.39
AL-003,Alabama,Baldwin County,2018,-0.09
AL-003,Alabama,Baldwin County,2019,-0.94
AL-003,Alabama,Baldwin County,2020,-0.2
AL-005,Alabama,Barbour County,2000,-1.88
AL-005,Alabama,Barbour County,2001,-0.2
AL-005,Alabama,Barbour County,2002,-1.21
AL-005,Alabama,Barbour County,2003,1.53
AL-005,Alabama,Barbour County,2004,0.19
AL-005,Alabama,Barbour County,2005,0.54
AL-005,Alabama,Barbour County,2006,-1.96
AL-005,Alabama,Barbour County,2007,-2.88
AL-005,Alabama,Barbour County,2008,-0.61
AL-005,Alabama,Barbour County,2009,2.26
AL-005,Alabama,Barbour County,2010,-0.97
AL-005,Alabama,Barbour County,2011,-3.39
AL-005,Alabama,Barbour County,2012,-0.72
AL-005,Alabama,Barbour County,2013,1.47
AL-005,Alabama,Barbour County,2014,0.39
AL-005,Alabama,Barbour County,2015,0.09
AL-005,Alabama,Barbour County,2016,-1.49
AL-005,Alabama,Barbour County,2017,1.21
AL-005,Alabama,Barbour County,2018,1.0
AL-005,Alabama,Barbour County,2019,-1.01
AL-005,Alabama,Barbour County,2020,2.43
AL-007,Alabama,Bibb County,2000,-2.2
AL-007,Alabama,Bibb County,2001,0.83
AL-007,Alabama,Bibb County,2002,-0.43
AL-007,Alabama,Bibb County,2003,1.53
AL-007,Alabama,Bibb County,2004,-0.34
AL-007,Alabama,Bibb County,2005,0.81
AL-007,Alabama,Bibb County,2006,-1.34
AL-007,Alabama,Bibb County,2007,-3.81
AL-007,Alabama,Bibb County,2008,-2.45
AL-007,Alabama,Bibb County,2009,1.66
AL-007,Alabama,Bibb County,2010,-0.45
AL-007,Alabama,Bibb County,2011,-1.69
AL-007,Alabama,Bibb County,2012,-0.86
AL-007,Alabama,Bibb County,2013,1.44
AL-007,Alabama,Bibb County,2014,0.2
AL-007,Alabama,Bibb County,2015,-0.58
AL-007,Alabama,Bibb County,2016,-1.3
AL-007,Alabama,Bibb County,2017,-0.16
AL-007,Alabama,Bibb County,2018,-0.12
AL-007,Alabama,Bibb County,2019,-0.42
AL-007,Alabama,Bibb County,2020,0.5
AL-009,Alabama,Blount County,2000,-2.26
AL-009,Alabama,Blount County,2001,0.83
AL-009,Alabama,Blount County,2002,1.1
AL-009,Alabama,Blount County,2003,1.77
AL-009,Alabama,Blount County,2004,0.84
AL-009,Alabama,Blount County,2005,-0.54
AL-009,Alabama,Blount County,2006,-1.38
AL-009,Alabama,Blount County,2007,-3.85
AL-009,Alabama,Blount County,2008,-1.29
AL-009,Alabama,Blount County,2009,2.49
AL-009,Alabama,Blount County,2010,0.64
AL-009,Alabama,Blount County,2011,0.13
AL-009,Alabama,Blount County,2012,-0.23
AL-009,Alabama,Blount County,2013,2.54
AL-009,Alabama,Blount County,2014,0.77
AL-009,Alabama,Blount County,2015,-0.85
AL-009,Alabama,Blount County,2016,-2.56
AL-009,Alabama,Blount County,2017,-0.37
AL-009,Alabama,Blount County,2018,-0.7
AL-009,Alabama,Blount County,2019,0.35
AL-009,Alabama,Blount County,2020,2.81
AL-011,Alabama,Bullock County,2000,-1.81
AL-011,Alabama,Bullock County,2001,0.19
AL-011,Alabama,Bullock County,2002,-1.2
AL-011,Alabama,Bullock County,2003,2.43
AL-011,Alabama,Bullock County,2004,-0.02
AL-011,Alabama,Bullock County,2005,0.23
AL-011,Alabama,Bullock County,2006,-1.84
AL-011,Alabama,Bullock County,2007,-2.66
AL-011,Alabama,Bullock County,2008,-0.55
AL-011,Alabama,Bullock County,2009,2.37
AL-011,Alabama,Bullock County,2010,-0.62
AL-011,Alabama,Bullock County,2011,-3.0
AL-011,Alabama,Bullock County,2012,-0.82
AL-011,Alabama,Bullock County,2013,1.22
AL-011,Alabama,Bullock County,2014,0.79
AL-011,Alabama,Bullock County,2015,-0.68
AL-011,Alabama,Bullock County,2016,-1.76
AL-011,Alabama,Bullock County,2017,1.25
AL-011,Alabama,Bullock County,2018,0.45
AL-011,Alabama,Bullock County,2019,-0.79
AL-011,Alabama,Bullock County,2020,1.76
AL-013,Alabama,Butler County,2000,-2.43
AL-013,Alabama,Butler County,2001,1.7
AL-013,Alabama,Butler County,2002,-0.7
AL-013,Alabama,Butler County,2003,1.25
AL-013,Alabama,Butler County,2004,0.08
AL-013,Alabama,Butler County,2005,0.41
AL-013,Alabama,Butler County,2006,-2.15
AL-013,Alabama,Butler County,2007,-2.8
AL-013,Alabama,Butler County,2008,-0.83
AL-013,Alabama,Butler County,2009,1.93
AL-013,Alabama,Butler County,2010,-0.86
AL-013,Alabama,Butler County,2011,-2.96
AL-013,Alabama,Butler County,2012,-0.01
AL-013,Alabama,Butler County,2013,2.0
AL-013,Alabama,Butler County,2014,0.41
AL-013,Alabama,Butler County,2015,-1.17
AL-013,Alabama,Butler County,2016,-0.75
AL-013,Alabama,Butler County,2017,1.19
AL-013,Alabama,Butler County,2018,0.64
AL-013,Alabama,Butler County,2019,-0.91
AL-013,Alabama,Butler County,2020,0.88
AL-015,Alabama,Calhoun County,2000,-2.69
AL-015,Alabama,Calhoun County,2001,0.68
AL-015,Alabama,Calhoun County,2002,-0.32
AL-015,Alabama,Calhoun County,2003,1.87
AL-015,Alabama,Calhoun County,2004,0.77
AL-015,Alabama,Calhoun County,2005,0.95
AL-015,Alabama,Calhoun County,2006,-1.71
AL-015,Alabama,Calhoun County,2007,-4.84
AL-015,Alabama,Calhoun County,2008,-2.44
AL-015,Alabama,Calhoun County,2009,1.46
AL-015,Alabama,Calhoun County,2010,-0.96
AL-015,Alabama,Calhoun County,2011,-2.32
AL-015,Alabama,Calhoun County,2012,-2.72
AL-015,Alabama,Calhoun County,2013,2.49
AL-015,Alabama,Calhoun County,2014,1.29
AL-015,Alabama,Calhoun County,2015,0.25
AL-015,Alabama,Calhoun County,2016,-2.72
AL-015,Alabama,Calhoun County,2017,-0.58
AL-015,Alabama,Calhoun County,2018,-1.07
AL-015,Alabama,Calhoun County,2019,0.2
AL-015,Alabama,Calhoun County,2020,2.11
AL-017,Alabama,Chambers County,2000,-2.67
AL-017,Alabama,Chambers County,2001,0.05
AL-017,Alabama,Chambers County,2002,-2.67
AL-017,Alabama,Chambers County,2003,0.55
AL-017,Alabama,Chambers County,2004,-0.26
AL-017,Alabama,Chambers County,2005,0.76
AL-017,Alabama,Chambers County,2006,-2.24
AL-017,Alabama,Chambers County,2007,-3.78
AL-017,Alabama,Chambers County,2008,-1.54
AL-017,Alabama,Chambers County,2009,1.3
AL-017,Alabama,Chambers County,2010,-1.02
AL-017,Alabama,Chambers County,2011,-3.26
AL-017,Alabama,Chambers County,2012,-3.28
AL-017,Alabama,Chambers County,2013,1.57
AL-017,Alabama,Chambers County,2014,0.51
AL-017,Alabama,Chambers County,2015,-0.64
AL-017,Alabama,Chambers County,2016,-1.44
AL-017,Alabama,Chambers County,2017,-0.08
AL-017,Alabama,Chambers County,2018,0.22
AL-017,Alabama,Chambers County,2019,-0.25
AL-017,Alabama,Chambers County,2020,2.08
AL-019,Alabama,Cherokee County,2000,-2.31
AL-019,Alabama,Cherokee County,2001,0.19
AL-019,Alabama,Cherokee County,2002,-0.25
AL-019,Alabama,Cherokee County,2003,2.11
AL-019,Alabama,Cherokee County,2004,0.52
AL-019,Alabama,Cherokee County,2005,-0.69
AL-019,Alabama,Cherokee County,2006,-2.4
AL-019,Alabama,Cherokee County,2007,-4.86
AL-019,Alabama,Cherokee County,2008,-4.02
AL-019,Alabama,Cherokee County,2009,0.86
AL-019,Alabama,Cherokee County,2010,-1.12
AL-019,Alabama,Cherokee County,2011,-0.94
AL-019,Alabama,Cherokee County,2012,-1.05
AL-019,Alabama,Cherokee County,2013,1.89
AL-019,Alabama,Cherokee County,2014,-0.49
AL-019,Alabama,Cherokee County,2015,-0.65
AL-019,Alabama,Cherokee County,2016,-2.36
AL-019,Alabama,Cherokee County,2017,-0.11
AL-019,Alabama,Cherokee County,2018,0.85
AL-019,Alabama,Cherokee County,2019,0.52
AL-019,Alabama,Cherokee County,2020,2.8
AL-021,Alabama,Chilton County,2000,-1.98
AL-021,Alabama,Chilton County,2001,1.19
AL-021,Alabama,Chilton County,2002,-0.35
AL-021,Alabama,Chilton County,2003,3.11
AL-021,Alabama,Chilton County,2004,0.05
AL-021,Alabama,Chilton County,2005,1.03
AL-021,Alabama,Chilton County,2006,-0.76
AL-021,Alabama,Chilton County,2007,-3.06
AL-021,Alabama,Chilton County,2008,-1.43
AL-021,Alabama,Chilton County,2009,2.1
AL-021,Alabama,Chilton County,2010,-0.39
AL-021,Alabama,Chilton County,2011,-1.8
AL-021,Alabama,Chilton County,2012,-1.57
AL-021,Alabama,Chilton County,2013,1.12
AL-021,Alabama,Chilton County,2014,0.12
AL-021,Alabama,Chilton County,2015,-0.68
AL-021,Alabama,Chilton County,2016,-0.91
AL-021,Alabama,Chilton County,2017,0.95
AL-021,Alabama,Chilton County,2018,0.82
AL-021,Alabama,Chilton County,2019,-0.68
AL-021,Alabama,Chilton County,2020,1.51
AL-023,Alabama,Choctaw County,2000,-3.49
AL-023,Alabama,Choctaw County,2001,0.8
AL-023,Alabama,Choctaw County,2002,-0.5
AL-023,Alabama,Choctaw County,2003,1.57
AL-023,Alabama,Choctaw County,2004,0.63
AL-023,Alabama,Choctaw County,2005,1.14
AL-023,Alabama,Choctaw County,2006,-2.19
AL-023,Alabama,Choctaw County,2007,-3.08
AL-023,Alabama,Choctaw County,2008,-1.82
AL-023,Alabama,Choctaw County,2009,0.71
AL-023,Alabama,Choctaw County,2010,-1.16
AL-023,Alabama,Choctaw County,2011,-2.86
AL-023,Alabama,Choctaw County,2012,-0.77
AL-023,Alabama,Choctaw County,2013,2.17
AL-023,Alabama,Choctaw County,2014,-0.07
AL-023,Alabama,Choctaw County,2015,-0.84
AL-023,Alabama,Choctaw County,2016,-1.4
AL-023,Alabama,Choctaw County,2017,-0.47
AL-023,Alabama,Choctaw County,2018,-0.74
AL-023,Alabama,Choctaw County,2019,0.15
AL-023,Alabama,Choctaw County,2020,2.14
AL-025,Alabama,Clarke County,2000,-3.22
AL-025,Alabama,Clarke County,2001,0.93
AL-025,Alabama,Clarke County,2002,-0.46
AL-025,Alabama,Clarke County,2003,1.98
AL-025,Alabama,Clarke County,2004,0.1
AL-025,Alabama,Clarke County,2005,-0.05
AL-025,Alabama,Clarke County,2006,-2.4
AL-025,Alabama,Clarke County,2007,-2.65
AL-025,Alabama,Clarke County,2008,-1.61
AL-025,Alabama,Clarke County,2009,0.55
AL-025,Alabama,Clarke County,2010,-1.42
AL-025,Alabama,Clarke County,2011,-3.27
AL-025,Alabama,Clarke County,2012,-0.75
AL-025,Alabama,Clarke County,2013,0.27
AL-025,Alabama,Clarke County,2014,-0.39
AL-025,Alabama,Clarke County,2015,-0.94
AL-025,Alabama,Clarke County,2016,-0.91
AL-025,Alabama,Clarke County,2017,1.06
AL-025,Alabama,Clarke County,2018,-0.13
AL-025,Alabama,Clarke County,2019,-1.28
AL-025,Alabama,Clarke County,2020,-0.18
AL-027,Alabama,Clay County,2000,-3.02
AL-027,Alabama,Clay County,2001,0.18
AL-027,Alabama,Clay County,2002,-0.67
AL-027,Alabama,Clay County,2003,2.19
AL-027,Alabama,Clay County,2004,0.52
AL-027,Alabama,Clay County,2005,0.98
AL-027,Alabama,Clay County,2006,-1.73
AL-027,Alabama,Clay County,2007,-4.54
AL-027,Alabama,Clay County,2008,-2.0
AL-027,Alabama,Clay County,2009,1.93
AL-027,Alabama,Clay County,2010,-0.51
AL-027,Alabama,Clay County,2011,-2.5
AL-027,Alabama,Clay County,2012,-2.99
AL-027,Alabama,Clay County,2013,2.4
AL-027,Alabama,Clay County,2014,1.3
AL-027,Alabama,Clay County,2015,-0.21
AL-027,Alabama,Clay County,2016,-2.0
AL-027,Alabama,Clay County,2017,0.89
AL-027,Alabama,Clay County,2018,1.47
AL-027,Alabama,Clay County,2019,0.18
AL-027,Alabama,Clay County,2020,2.74
AL-029,Alabama,Cleburne County,2000,-2.34
AL-029,Alabama,Cleburne County,2001,0.01
AL-029,Alabama,Cleburne County,2002,-0.3
AL-029,Alabama,Cleburne County,2003,1.85
AL-029,Alabama,Cleburne County,2004,0.77
AL-029,Alabama,Cleburne County,2005,1.43
AL-029,Alabama,Cleburne County,2006,-1.26
AL-029,Alabama,Cleburne County,2007,-4.53
AL-029,Alabama,Cleburne County,2008,-2.1
AL-029,Alabama,Cleburne County,2009,1.36
AL-029,Alabama,Cleburne County,2010,-0.54
AL-029,Alabama,Cleburne County,2011,-2.85
AL-029,Alabama,Cleburne County,2012,-3.2
AL-029,Alabama,Cleburne County,2013,2.5
AL-029,Alabama,Cleburne County,2014,-0.09
AL-029,Alabama,Cleburne County,2015,0.37
AL-029,Alabama,Cleburne County,2016,-2.75
AL-029,Alabama,Cleburne County,2017,-0.47
AL-029,Alabama,Cleburne County,2018,0.15
AL-029,Alabama,Cleburne County,2019,-0.09
AL-029,Alabama,Cleburne County,2020,2.06
AL-031,Alabama,Coffee County,2000,-3.08
AL-031,Alabama,Coffee County,2001,0.19
AL-031,Alabama,Coffee County,2002,-1.2
AL-031,Alabama,Coffee County,2003,1.38
AL-031,Alabama,Coffee County,2004,0.94
AL-031,Alabama,Coffee County,2005,1.27
AL-031,Alabama,Coffee County,2006,-2.17
AL-031,Alabama,Coffee County,2007,-2.93
AL-031,Alabama,Coffee County,2008,-0.58
AL-031,Alabama,Coffee County,2009,2.08
AL-031,Alabama,Coffee County,2010,-1.19
AL-031,Alabama,Coffee County,2011,-3.48
AL-031,Alabama,Coffee County,2012,-0.86
AL-031,Alabama,Coffee County,2013,1.46
AL-031,Alabama,Coffee County,2014,0.66
AL-031,Alabama,Coffee County,2015,-0.38
AL-031,Alabama,Coffee County,2016,-0.77
AL-031,Alabama,Coffee County,2017,1.8
AL-031,Alabama,Coffee County,2018,1.91
AL-031,Alabama,Coffee County,2019,-1.46
AL-031,Alabama,Coffee County,2020,0.96
AL-033,Alabama,Colbert County,2000,-2.13
AL-033,Alabama,Colbert County,2001,1.49
AL-033,Alabama,Colbert County,2002,1.88
AL-033,Alabama,Colbert County,2003,2.01
AL-033,Alabama,Colbert County,2004,2.48
AL-033,Alabama,Colbert County,2005,-0.24
AL-033,Alabama,Colbert County,2006,-1.59
AL-033,Alabama,Colbert County,2007,-3.53
AL-033,Alabama,Colbert County,2008,-2.47
AL-033,Alabama,Colbert County,2009,0.5
AL-033,Alabama,Colbert County,2010,-1.23
AL-033,Alabama,Colbert County,2011,-0.21
AL-033,Alabama,Colbert County,2012,-1.09
AL-033,Alabama,Colbert County,2013,0.6
AL-033,Alabama,Colbert County,2014,0.96
AL-033,Alabama,Colbert County,2015,1.18
AL-033,Alabama,Colbert County,2016,-1.39
AL-033,Alabama,Colbert County,2017,0.18
AL-033,Alabama,Colbert County,2018,1.56
AL-033,Alabama,Colbert County,2019,2.48
AL-033,Alabama,Colbert County,2020,4.65
AL-035,Alabama,Conecuh County,2000,-2.47
AL-035,Alabama,Conecuh County,2001,1.13
AL-035,Alabama,Conecuh County,2002,-0.64
AL-035,Alabama,Conecuh County,2003,1.45
AL-035,Alabama,Conecuh County,2004,0.55
AL-035,Alabama,Conecuh County,2005,1.57
AL-035,Alabama,Conecuh County,2006,-2.71
AL-035,Alabama,Conecuh County,2007,-1.83
AL-035,Alabama,Conecuh County,2008,-0.42
AL-035,Alabama,Conecuh County,2009,1.6
AL-035,Alabama,Conecuh County,2010,-1.13
AL-035,Alabama,Conecuh County,2011,-3.31
AL-035,Alabama,Conecuh County,2012,-0.46
AL-035,Alabama,Conecuh County,2013,1.54
AL-035,Alabama,Conecuh County,2014,-0.17
AL-035,Alabama,Conecuh County,2015,-0.89
AL-035,Alabama,Conecuh County,2016,-0.62
AL-035,Alabama,Conecuh County,2017,1.16
AL-035,Alabama,Conecuh County,2018,0.37
AL-035,Alabama,Conecuh County,2019,-0.82
AL-035,Alabama,Conecuh County,2020,0.34
AL-037,Alabama,Coosa County,2000,-2.32
AL-037,Alabama,Coosa County,2001,0.39
AL-037,Alabama,Coosa County,2002,-0.63
AL-037,Alabama,Coosa County,2003,2.58
AL-037,Alabama,Coosa County,2004,-0.01
AL-037,Alabama,Coosa County,2005,0.26
AL-037,Alabama,Coosa County,2006,-1.96
AL-037,Alabama,Coosa County,2007,-4.17
AL-037,Alabama,Coosa County,2008,-1.66
AL-037,Alabama,Coosa County,2009,2.82
AL-037,Alabama,Coosa County,2010,-0.82
AL-037,Alabama,Coosa County,2011,-2.54
AL-037,Alabama,Coosa County,2012,-1.76
AL-037,Alabama,Coosa County,2013,1.71
AL-037,Alabama,Coosa County,2014,0.55
AL-037,Alabama,Coosa County,2015,-0.82
AL-037,Alabama,Coosa County,2016,-1.37
AL-037,Alabama,Coosa County,2017,1.01
AL-037,Alabama,Coosa County,2018,1.33
AL-037,Alabama,Coosa County,2019,-0.43
AL-037,Alabama,Coosa County,2020,3.02
AL-039,Alabama,Covington County,2000,-2.89
AL-039,Alabama,Covington County,2001,0.38
AL-039,Alabama,Covington County,2002,-0.88
AL-039,Alabama,Covington County,2003,1.04
AL-039,Alabama,Covington County,2004,0.96
AL-039,Alabama,Covington County,2005,1.26
AL-039,Alabama,Covington County,2006,-2.56
AL-039,Alabama,Covington County,2007,-2.07
AL-039,Alabama,Covington County,2008,-0.11
AL-039,Alabama,Covington County,2009,1.8
AL-039,Alabama,Covington County,2010,-0.63
AL-039,Alabama,Covington County,2011,-3.12
AL-039,Alabama,Covington County,2012,-0.86
AL-039,Alabama,Covington County,2013,1.13
AL-039,Alabama,Covington County,2014,0.18
AL-039,Alabama,Covington County,2015,-0.98
AL-039,Alabama,Covington County,2016,-0.93
AL-039,Alabama,Covington County,2017,1.01
AL-039,Alabama,Covington County,2018,0.46
AL-039,Alabama,Covington County,2019,-1.19
AL-039,Alabama,Covington County,2020,0.28
AL-041,Alabama,Crenshaw County,2000,-2.8
AL-041,Alabama,Crenshaw County,2001,0.44
AL-041,Alabama,Crenshaw County,2002,-1.11
AL-041,Alabama,Crenshaw County,2003,1.44
AL-041,Alabama,Crenshaw County,2004,0.41
AL-041,Alabama,Crenshaw County,2005,0.88
AL-041,Alabama,Crenshaw County,2006,-1.89
AL-041,Alabama,Crenshaw County,2007,-2.91
AL-041,Alabama,Crenshaw County,2008,-0.49
AL-041,Alabama,Crenshaw County,2009,1.92
AL-041,Alabama,Crenshaw County,2010,-0.86
AL-041,Alabama,Crenshaw County,2011,-3.19
AL-041,Alabama,Crenshaw County,2012,-0.64
AL-041,Alabama,Crenshaw County,2013,0.91
AL-041,Alabama,Crenshaw County,2014,0.43
AL-041,Alabama,Crenshaw County,2015,-0.55
AL-041,Alabama,Crenshaw County,2016,-0.82
AL-041,Alabama,Crenshaw County,2017,1.81
AL-041,Alabama,Crenshaw County,2018,0.7
AL-041,Alabama,Crenshaw County,2019,-0.89
AL-041,Alabama,Crenshaw County,2020,0.59
AL-043,Alabama,Cullman County,2000,-2.07
AL-043,Alabama,Cullman County,2001,1.68
AL-043,Alabama,Cullman County,2002,0.94
AL-043,Alabama,Cullman County,2003,1.94
AL-043,Alabama,Cullman County,2004,0.76
AL-043,Alabama,Cullman County,2005,-0.19
AL-043,Alabama,Cullman County,2006,-0.59
AL-043,Alabama,Cullman County,2007,-3.88
AL-043,Alabama,Cullman County,2008,-3.35
AL-043,Alabama,Cullman County,2009,2.46
AL-043,Alabama,Cullman County,2010,0.5
AL-043,Alabama,Cullman County,2011,0.03
AL-043,Alabama,Cullman County,2012,-0.67
AL-043,Alabama,Cullman County,2013,1.16
AL-043,Alabama,Cullman County,2014,-0.02
AL-043,Alabama,Cullman County,2015,-0.32
AL-043,Alabama,Cullman County,2016,-1.88
AL-043,Alabama,Cullman County,2017,-0.34
AL-043,Alabama,Cullman County,2018,-0.57
AL-043,Alabama,Cullman County,2019,0.49
AL-043,Alabama,Cullman County,2020,2.81
AL-045,Alabama,Dale County,2000,-3.03
AL-045,Alabama,Dale County,2001,0.02
AL-045,Alabama,Dale County,2002,-1.36
AL-045,Alabama,Dale County,2003,1.72
AL-045,Alabama,Dale County,2004,0.6
AL-045,Alabama,Dale County,2005,1.42
AL-045,Alabama,Dale County,2006,-1.96
AL-045,Alabama,Dale County,2007,-2.59
AL-045,Alabama,Dale County,2008,-0.53
AL-045,Alabama,Dale County,2009,1.9
AL-045,Alabama,Dale County,2010,-1.15
AL-045,Alabama,Dale County,2011,-3.5
AL-045,Alabama,Dale County,2012,-1.95
AL-045,Alabama,Dale County,2013,2.46
AL-045,Alabama,Dale County,2014,0.9
AL-045,Alabama,Dale County,2015,0.09
AL-045,Alabama,Dale County,2016,-0.66
AL-045,Alabama,Dale County,2017,1.66
AL-045,Alabama,Dale County,2018,1.85
AL-045,Alabama,Dale County,2019,-1.04
AL-045,Alabama,Dale County,2020,1.66
AL-047,Alabama,Dallas County,2000,-2.2
AL-047,Alabama,Dallas County,2001,1.03
AL-047,Alabama,Dallas County,2002,0.08
AL-047,Alabama,Dallas County,2003,3.9
AL-047,Alabama,Dallas County,2004,1.59
AL-047,Alabama,Dallas County,2005,1.68
AL-047,Alabama,Dallas County,2006,-1.98
AL-047,Alabama,Dallas County,2007,-3.75
AL-047,Alabama,Dallas County,2008,-2.08
AL-047,Alabama,Dallas County,2009,0.64
AL-047,Alabama,Dallas County,2010,-0.67
AL-047,Alabama,Dallas County,2011,-2.78
AL-047,Alabama,Dallas County,2012,-0.72
AL-047,Alabama,Dallas County,2013,2.4
AL-047,Alabama,Dallas County,2014,-0.69
AL-047,Alabama,Dallas County,2015,-1.2
AL-047,Alabama,Dallas County,2016,-0.68
AL-047,Alabama,Dallas County,2017,0.48
AL-047,Alabama,Dallas County,2018,0.12
AL-047,Alabama,Dallas County,2019,-0.79
AL-047,Alabama,Dallas County,2020,0.71
AL-049,Alabama,DeKalb County,2000,-1.85
AL-049,Alabama,DeKalb County,2001,0.16
AL-049,Alabama,DeKalb County,2002,-0.26
AL-049,Alabama,DeKalb County,2003,1.26
AL-049,Alabama,DeKalb County,2004,0.85
AL-049,Alabama,DeKalb County,2005,-1.04
AL-049,Alabama,DeKalb County,2006,-2.29
AL-049,Alabama,DeKalb County,2007,-3.96
