FIPS,County,State,State_abbr,Year,Annual_Mean_Index
1001,Autauga County,Alabama,AL,2000,-2.32
1001,Autauga County,Alabama,AL,2001,1.43
1001,Autauga County,Alabama,AL,2002,-0.76
1001,Autauga County,Alabama,AL,2003,2.39
1001,Autauga County,Alabama,AL,2004,0.0
1001,Autauga County,Alabama,AL,2005,0.9
1001,Autauga County,Alabama,AL,2006,-1.34
1001,Autauga County,Alabama,AL,2007,-3.33
1001,Autauga County,Alabama,AL,2008,-1.38
1001,Autauga County,Alabama,AL,2009,1.64
1001,Autauga County,Alabama,AL,2010,-0.78
1001,Autauga County,Alabama,AL,2011,-2.57
1001,Autauga County,Alabama,AL,2012,-1.16
1001,Autauga County,Alabama,AL,2013,1.43
1001,Autauga County,Alabama,AL,2014,0.06
1001,Autauga County,Alabama,AL,2015,-1.13
1001,Autauga County,Alabama,AL,2016,-0.49
1001,Autauga County,Alabama,AL,2017,1.75
1001,Autauga County,Alabama,AL,2018,1.67
1001,Autauga County,Alabama,AL,2019,-0.68
1001,Autauga County,Alabama,AL,2020,1.43
1003,Baldwin County,Alabama,AL,2000,-4.08
1003,Baldwin County,Alabama,AL,2001,-2.3
1003,Baldwin County,Alabama,AL,2002,-0.98
1003,Baldwin County,Alabama,AL,2003,1.61
1003,Baldwin County,Alabama,AL,2004,0.41
1003,Baldwin County,Alabama,AL,2005,1.39
1003,Baldwin County,Alabama,AL,2006,-2.7
1003,Baldwin County,Alabama,AL,2007,-2.02
1003,Baldwin County,Alabama,AL,2008,0.21
1003,Baldwin County,Alabama,AL,2009,0.45
1003,Baldwin County,Alabama,AL,2010,0.05
1003,Baldwin County,Alabama,AL,2011,-2.78
1003,Baldwin County,Alabama,AL,2012,-1.08
1003,Baldwin County,Alabama,AL,2013,0.62
1003,Baldwin County,Alabama,AL,2014,0.45
1003,Baldwin County,Alabama,AL,2015,-0.78
1003,Baldwin County,Alabama,AL,2016,-0.13
1003,Baldwin County,Alabama,AL,2017,1.39
1003,Baldwin County,Alabama,AL,2018,-0.09
1003,Baldwin County,Alabama,AL,2019,-0.94
1003,Baldwin County,Alabama,AL,2020,-0.2
1005,Barbour County,Alabama,AL,2000,-1.88
1005,Barbour County,Alabama,AL,2001,-0.2
1005,Barbour County,Alabama,AL,2002,-1.21
1005,Barbour County,Alabama,AL,2003,1.53
1005,Barbour County,Alabama,AL,2004,0.19
1005,Barbour County,Alabama,AL,2005,0.54
1005,Barbour County,Alabama,AL,2006,-1.96
1005,Barbour County,Alabama,AL,2007,-2.88
1005,Barbour County,Alabama,AL,2008,-0.61
1005,Barbour County,Alabama,AL,2009,2.26
1005,Barbour County,Alabama,AL,2010,-0.97
1005,Barbour County,Alabama,AL,2011,-3.39
1005,Barbour County,Alabama,AL,2012,-0.72
1005,Barbour County,Alabama,AL,2013,1.47
1005,Barbour County,Alabama,AL,2014,0.39
1005,Barbour County,Alabama,AL,2015,0.09
1005,Barbour County,Alabama,AL,2016,-1.49
1005,Barbour County,Alabama,AL,2017,1.21
1005,Barbour County,Alabama,AL,2018,1.0
1005,Barbour County,Alabama,AL,2019,-1.01
1005,Barbour County,Alabama,AL,2020,2.43
1007,Bibb County,Alabama,AL,2000,-2.2
1007,Bibb County,Alabama,AL,2001,0.83
1007,Bibb County,Alabama,AL,2002,-0.43
1007,Bibb County,Alabama,AL,2003,1.53
1007,Bibb County,Alabama,AL,2004,-0.34
1007,Bibb County,Alabama,AL,2005,0.81
1007,Bibb County,Alabama,AL,2006,-1.34
1007,Bibb County,Alabama,AL,2007,-3.81
1007,Bibb County,Alabama,AL,2008,-2.45
1007,Bibb County,Alabama,AL,2009,1.66
1007,Bibb County,Alabama,AL,2010,-0.45
1007,Bibb County,Alabama,AL,2011,-1.69
1007,Bibb County,Alabama,AL,2012,-0.86
1007,Bibb County,Alabama,AL,2013,1.44
1007,Bibb County,Alabama,AL,2014,0.2
1007,Bibb County,Alabama,AL,2015,-0.58
1007,Bibb County,Alabama,AL,2016,-1.3
1007,Bibb County,Alabama,AL,2017,-0.16
1007,Bibb County,Alabama,AL,2018,-0.12
1007,Bibb County,Alabama,AL,2019,-0.42
1007,Bibb County,Alabama,AL,2020,0.5
1009,Blount County,Alabama,AL,2000,-2.26
1009,Blount County,Alabama,AL,2001,0.83
1009,Blount County,Alabama,AL,2002,1.1
1009,Blount County,Alabama,AL,2003,1.77
1009,Blount County,Alabama,AL,2004,0.84
1009,Blount County,Alabama,AL,2005,-0.54
1009,Blount County,Alabama,AL,2006,-1.38
1009,Blount County,Alabama,AL,2007,-3.85
1009,Blount County,Alabama,AL,2008,-1.29
1009,Blount County,Alabama,AL,2009,2.49
1009,Blount County,Alabama,AL,2010,0.64
1009,Blount County,Alabama,AL,2011,0.13
1009,Blount County,Alabama,AL,2012,-0.23
1009,Blount County,Alabama,AL,2013,2.54
1009,Blount County,Alabama,AL,2014,0.77
1009,Blount County,Alabama,AL,2015,-0.85
1009,Blount County,Alabama,AL,2016,-2.56
1009,Blount County,Alabama,AL,2017,-0.37
1009,Blount County,Alabama,AL,2018,-0.7
1009,Blount County,Alabama,AL,2019,0.35
1009,Blount County,Alabama,AL,2020,2.81
1011,Bullock County,Alabama,AL,2000,-1.81
1011,Bullock County,Alabama,AL,2001,0.19
1011,Bullock County,Alabama,AL,2002,-1.2
1011,Bullock County,Alabama,AL,2003,2.43
1011,Bullock County,Alabama,AL,2004,-0.02
1011,Bullock County,Alabama,AL,2005,0.23
1011,Bullock County,Alabama,AL,2006,-1.84
1011,Bullock County,Alabama,AL,2007,-2.66
1011,Bullock County,Alabama,AL,2008,-0.55
1011,Bullock County,Alabama,AL,2009,2.37
1011,Bullock County,Alabama,AL,2010,-0.62
1011,Bullock County,Alabama,AL,2011,-3.0
1011,Bullock County,Alabama,AL,2012,-0.82
1011,Bullock County,Alabama,AL,2013,1.22
1011,Bullock County,Alabama,AL,2014,0.79
1011,Bullock County,Alabama,AL,2015,-0.68
1011,Bullock County,Alabama,AL,2016,-1.76
1011,Bullock County,Alabama,AL,2017,1.25
1011,Bullock County,Alabama,AL,2018,0.45
1011,Bullock County,Alabama,AL,2019,-0.79
1011,Bullock County,Alabama,AL,2020,1.76
1013,Butler County,Alabama,AL,2000,-2.43
1013,Butler County,Alabama,AL,2001,1.7
1013,Butler County,Alabama,AL,2002,-0.7
1013,Butler County,Alabama,AL,2003,1.25
1013,Butler County,Alabama,AL,2004,0.08
1013,Butler County,Alabama,AL,2005,0.41
1013,Butler County,Alabama,AL,2006,-2.15
1013,Butler County,Alabama,AL,2007,-2.8
1013,Butler County,Alabama,AL,2008,-0.83
1013,Butler County,Alabama,AL,2009,1.93
1013,Butler County,Alabama,AL,2010,-0.86
1013,Butler County,Alabama,AL,2011,-2.96
1013,Butler County,Alabama,AL,2012,-0.01
1013,Butler County,Alabama,AL,2013,2.0
1013,Butler County,Alabama,AL,2014,0.41
1013,Butler County,Alabama,AL,2015,-1.17
1013,Butler County,Alabama,AL,2016,-0.75
1013,Butler County,Alabama,AL,2017,1.19
1013,Butler County,Alabama,AL,2018,0.64
1013,Butler County,Alabama,AL,2019,-0.91
1013,Butler County,Alabama,AL,2020,0.88
1015,Calhoun County,Alabama,AL,2000,-2.69
1015,Calhoun County,Alabama,AL,2001,0.68
1015,Calhoun County,Alabama,AL,2002,-0.32
1015,Calhoun County,Alabama,AL,2003,1.87
1015,Calhoun County,Alabama,AL,2004,0.77
1015,Calhoun County,Alabama,AL,2005,0.95
1015,Calhoun County,Alabama,AL,2006,-1.71
1015,Calhoun County,Alabama,AL,2007,-4.84
1015,Calhoun County,Alabama,AL,2008,-2.44
1015,Calhoun County,Alabama,AL,2009,1.46
1015,Calhoun County,Alabama,AL,2010,-0.96
1015,Calhoun County,Alabama,AL,2011,-2.32
1015,Calhoun County,Alabama,AL,2012,-2.72
1015,Calhoun County,Alabama,AL,2013,2.49
1015,Calhoun County,Alabama,AL,2014,1.29
1015,Calhoun County,Alabama,AL,2015,0.25
1015,Calhoun County,Alabama,AL,2016,-2.72
1015,Calhoun County,Alabama,AL,2017,-0.58
1015,Calhoun County,Alabama,AL,2018,-1.07
1015,Calhoun County,Alabama,AL,2019,0.2
1015,Calhoun County,Alabama,AL,2020,2.11
1017,Chambers County,Alabama,AL,2000,-2.67
1017,Chambers County,Alabama,AL,2001,0.05
1017,Chambers County,Alabama,AL,2002,-2.67
1017,Chambers County,Alabama,AL,2003,0.55
1017,Chambers County,Alabama,AL,2004,-0.26
1017,Chambers County,Alabama,AL,2005,0.76
1017,Chambers County,Alabama,AL,2006,-2.24
1017,Chambers County,Alabama,AL,2007,-3.78
1017,Chambers County,Alabama,AL,2008,-1.54
1017,Chambers County,Alabama,AL,2009,1.3
1017,Chambers County,Alabama,AL,2010,-1.02
1017,Chambers County,Alabama,AL,2011,-3.26
1017,Chambers County,Alabama,AL,2012,-3.28
1017,Chambers County,Alabama,AL,2013,1.57
1017,Chambers County,Alabama,AL,2014,0.51
1017,Chambers County,Alabama,AL,2015,-0.64
1017,Chambers County,Alabama,AL,2016,-1.44
1017,Chambers County,Alabama,AL,2017,-0.08
1017,Chambers County,Alabama,AL,2018,0.22
1017,Chambers County,Alabama,AL,2019,-0.25
1017,Chambers County,Alabama,AL,2020,2.08
1019,Cherokee County,Alabama,AL,2000,-2.31
1019,Cherokee County,Alabama,AL,2001,0.19
1019,Cherokee County,Alabama,AL,2002,-0.25
1019,Cherokee County,Alabama,AL,2003,2.11
1019,Cherokee County,Alabama,AL,2004,0.52
1019,Cherokee County,Alabama,AL,2005,-0.69
1019,Cherokee County,Alabama,AL,2006,-2.4
1019,Cherokee County,Alabama,AL,2007,-4.86
1019,Cherokee County,Alabama,AL,2008,-4.02
1019,Cherokee County,Alabama,AL,2009,0.86
1019,Cherokee County,Alabama,AL,2010,-1.12
1019,Cherokee County,Alabama,AL,2011,-0.94
1019,Cherokee County,Alabama,AL,2012,-1.05
1019,Cherokee County,Alabama,AL,2013,1.89
1019,Cherokee County,Alabama,AL,2014,-0.49
1019,Cherokee County,Alabama,AL,2015,-0.65
1019,Cherokee County,Alabama,AL,2016,-2.36
1019,Cherokee County,Alabama,AL,2017,-0.11
1019,Cherokee County,Alabama,AL,2018,0.85
1019,Cherokee County,Alabama,AL,2019,0.52
1019,Cherokee County,Alabama,AL,2020,2.8
1021,Chilton County,Alabama,AL,2000,-1.98
1021,Chilton County,Alabama,AL,2001,1.19
1021,Chilton County,Alabama,AL,2002,-0.35
1021,Chilton County,Alabama,AL,2003,3.11
1021,Chilton County,Alabama,AL,2004,0.05
1021,Chilton County,Alabama,AL,2005,1.03
1021,Chilton County,Alabama,AL,2006,-0.76
1021,Chilton County,Alabama,AL,2007,-3.06
1021,Chilton County,Alabama,AL,2008,-1.43
1021,Chilton County,Alabama,AL,2009,2.1
1021,Chilton County,Alabama,AL,2010,-0.39
1021,Chilton County,Alabama,AL,2011,-1.8
1021,Chilton County,Alabama,AL,2012,-1.57
1021,Chilton County,Alabama,AL,2013,1.12
1021,Chilton County,Alabama,AL,2014,0.12
1021,Chilton County,Alabama,AL,2015,-0.68
1021,Chilton County,Alabama,AL,2016,-0.91
1021,Chilton County,Alabama,AL,2017,0.95
1021,Chilton County,Alabama,AL,2018,0.82
1021,Chilton County,Alabama,AL,2019,-0.68
1021,Chilton County,Alabama,AL,2020,1.51
1023,Choctaw County,Alabama,AL,2000,-3.49
1023,Choctaw County,Alabama,AL,2001,0.8
1023,Choctaw County,Alabama,AL,2002,-0.5
1023,Choctaw County,Alabama,AL,2003,1.57
1023,Choctaw County,Alabama,AL,2004,0.63
1023,Choctaw County,Alabama,AL,2005,1.14
1023,Choctaw County,Alabama,AL,2006,-2.19
1023,Choctaw County,Alabama,AL,2007,-3.08
