HPI_CHANGE,FIPS,YEAR,STATE,CZ_NAME,FLOOD_COUNT,FLOOD_TOTAL_DAMAGE_PROPERTY,FLOOD_TOTAL_DURATION_HOURS,value,HEAT_INDEX,HSI,STATE_ABBR,DROUGHT_INDEX,FIRE_COUNT,FIRE_TOTAL_FIRE_SIZE,HURRICANE_DEATHS,HURRICANE_INJURIES,HURRICANE_DAMAGE
2.095,13095,2018,GEORGIA,DOUGHERTY,3,0.0,6.28,90.0,0.075197962142097,0.3036129775021576,GA,0.54,12,71.41,0.0,0.0,411000000
5.926,13177,2005,GEORGIA,LEE,12,0.0,3.28,89.1,0.0295757535130424,0.2832295455485981,GA,1.82,38,86.14,0.0,0.0,100000
2.095,13177,2018,GEORGIA,LEE,21,100000.0,15.98,90.0,0.0904651377146161,0.3036129775021576,GA,0.73,6,7.319999999999999,0.0,0.0,116000000
5.926,13273,2005,GEORGIA,TERRELL,2,300000.0,4.0,88.8,0.0166729650064242,0.2698155934361954,GA,1.78,6,25.44,0.0,0.0,250000
5.926,13321,2005,GEORGIA,WORTH,1,1750000.0,8.0,88.9,0.041300662139935,0.2912699377834166,GA,1.34,50,144.84,0.0,0.0,1750000
2.926,22043,2020,LOUISIANA,GRANT,8,0.0,10.55,90.8,0.0683622859500722,0.3399806693098499,LA,2.06,10,11.34,0.0,0.0,0
2.574,22079,2008,LOUISIANA,RAPIDES,4,15555000.0,9.17,92.8,0.2706482360222818,0.4911673550548673,LA,-0.4,135,2794.0,0.0,0.0,105000000
2.926,22079,2020,LOUISIANA,RAPIDES,1,0.0,2.0,90.8,0.0500416752630493,0.3399806693098499,LA,1.58,40,853.29,3.0,0.0,500000000
3.939,13195,2005,GEORGIA,MADISON,40,155000.0,6.17,85.8,0.0264215609908084,0.1644385318738205,GA,1.52,50,23.96,0.0,0.0,0
3.939,13221,2005,GEORGIA,OGLETHORPE,1,250.0,2.75,86.7,0.0167716427617841,0.1848921104346094,GA,1.2,49,87.48,0.0,0.0,0
0.979,22005,2012,LOUISIANA,ASCENSION,1,25000.0,1.5,90.5,0.1408711863552767,0.311096799409188,LA,0.35,1,1.6,0.0,0.0,1115000
0.979,22033,2012,LOUISIANA,EAST BATON ROUGE,1,2000.0,2.0,90.7,0.1365149703602753,0.3101505458091784,LA,0.68,1,30.51,0.0,0.0,10190000
5.116,48245,2020,TEXAS,JEFFERSON,51,75000.0,2.0,91.0,0.2801306680658756,0.4185568695720031,TX,-0.01,11,3881.6,5.0,18.0,270000000
3.213,48361,2005,TEXAS,ORANGE,23,7000.0,2.85,92.2,0.3291915451087093,0.4649420207969461,TX,-1.27,22,228.0,0.0,0.0,500000000
8.115,48361,2007,TEXAS,ORANGE,10,25000.0,7.82,90.1,0.104643136069332,0.3893873717910927,TX,1.69,3,200.0,1.0,0.0,10000000
3.067,48361,2008,TEXAS,ORANGE,25,10000.0,3.58,91.6,0.2855364925805557,0.4921356503053939,TX,-0.09,11,80.0,0.0,0.0,75000000
5.116,48361,2020,TEXAS,ORANGE,36,0.0,3.0,91.3,0.2408082029577003,0.4125113544989945,TX,-1.06,5,27.0,0.0,0.0,1130000000
0.528,48061,2008,TEXAS,CAMERON,4,91500.0,123.45,92.0,0.0466017034437053,0.4115972443806419,TX,0.3,2,4.0,0.0,2.0,367500000
6.862,12071,2017,FLORIDA,LEE,7,500400000.0,148.0,91.3,0.275059689948549,0.4637398340343683,FL,0.08,72,1170.9,1.0,0.0,335880000
10.312,45015,2004,SOUTH CAROLINA,BERKELEY,6,0.0,9.0,89.4,0.09238841590359,0.4795252040786801,SC,-0.67,183,3371.99,0.0,0.0,0
10.312,45019,2004,SOUTH CAROLINA,CHARLESTON,5,0.0,14.2,88.2,0.0801029247791406,0.4599244391473039,SC,-1.22,70,962.55,0.0,0.0,0
9.035,13053,2005,GEORGIA,CHATTAHOOCHEE,1,0.0,17.0,88.5,0.0281946186151813,0.2549746481338497,GA,1.96,2,10.71,0.0,0.0,0
9.035,13145,2005,GEORGIA,HARRIS,14,50000.0,38.0,87.6,0.0422244018934709,0.2343821233860643,GA,1.12,34,99.55,0.0,0.0,0
9.035,13197,2005,GEORGIA,MARION,28,5000.0,39.5,87.9,0.0145875072912176,0.2276119166941687,GA,2.18,41,158.78,0.0,0.0,0
9.035,13259,2005,GEORGIA,STEWART,1,0.0,16.0,88.3,0.0085509649292609,0.241084721546654,GA,2.11,17,24.6,0.0,0.0,0
9.035,13263,2005,GEORGIA,TALBOT,2,0.0,29.0,88.3,0.0754739114911848,0.2730892334926349,GA,1.46,32,148.66,0.0,0.0,0
2.076,48007,2017,TEXAS,ARANSAS,4,0.0,48.83,92.0,0.3553180661577608,0.5133666877387104,TX,-2.47,20,138.2,2.0,64.0,1750000000
2.076,48355,2017,TEXAS,NUECES,24,360000.0,98.58,95.1,0.3666790187504631,0.5403503705754068,TX,-2.54,24,171.0,0.0,0.0,1000000000
2.076,48409,2017,TEXAS,SAN PATRICIO,1,0.0,48.0,94.5,0.3519042706828966,0.5251185064038348,TX,-2.25,4,526.2,0.0,0.0,505000000
22.658,12091,2004,FLORIDA,OKALOOSA,1,0.0,1.25,89.6,0.0561926219860779,0.4731138693947913,FL,1.0,61,345.3,0.0,0.0,0
34.422,12091,2005,FLORIDA,OKALOOSA,7,100000.0,32.23,89.4,0.042657295624979,0.3121133257964057,FL,1.97,30,92.5,0.0,0.0,0
22.658,12131,2004,FLORIDA,WALTON,2,10000.0,1.0,89.8,0.0985187806480966,0.4878058582801809,FL,0.57,57,426.0,0.0,0.0,25000000
34.422,12131,2005,FLORIDA,COASTAL WALTON,4,150000.0,51.0,89.4,0.0500682473080229,0.3192425962088041,FL,0.46,71,202.7,0.0,0.0,12750000
5.972,13213,2005,GEORGIA,MURRAY,16,75250.0,31.0,86.4,0.0806939625260236,0.2095692655034787,GA,1.1,40,174.22,0.0,0.0,0
5.469,1003,2004,ALABAMA,BALDWIN,3,0.0,3.0,89.3,0.0795094869755081,0.4743118343197715,AL,0.41,167,2246.65,0.0,0.0,0
17.078,1003,2005,ALABAMA,BALDWIN,6,260000.0,33.23,89.6,0.1181462737597535,0.3451565645719016,AL,1.39,135,2978.8,0.0,0.0,0
6.229,1003,2020,ALABAMA,BALDWIN,6,0.0,34.63,89.8,0.1408506965014132,0.3520109807342974,AL,-0.2,46,2067.55,2.0,0.0,236080000
18.322,12127,2004,FLORIDA,VOLUSIA,6,3000000.0,531.8100000000001,91.4,0.3574249363867685,0.5772704213893854,FL,0.89,144,743.0,2.0,0.0,353200000
10.071,12127,2016,FLORIDA,VOLUSIA,1,0.0,26.0,92.7,0.4149465648854962,0.507517594939842,FL,-2.4,176,7018.0,5.0,0.0,514400000
7.957,1067,2005,ALABAMA,HENRY,14,0.0,2.0,89.0,0.035205500227491,0.2943239523145656,AL,1.67,3,245.5,0.0,0.0,100000
2.11,1069,2018,ALABAMA,HOUSTON,9,5000.0,29.05,90.8,0.1941011660095629,0.3498210321616644,AL,1.19,12,86.0,0.0,0.0,2940000
4.786,37147,2005,NORTH CAROLINA,PITT,8,0.0,4.220000000000001,88.8,0.2999634839764211,0.3829534326411312,NC,0.14,22,111.3,0.0,0.0,0
9.526,28047,2005,MISSISSIPPI,HARRISON,8,50000.0,6.0,90.0,0.2229007633587786,0.3772996239585722,MS,0.41,19,417.22,97.0,0.0,2940000000
9.526,28059,2005,MISSISSIPPI,JACKSON,41,200000.0,7.0,89.8,0.1469575667304209,0.3575069589644927,MS,0.55,5,353.62,13.0,0.0,1100000000
2.548,28059,2017,MISSISSIPPI,JACKSON,67,0.0,5.5,87.8,-0.0037507828235812,0.3019624912842076,MS,2.29,55,2599.4,0.0,0.0,0
4.603,28131,2004,MISSISSIPPI,STONE,6,0.0,2.25,89.8,0.0579650462032944,0.4710783945804017,MS,-0.36,9,142.2,0.0,0.0,0
9.526,28131,2005,MISSISSIPPI,STONE,7,0.0,9.5,90.5,0.1266924467657693,0.3622778937816048,MS,0.01,9,41.75,0.0,0.0,250000000
-0.298,22105,2008,LOUISIANA,TANGIPAHOA,2,0.0,6.0,91.5,0.2763812758516327,0.4895187153327428,LA,-0.72,55,524.4903,0.0,0.0,250000
-0.483,22105,2012,LOUISIANA,TANGIPAHOA,1,0.0,2.0,90.7,0.2008659246057101,0.3250423137824449,LA,-0.35,37,344.40000000000003,0.0,0.0,4600000
3.866,28035,2004,MISSISSIPPI,FORREST,4,347000.0,6.92,89.4,-0.0041083487694058,0.432493584289542,MS,-0.37,10,71.4,0.0,0.0,125050
4.689,28035,2005,MISSISSIPPI,FORREST,3,440000.0,11.33,90.9,0.0942345230876575,0.3598857246243523,MS,-0.52,18,496.75000000000006,0.0,0.0,840170000
4.689,28073,2005,MISSISSIPPI,LAMAR,8,1100000.0,12.62,90.9,0.1334701539231636,0.374069076863576,MS,-0.78,1,0.1,0.0,10.0,480000000
3.866,28111,2004,MISSISSIPPI,PERRY,31,0.0,2.25,89.7,0.0094274809160305,0.444690177632663,MS,-0.3,21,589.8,0.0,0.0,0
4.689,28111,2005,MISSISSIPPI,PERRY,17,0.0,9.5,90.8,0.0868304015930965,0.3506500158963533,MS,-0.45,53,8603.220000000001,0.0,0.0,0
1.011,22109,2012,LOUISIANA,TERREBONNE,2,10000.0,3.37,89.1,0.1574348409597975,0.266261720988507,LA,0.13,1,614.0,0.0,0.0,2670000
4.607,48071,2007,TEXAS,CHAMBERS,1,40000.0,1.67,88.8,0.0923527808069793,0.3488210264301532,TX,2.46,10,13.6,0.0,0.0,500000
4.607,48167,2007,TEXAS,GALVESTON,2,0.0,8.8,88.3,0.0635100826615833,0.3283383068900356,TX,1.73,22,549.5,0.0,0.0,2500000
0.462,48167,2008,TEXAS,GALVESTON,1,0.0,1.0,90.2,0.2961233683526666,0.4622829829763314,TX,-0.43,31,958.5,8.0,0.0,1000000000
3.553,48201,2003,TEXAS,HARRIS,4,3006000.0,14.67,91.6,0.1293390592163735,0.4260441946866502,TX,-0.12,2,7.0,0.0,0.0,0
4.276,48201,2005,TEXAS,HARRIS,7,165000.0,6.52,93.8,0.3543895206372675,0.5029408360462656,TX,-0.58,21,34.0,0.0,0.0,90000000
0.462,48201,2008,TEXAS,HARRIS,3,100000.0,6.27,93.1,0.2948575035925208,0.5345692126563697,TX,0.08,12,46.0,9.0,2400.0,2000000000
4.276,48291,2005,TEXAS,LIBERTY,5,45000.0,2.83,93.3,0.3568414466274559,0.4957598016716724,TX,-1.25,32,674.0,2.0,0.0,7000000
0.462,48291,2008,TEXAS,LIBERTY,5,0.0,4.7,92.2,0.2641321486672506,0.5028178932051224,TX,0.09,29,300.0,0.0,0.0,220000000
4.276,48339,2005,TEXAS,MONTGOMERY,41,5000.0,2.0,94.4,0.3272450882916047,0.4942932340536439,TX,-0.76,84,689.0,0.0,0.0,2500000
0.462,48339,2008,TEXAS,MONTGOMERY,43,150000.0,1.58,93.4,0.2413972177257003,0.5052478146476532,TX,-0.02,43,540.85,2.0,0.0,500000000
3.008,28123,2002,MISSISSIPPI,SCOTT,43,15000.0,2.0,89.8,0.1050650113245533,0.3075999969465287,MS,0.42,3,54.2,0.0,0.0,71430
5.726,28123,2005,MISSISSIPPI,SCOTT,6,380000.0,5.25,90.5,0.1554819226574952,0.369431647155192,MS,1.28,4,12.5,0.0,0.0,145000000
4.849,37133,2018,NORTH CAROLINA,ONSLOW,2,0.0,3.75,88.4,0.3349744379858534,0.3343938237379059,NC,3.01,51,45.76,0.0,0.0,34500000
1.683,22001,2008,LOUISIANA,ACADIA,1,10000.0,2.18,91.3,0.1457010191961059,0.4274030317334091,LA,-0.5,2,9.5,0.0,0.0,20000000
3.292,13021,2005,GEORGIA,BIBB,10,500000.0,56.82,88.8,0.0129754215250398,0.2662943235736669,GA,1.66,15,46.98,0.0,0.0,0
3.292,13079,2005,GEORGIA,CRAWFORD,36,5000.0,6.5,88.8,0.046094737374248,0.2804260423597093,GA,1.5,57,91.15,0.0,0.0,0
3.292,13169,2005,GEORGIA,JONES,10,0.0,24.0,88.3,0.0079076571274842,0.2375678282858257,GA,1.62,58,127.81,0.0,0.0,0
3.292,13207,2005,GEORGIA,MONROE,24,15000.0,30.0,88.2,0.0189860163480375,0.2442737991864732,GA,1.58,39,105.22,0.0,0.0,0
3.292,13289,2005,GEORGIA,TWIGGS,1,0.0,9.75,88.9,0.0173330310130249,0.2770910910058192,GA,1.72,97,199.37,0.0,0.0,0
2.425,1097,2004,ALABAMA,MOBILE,2,10000.0,5.67,89.4,0.0954418510180938,0.4795252040786801,AL,0.3,365,4004.0,0.0,0.0,2525000000
