FIPS,YEAR,STATE,CZ_NAME,COUNT,TOTAL_DAMAGE_PROPERTY,TOTAL_DURATION_HOURS
1001,2000,ALABAMA,AUTAUGA,1,200000.0,3.5
1001,2001,ALABAMA,AUTAUGA,2,37000.0,4.25
1001,2003,ALABAMA,AUTAUGA,2,58000.0,6.0
1001,2004,ALABAMA,AUTAUGA,1,8000.0,3.5
1001,2005,ALABAMA,AUTAUGA,6,19000.0,76.0
1001,2006,ALABAMA,AUTAUGA,1,0.0,1.8
1001,2007,ALABAMA,AUTAUGA,1,0.0,1.62
1001,2009,ALABAMA,AUTAUGA,3,1580000.0,17.0
1001,2013,ALABAMA,AUTAUGA,1,0.0,10.5
1001,2014,ALABAMA,AUTAUGA,2,0.0,35.33
1001,2015,ALABAMA,AUTAUGA,2,0.0,3.67
1001,2016,ALABAMA,AUTAUGA,2,0.0,5.98
1001,2017,ALABAMA,AUTAUGA,2,0.0,7.0
1003,2001,ALABAMA,BALDWIN,2,15000.0,6.0
1003,2002,ALABAMA,BALDWIN,3,0.0,25.08
1003,2003,ALABAMA,BALDWIN,7,500000.0,28.73
1003,2004,ALABAMA,BALDWIN,3,0.0,3.0
1003,2005,ALABAMA,BALDWIN,6,260000.0,33.23
1003,2006,ALABAMA,BALDWIN,3,0.0,4.0
1003,2007,ALABAMA,BALDWIN,4,100000.0,11.75
1003,2008,ALABAMA,BALDWIN,7,27000.0,32.08
1003,2009,ALABAMA,BALDWIN,8,0.0,5.33
1003,2010,ALABAMA,BALDWIN,2,0.0,2.0
1003,2012,ALABAMA,BALDWIN,2,0.0,4.0
1003,2013,ALABAMA,BALDWIN,9,75000.0,13.32
1003,2014,ALABAMA,BALDWIN,14,27140000.0,40.75
1003,2016,ALABAMA,BALDWIN,6,10000.0,13.58
1003,2017,ALABAMA,BALDWIN,12,680000.0,34.03
1003,2018,ALABAMA,BALDWIN,5,0.0,12.55
1003,2019,ALABAMA,BALDWIN COASTAL,2,0.0,15.0
1003,2020,ALABAMA,BALDWIN,6,0.0,34.63
1005,2001,ALABAMA,BARBOUR,1,25000.0,2.0
1005,2004,ALABAMA,BARBOUR,2,3000.0,1.92
1005,2009,ALABAMA,BARBOUR,2,30000.0,2.0
1005,2015,ALABAMA,BARBOUR,4,0.0,16.5
1005,2020,ALABAMA,BARBOUR,1,0.0,8.5
1007,2001,ALABAMA,BIBB,3,3000.0,1.5
1007,2003,ALABAMA,BIBB,2,0.0,36.0
1007,2004,ALABAMA,BIBB,3,2000.0,2.82
1007,2005,ALABAMA,BIBB,10,4000.0,72.5
1007,2009,ALABAMA,BIBB,7,176000.0,12.48
1007,2011,ALABAMA,BIBB,1,0.0,3.42
1007,2012,ALABAMA,BIBB,1,0.0,5.0
1007,2014,ALABAMA,BIBB,1,0.0,14.0
