zip,county_fips5,yr,hpi_change,hpi,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,unemployment_rate,prop_rate,county_fips,home_purchase_per_cap,amt_purchase_per_cap,Earned Prem,Earned Exp,prem_per_unit
90001,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90002,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90003,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90004,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90005,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90006,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90007,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90008,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90009,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90010,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90011,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90012,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90013,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90014,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90015,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90016,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90017,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90018,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90019,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90020,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90021,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90022,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90023,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90024,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90025,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90026,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90027,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90028,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90029,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
90030,06037,2017,6.85,1468.26,7.0,0.0,9.75,0.5576216248793386,-2.72,437.0,31026.92,0.0,0.0,0.0,4.8,1.167,6037.0,0.0056354481828590226,3159.462128054227,,,
