state_name,county/county_equivalent,county_fips5,yr,hpi_change,index_nsa
AL,Autauga,01001,1986,,100
AL,Autauga,01001,1987,-1.86,98.14
AL,Autauga,01001,1988,2.6,100.68
AL,Autauga,01001,1989,4.3,105.02
AL,Autauga,01001,1990,-0.33,104.67
AL,Autauga,01001,1991,2.59,107.38
AL,Autauga,01001,1992,3.1,110.71
AL,Autauga,01001,1993,3.43,114.51
AL,Autauga,01001,1994,4.21,119.33
AL,Autauga,01001,1995,3.63,123.67
AL,Autauga,01001,1996,2.89,127.24
AL,Autauga,01001,1997,3.03,131.1
AL,Autauga,01001,1998,3.76,136.04
AL,Autauga,01001,1999,1.28,137.78
AL,Autauga,01001,2000,2.5,141.23
AL,Autauga,01001,2001,3.44,146.08
AL,Autauga,01001,2002,2.67,149.98
AL,Autauga,01001,2003,1.79,152.66
AL,Autauga,01001,2004,2.92,157.12
AL,Autauga,01001,2005,7.02,168.15
AL,Autauga,01001,2006,7.88,181.4
AL,Autauga,01001,2007,4.51,189.59
AL,Autauga,01001,2008,0.27,190.09
AL,Autauga,01001,2009,-1.79,186.69
AL,Autauga,01001,2010,-3.58,180
AL,Autauga,01001,2011,-2.06,176.29
AL,Autauga,01001,2012,-2.78,171.39
AL,Autauga,01001,2013,0.31,171.92
AL,Autauga,01001,2014,-0.05,171.83
AL,Autauga,01001,2015,1.1,173.72
AL,Autauga,01001,2016,2.4,177.9
AL,Autauga,01001,2017,2.99,183.21
AL,Autauga,01001,2018,0.03,183.27
AL,Autauga,01001,2019,4.32,191.19
AL,Autauga,01001,2020,0.58,192.3
AL,Autauga,01001,2021,8.04,207.76
AL,Autauga,01001,2022,14.03,236.89
AL,Autauga,01001,2023,9.35,259.05
AL,Autauga,01001,2024,8.2,280.3
AL,Baldwin,01003,1977,,100
AL,Baldwin,01003,1978,-3.13,96.87
AL,Baldwin,01003,1979,8.67,105.27
AL,Baldwin,01003,1980,18.23,124.47
AL,Baldwin,01003,1981,-12.94,108.36
AL,Baldwin,01003,1982,-2.89,105.22
AL,Baldwin,01003,1983,31.11,137.96
AL,Baldwin,01003,1984,-3.53,133.09
AL,Baldwin,01003,1985,0.33,133.53
AL,Baldwin,01003,1986,0.6,134.33
AL,Baldwin,01003,1987,0.99,135.65
AL,Baldwin,01003,1988,1.27,137.37
AL,Baldwin,01003,1989,2.5,140.81
AL,Baldwin,01003,1990,2.8,144.75
AL,Baldwin,01003,1991,2.95,149.02
AL,Baldwin,01003,1992,4.13,155.18
AL,Baldwin,01003,1993,8.37,168.17
AL,Baldwin,01003,1994,7.28,180.4
AL,Baldwin,01003,1995,7.88,194.61
AL,Baldwin,01003,1996,3.72,201.86
AL,Baldwin,01003,1997,6.53,215.04
AL,Baldwin,01003,1998,4.57,224.86
AL,Baldwin,01003,1999,2.67,230.86
AL,Baldwin,01003,2000,3.91,239.9
AL,Baldwin,01003,2001,4.43,250.51
AL,Baldwin,01003,2002,1.63,254.6
AL,Baldwin,01003,2003,3.5,263.5
AL,Baldwin,01003,2004,4.92,276.47
AL,Baldwin,01003,2005,17.19,323.98
AL,Baldwin,01003,2006,17.32,380.1
AL,Baldwin,01003,2007,1.81,387
AL,Baldwin,01003,2008,-4.06,371.3
AL,Baldwin,01003,2009,-7.93,341.85
AL,Baldwin,01003,2010,-12.2,300.15
AL,Baldwin,01003,2011,-6.5,280.65
AL,Baldwin,01003,2012,0.28,281.43
AL,Baldwin,01003,2013,1.39,285.34
AL,Baldwin,01003,2014,8.45,309.44
AL,Baldwin,01003,2015,3.94,321.64
AL,Baldwin,01003,2016,5.15,338.2
AL,Baldwin,01003,2017,4.84,354.59
AL,Baldwin,01003,2018,5.85,375.31
AL,Baldwin,01003,2019,6.79,400.79
AL,Baldwin,01003,2020,4.38,418.35
AL,Baldwin,01003,2021,13.41,474.46
AL,Baldwin,01003,2022,17.39,556.96
AL,Baldwin,01003,2023,11.79,622.63
AL,Baldwin,01003,2024,2.54,638.45
AL,Barbour,01005,1985,,100
AL,Barbour,01005,1986,4.89,104.89
AL,Barbour,01005,1987,-0.99,103.85
AL,Barbour,01005,1988,8.18,112.35
AL,Barbour,01005,1989,0.39,112.79
AL,Barbour,01005,1990,-2.09,110.44
AL,Barbour,01005,1991,2.82,113.55
AL,Barbour,01005,1992,4.85,119.07
AL,Barbour,01005,1993,3.68,123.44
AL,Barbour,01005,1994,2.25,126.22
AL,Barbour,01005,1995,8.45,136.89
AL,Barbour,01005,1996,3.72,141.98
AL,Barbour,01005,1997,7.42,152.51
AL,Barbour,01005,1998,6.14,161.87
AL,Barbour,01005,1999,2.21,165.45
AL,Barbour,01005,2000,5.27,174.17
AL,Barbour,01005,2001,6.86,186.12
AL,Barbour,01005,2002,0.85,187.71
AL,Barbour,01005,2003,-1.06,185.71
AL,Barbour,01005,2004,0.35,186.36
AL,Barbour,01005,2005,7.48,200.29
AL,Barbour,01005,2006,8.86,218.05
AL,Barbour,01005,2007,5.56,230.16
AL,Barbour,01005,2008,3.55,238.33
AL,Barbour,01005,2009,-2.31,232.82
AL,Barbour,01005,2010,-4.87,221.48
AL,Barbour,01005,2011,-2.5,215.96
AL,Barbour,01005,2012,-0.65,214.55
AL,Barbour,01005,2013,-2.69,208.78
AL,Barbour,01005,2014,-6.21,195.82
AL,Barbour,01005,2015,4.54,204.71
AL,Barbour,01005,2016,-0.47,203.74
AL,Barbour,01005,2017,2.66,209.16
AL,Barbour,01005,2018,-3.1,202.68
AL,Barbour,01005,2019,0.97,204.65
AL,Barbour,01005,2020,7.05,219.08
AL,Barbour,01005,2021,9.2,239.23
AL,Barbour,01005,2022,13.34,271.15
AL,Barbour,01005,2023,4.13,282.35
AL,Barbour,01005,2024,-2.51,275.27
AL,Bibb,01007,1998,,100
AL,Bibb,01007,1999,9.41,109.41
AL,Bibb,01007,2000,1.15,110.67
AL,Bibb,01007,2001,4.69,115.86
AL,Bibb,01007,2002,7.61,124.68
AL,Bibb,01007,2003,0.79,125.66
AL,Bibb,01007,2004,-0.41,125.16
AL,Bibb,01007,2005,3.69,129.77
AL,Bibb,01007,2006,11.84,145.13
AL,Bibb,01007,2007,0.01,145.15
AL,Bibb,01007,2008,2.8,149.21
AL,Bibb,01007,2009,-1.8,146.53
AL,Bibb,01007,2010,-5.18,138.95
AL,Bibb,01007,2011,2.86,142.92
AL,Bibb,01007,2012,-1.06,141.41
AL,Bibb,01007,2013,-3.54,136.39
AL,Bibb,01007,2014,3.25,140.82
AL,Bibb,01007,2015,-1.85,138.22
AL,Bibb,01007,2016,6.15,146.72
AL,Bibb,01007,2017,-1.19,144.97
AL,Bibb,01007,2018,8.13,156.75
AL,Bibb,01007,2019,6.49,166.93
AL,Bibb,01007,2020,1.62,169.63
AL,Bibb,01007,2021,7.74,182.76
AL,Bibb,01007,2022,13.47,207.39
AL,Bibb,01007,2023,12.42,233.14
AL,Bibb,01007,2024,8.66,253.32
AL,Blount,01009,1992,,100
AL,Blount,01009,1993,0.83,100.83
AL,Blount,01009,1994,8.91,109.82
AL,Blount,01009,1995,6.45,116.91
AL,Blount,01009,1996,5.98,123.9
AL,Blount,01009,1997,1.79,126.12
AL,Blount,01009,1998,6.3,134.07
AL,Blount,01009,1999,4.73,140.42
AL,Blount,01009,2000,2.58,144.04
AL,Blount,01009,2001,4.68,150.79
AL,Blount,01009,2002,1.79,153.49
AL,Blount,01009,2003,2.27,156.97
AL,Blount,01009,2004,2.88,161.49
AL,Blount,01009,2005,6.87,172.58
AL,Blount,01009,2006,5.2,181.56
AL,Blount,01009,2007,1.11,183.58
AL,Blount,01009,2008,2.98,189.06
AL,Blount,01009,2009,-1.73,185.79
AL,Blount,01009,2010,-4.63,177.19
AL,Blount,01009,2011,-2.78,172.27
AL,Blount,01009,2012,-2.68,167.66
AL,Blount,01009,2013,1.63,170.38
AL,Blount,01009,2014,0.35,170.98
AL,Blount,01009,2015,1.4,173.38
AL,Blount,01009,2016,1.5,175.97
AL,Blount,01009,2017,6.78,187.91
AL,Blount,01009,2018,1.66,191.03
AL,Blount,01009,2019,4.92,200.44
AL,Blount,01009,2020,3.78,208.02
AL,Blount,01009,2021,11.12,231.14
AL,Blount,01009,2022,16.49,269.26
AL,Blount,01009,2023,2.9,277.06
AL,Blount,01009,2024,9.27,302.73
AL,Butler,01013,1993,,100
AL,Butler,01013,1994,8.45,108.45
AL,Butler,01013,1995,-2.97,105.23
AL,Butler,01013,1996,12.36,118.23
AL,Butler,01013,1997,-1.18,116.84
AL,Butler,01013,1998,11.54,130.33
AL,Butler,01013,1999,0.72,131.26
AL,Butler,01013,2000,0.65,132.12
AL,Butler,01013,2001,-1.17,130.57
AL,Butler,01013,2002,4.72,136.74
AL,Butler,01013,2003,1.2,138.38
AL,Butler,01013,2004,5.42,145.88
AL,Butler,01013,2005,6.26,155.01
AL,Butler,01013,2006,1.62,157.51
AL,Butler,01013,2007,8.2,170.44
AL,Butler,01013,2008,2.33,174.4
AL,Butler,01013,2009,-4.49,166.57
AL,Butler,01013,2010,-3.09,161.43
AL,Butler,01013,2011,-5.54,152.49
AL,Butler,01013,2012,3.63,158.02
AL,Butler,01013,2013,-2.83,153.54
AL,Butler,01013,2014,3.96,159.62
AL,Butler,01013,2015,-2.63,155.42
AL,Butler,01013,2016,-1.43,153.2
AL,Butler,01013,2017,1.3,155.18
AL,Butler,01013,2018,6.18,164.77
AL,Butler,01013,2019,-1.72,161.94
AL,Butler,01013,2020,3.23,167.17
AL,Butler,01013,2021,3.51,173.04
AL,Butler,01013,2022,17.95,204.09
AL,Butler,01013,2023,6.55,217.45
AL,Butler,01013,2024,11.63,242.74
AL,Calhoun,01015,1977,,100
AL,Calhoun,01015,1978,4.92,104.92
AL,Calhoun,01015,1979,20.18,126.09
AL,Calhoun,01015,1980,4.03,131.17
AL,Calhoun,01015,1981,4.22,136.71
AL,Calhoun,01015,1982,-4.89,130.02
AL,Calhoun,01015,1983,10.75,144
AL,Calhoun,01015,1984,9.17,157.19
AL,Calhoun,01015,1985,-2.94,152.58
AL,Calhoun,01015,1986,4.55,159.52
AL,Calhoun,01015,1987,3.39,164.94
AL,Calhoun,01015,1988,-5.8,155.37
AL,Calhoun,01015,1989,3.47,160.77
AL,Calhoun,01015,1990,2.48,164.75
AL,Calhoun,01015,1991,0.8,166.08
AL,Calhoun,01015,1992,1.27,168.19
AL,Calhoun,01015,1993,2.4,172.22
AL,Calhoun,01015,1994,4.24,179.52
AL,Calhoun,01015,1995,2.03,183.16
AL,Calhoun,01015,1996,2.61,187.93
