county_fips5,yr,index_nsa
01001,2021,207.76
01001,2022,236.89
01001,2023,259.05
01001,2024,280.3
01003,2021,474.46
01003,2022,556.96
01003,2023,622.63
01003,2024,638.45
01005,2021,239.23
01005,2022,271.15
01005,2023,282.35
01005,2024,275.27
01007,2021,182.76
01007,2022,207.39
01007,2023,233.14
01007,2024,253.32
01009,2021,231.14
01009,2022,269.26
01009,2023,277.06
01009,2024,302.73
01013,2021,173.04
01013,2022,204.09
01013,2023,217.45
01013,2024,242.74
01015,2021,341.62
01015,2022,398.69
01015,2023,426.6
01015,2024,447.39
01017,2021,246.85
01017,2022,281.03
01017,2023,317.17
01017,2024,321.72
01019,2021,184.44
01019,2022,223.14
01019,2023,224.69
01019,2024,274.69
01021,2021,258.28
01021,2022,304.64
01021,2023,326.77
01021,2024,339.62
01023,2021,140.32
01023,2022,183.35
01023,2023,157.58
01023,2024,
01025,2021,227.99
01025,2022,246.23
01025,2023,265.27
01025,2024,263.39
01027,2021,144.65
01027,2022,171.77
01027,2023,185.76
01027,2024,226.14
01029,2021,208.41
01029,2022,235.97
01029,2023,269.36
01029,2024,305.97
01031,2021,213.76
01031,2022,242.95
01031,2023,265.98
01031,2024,286.19
01033,2021,262.88
01033,2022,315.96
01033,2023,347.69
01033,2024,364.58
01035,2021,107.53
01035,2022,113.81
01035,2023,
01035,2024,
01037,2021,141.91
01037,2022,156.52
01037,2023,
01037,2024,151.94
01039,2021,167.84
01039,2022,196.71
01039,2023,206.01
01039,2024,226.34
01041,2021,168.02
01041,2022,182.78
01041,2023,197.96
01041,2024,179.96
01043,2021,265.42
01043,2022,322.47
01043,2023,330.6
01043,2024,362.99
01045,2021,182.97
01045,2022,208.95
01045,2023,232.91
01045,2024,250.1
01047,2021,173.12
01047,2022,189.63
01047,2023,210.41
01047,2024,214.46
01049,2021,230.27
01049,2022,274.32
01049,2023,305.96
01049,2024,327.11
01051,2021,215.64
01051,2022,253.7
01051,2023,271.19
01051,2024,275.48
01053,2021,252.79
01053,2022,273.92
01053,2023,304.06
01053,2024,325.81
01055,2021,295.29
01055,2022,344.12
01055,2023,367.82
01055,2024,397.78
01057,2021,207.49
01057,2022,232.51
01057,2023,248.53
01057,2024,243.61
01059,2021,163.01
01059,2022,188.94
01059,2023,212.8
01059,2024,218.71
01061,2021,176.17
01061,2022,187.24
01061,2023,226.54
01061,2024,233.65
01065,2021,144.4
01065,2022,161.67
01065,2023,198.25
01065,2024,211.75
01067,2021,192.87
01067,2022,223.36
01067,2023,251.98
01067,2024,276.11
01069,2021,314.09
01069,2022,355.62
01069,2023,391.23
01069,2024,406.16
01071,2021,262.04
01071,2022,306.24
01071,2023,334.09
01071,2024,352.33
01073,2021,526.89
01073,2022,596.06
01073,2023,633.49
01073,2024,653.77
01075,2021,163.58
01075,2022,166.8
01075,2023,216
01075,2024,
01077,2021,276.35
01077,2022,326.71
01077,2023,359.91
01077,2024,385.83
01079,2021,249.37
01079,2022,293.6
01079,2023,313.06
01079,2024,341.19
01081,2021,469.1
01081,2022,533.43
01081,2023,587.26
01081,2024,610.93
01083,2021,285.5
01083,2022,339.98
01083,2023,361.59
01083,2024,378.84
01085,2021,125.96
01085,2022,131
01085,2023,
01085,2024,
01087,2021,139.67
01087,2022,162.99
01087,2023,170.67
01087,2024,172.31
01089,2021,571.58
01089,2022,685.49
01089,2023,719.62
01089,2024,746.42
01091,2021,193.65
01091,2022,225.86
01091,2023,223.77
01091,2024,254.93
01093,2021,166.2
01093,2022,180.87
01093,2023,200.44
01093,2024,229.68
01095,2021,247.93
01095,2022,298.09
01095,2023,323.15
01095,2024,344.79
01097,2021,500.83
01097,2022,575.06
01097,2023,625.36
01097,2024,642.69
01099,2021,165.4
01099,2022,176.73
01099,2023,192.04
01099,2024,214.99
01101,2021,282.89
01101,2022,319.88
01101,2023,335.22
01101,2024,351
01103,2021,411.4
01103,2022,491.6
01103,2023,526.02
01103,2024,549.78
01107,2021,151.01
01107,2022,199.91
01107,2023,192.92
01107,2024,198.97
01109,2021,187.9
01109,2022,201.51
01109,2023,224.06
01109,2024,228.07
01111,2021,208.19
01111,2022,241.5
01111,2023,304.82
01111,2024,262.33
01113,2021,236.44
01113,2022,285.51
01113,2023,295.48
01113,2024,334.84
01115,2021,396.89
01115,2022,457.96
01115,2023,482.2
