county_fips5,yr,hpi_yoy,FIPS,YEAR,STATE,CZ_NAME,COUNT,TOTAL_DAMAGE_PROPERTY,TOTAL_DURATION_HOURS,year,value,heat_index,HSI
48059,2002,2.8504401262248624,48059,2002,TEXAS,CALLAHAN,2,807000.0,14.08,2002,90.8,0.0590888943609948,0.3237920448776235
48059,2003,2.62005207807674,48059,2003,TEXAS,CALLAHAN,2,0.0,2.0,2003,92.8,0.17886234917508,0.4424779231864042
48059,2004,4.4552410550954935,48059,2004,TEXAS,CALLAHAN,4,100000.0,4.18,2004,89.6,-0.000561438069441,0.4132330908179735
48059,2005,6.92226574269359,48059,2005,TEXAS,CALLAHAN,2,50000.0,4.02,2005,91.3,0.0989559221866535,0.3449272212241586
48059,2007,6.076845626684868,48059,2007,TEXAS,CALLAHAN,6,2000.0,13.2,2007,87.9,-0.0298497906919477,0.2204792411509182
48059,2012,1.612448219031637,48059,2012,TEXAS,CALLAHAN,1,0.0,6.0,2012,95.7,0.3532972174341295,0.5070344313996215
48059,2016,4.629291453615769,48059,2016,TEXAS,CALLAHAN,2,0.0,4.0,2016,92.5,0.1616596897315932,0.3678182123429651
48059,2017,3.590440452295774,48059,2017,TEXAS,CALLAHAN,1,0.0,1.6,2017,91.7,0.1137503078059591,0.4170642334562012
48059,2018,5.08466417147051,48059,2018,TEXAS,CALLAHAN,1,1060000.0,5.78,2018,96.1,0.386412213740458,0.5272255286700192
48253,2000,1.2269536119677182,48253,2000,TEXAS,JONES,4,0.0,51.0,2000,95.2,0.252412990037521,0.5042061169273021
48253,2000,1.2269536119677182,48253,2000,TEXAS,JONES,4,0.0,1.75,2000,95.2,0.252412990037521,0.5042061169273021
48253,2001,4.070521130412241,48253,2001,TEXAS,JONES,9,0.0,0.92,2001,96.9,0.3487142579893906,0.6166926317244737
48253,2002,2.8504401262248624,48253,2002,TEXAS,JONES,15,1000000.0,5.33,2002,92.4,0.0788911890283348,0.3710164765002285
48253,2003,2.62005207807674,48253,2003,TEXAS,JONES,6,0.0,2.37,2003,94.0,0.1745568637598654,0.4474015508787043
48253,2004,4.4552410550954935,48253,2004,TEXAS,JONES,15,0.0,0.17,2004,91.0,0.0119776167680165,0.439897948806602
48253,2005,6.92226574269359,48253,2005,TEXAS,JONES,10,0.0,66.97,2005,92.8,0.0967007374822098,0.3703904595265295
48253,2005,6.92226574269359,48253,2005,TEXAS,JONES,10,0.0,1.38,2005,92.8,0.0967007374822098,0.3703904595265295
48253,2007,6.076845626684868,48253,2007,TEXAS,JONES,8,25000000.0,29.83,2007,89.7,-0.0207125760124207,0.2872992672068936
48253,2008,1.987140232700546,48253,2008,TEXAS,JONES,11,0.0,3.0,2008,94.7,0.2125938025617803,0.5019585790632843
48253,2009,2.1765889099042424,48253,2009,TEXAS,JONES,14,0.0,4.12,2009,96.1,0.3069882908526329,0.6016906887687931
48253,2015,2.56053511705685,48253,2015,TEXAS,JONES,13,0.0,5.62,2015,94.0,0.1745568637598654,0.4514815607284331
48253,2018,5.08466417147051,48253,2018,TEXAS,JONES,15,6250000.0,23.17,2018,97.5,0.3708484279984474,0.5709375184906481
48253,2019,3.432282003710574,48253,2019,TEXAS,JONES,16,0.0,3.75,2019,95.0,0.2389280631388277,0.5259218624561827
48253,2020,4.496484526379896,48253,2020,TEXAS,JONES,7,0.0,8.0,2020,97.3,0.3665238064432655,0.5798018117114008
48441,2000,1.2269536119677182,48441,2000,TEXAS,TAYLOR,5,2000000.0,7.25,2000,94.1,0.2819059344988919,0.4924272705626344
48441,2001,4.070521130412241,48441,2001,TEXAS,TAYLOR,5,0.0,2.0,2001,95.4,0.3513617335631618,0.5646910188699685
48441,2002,2.8504401262248624,48441,2002,TEXAS,TAYLOR,8,15000000.0,41.17,2002,91.1,0.0793449889189854,0.3413306655511509
48441,2003,2.62005207807674,48441,2003,TEXAS,TAYLOR,8,0.0,8.97,2003,92.5,0.1708199950751046,0.4303344335064632
48441,2004,4.4552410550954935,48441,2004,TEXAS,TAYLOR,8,45000.0,9.05,2004,89.5,0.004900270869244,0.4083310056426429
48441,2005,6.92226574269359,48441,2005,TEXAS,TAYLOR,3,0.0,1.0,2005,91.5,0.1002462447672987,0.3559867537186462
48441,2007,6.076845626684868,48441,2007,TEXAS,TAYLOR,24,15563000.0,89.18,2007,88.3,-0.0272691455306574,0.2402634217294556
48441,2010,0.1043074572486313,48441,2010,TEXAS,TAYLOR,9,0.0,1.0,2010,94.1,0.2819059344988919,0.4887373647343279
48441,2011,-1.1564595899558272,48441,2011,TEXAS,TAYLOR,11,0.0,2.0,2011,101.5,0.4548387096774193,0.8107971497273478
48441,2012,1.612448219031637,48441,2012,TEXAS,TAYLOR,2,0.0,4.0,2012,96.5,0.3920462940162522,0.5611180337812248
48441,2013,3.579934830574105,48441,2013,TEXAS,TAYLOR,13,0.0,2.08,2013,93.5,0.2322334400393991,0.4885258408890983
48441,2014,5.449518247351426,48441,2014,TEXAS,TAYLOR,8,0.0,2.08,2014,92.3,0.1420487564639251,0.4799011746316686
48441,2015,2.56053511705685,48441,2015,TEXAS,TAYLOR,14,0.0,28.0,2015,92.9,0.1947746860379217,0.4445843605938729
48441,2016,4.629291453615769,48441,2016,TEXAS,TAYLOR,10,0.0,17.87,2016,92.3,0.1420487564639251,0.354531584149065
48441,2018,5.08466417147051,48441,2018,TEXAS,TAYLOR,9,394000.0,11.57,2018,96.1,0.3772519083969465,0.5272255286700192
48441,2019,3.432282003710574,48441,2019,TEXAS,TAYLOR,14,0.0,16.0,2019,94.1,0.2819059344988919,0.5394977347650908
