,state,stateabbrv,county,statefips,stcofips,population,risk_value,risk_score,risk_ratng,nri_ver,cbsa_code,county_fips5,place_name,place_id,yr,index_nsa,index_prev,hpi_change
0,Alabama,AL,Autauga,1,01001,58764,6156054.321904968,49.220489977728285,Relatively Low,2023,33860,01001,"Montgomery, AL",33860,2023,205.8625,195.35000000000002,10.512499999999989
1,Alabama,AL,Baldwin,1,01003,231365,210632685.03204635,97.70919503658925,Relatively High,2023,19300,01003,"Daphne-Fairhope-Foley, AL",19300,2023,363.1425,333.1125,30.029999999999973
3,Alabama,AL,Bibb,1,01007,22239,3863746.994426648,32.48488705058861,Very Low,2023,13820,01007,"Birmingham, AL",13820,2023,324.80125,308.825,15.976249999999993
4,Alabama,AL,Blount,1,01009,58992,10238536.29147353,65.12885777919185,Relatively Low,2023,13820,01009,"Birmingham, AL",13820,2023,324.80125,308.825,15.976249999999993
5,Alabama,AL,Calhoun,1,01015,116250,26233823.90671147,84.37798281896278,Relatively Moderate,2023,11500,01015,"Anniston-Oxford, AL",11500,2023,261.2475,243.6425,17.60499999999999
7,Alabama,AL,Chilton,1,01021,44999,8034568.594594459,58.54279350938594,Relatively Low,2023,13820,01021,"Birmingham, AL",13820,2023,324.80125,308.825,15.976249999999993
9,Alabama,AL,Colbert,1,01033,57133,13039100.047965756,71.90582246261533,Relatively Low,2023,22520,01033,"Florence-Muscle Shoals, AL",22520,2023,271.3575,250.29500000000002,21.0625
15,Alabama,AL,Elmore,1,01051,87755,7727801.049058331,57.27012408526885,Relatively Low,2023,33860,01051,"Montgomery, AL",33860,2023,205.8625,195.35000000000002,10.512499999999989
16,Alabama,AL,Etowah,1,01055,103320,23052950.48116733,82.24626153356665,Relatively Low,2023,23460,01055,"Gadsden, AL",23460,2023,290.0325,269.5775,20.45500000000004
18,Alabama,AL,Geneva,1,01061,26621,10453197.564154228,65.5424753420299,Relatively Low,2023,20020,01061,"Dothan, AL",20020,2023,242.385,221.0125,21.372500000000002
