BEGIN_DATE,CZ_FIPS,CZ_NAME_STR,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,state,year,CZ_FIPS3,county_name,county_fips
09/17/2000,34,DIXIE (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,034,NEWPORT NEWS,51700.0
09/17/2000,27,WAKULLA (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,027,MAUI,15009.0
09/17/2000,28,TAYLOR (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,028,MAUI,15009.0
09/17/2000,19,MADISON (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,019,HONOLULU,15003.0
09/17/2000,26,LIBERTY (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,026,HONOLULU,15003.0
09/17/2000,17,LEON (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,017,HONOLULU,15003.0
09/17/2000,29,LAFAYETTE (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,029,HONOLULU,15003.0
09/17/2000,18,JEFFERSON (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,018,HONOLULU,15003.0
09/17/2000,16,GADSDEN (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,016,HONOLULU,15003.0
09/17/2000,15,FRANKLIN (ZONE),0,0,0,0.0,09/18/2000,Hurricane (Typhoon),0,0.0,FL,2000,015,MAUI,15009.0
11/04/2001,76,MONROE/UPPER KEYS (ZONE),0,0,0,0.0,11/04/2001,Hurricane (Typhoon),0,0.0,FL,2001,076,HONOLULU,15003.0
11/05/2001,78,MONROE/LOWER KEYS (ZONE),0,0,0,0.0,11/05/2001,Hurricane (Typhoon),0,0.0,FL,2001,078,Lower Keys in Monroe,12087.0
11/05/2001,74,COASTAL DADE (ZONE),0,10000,0,0.0,11/05/2001,Hurricane (Typhoon),0,0.0,FL,2001,074,Miami-Dade,12086.0
11/05/2001,77,MONROE/MIDDLE KEYS (ZONE),0,0,0,0.0,11/05/2001,Hurricane (Typhoon),0,0.0,FL,2001,077,Middle Keys in Monroe,12087.0
11/05/2001,72,COASTAL BROWARD (ZONE),0,30000,0,0.0,11/05/2001,Hurricane (Typhoon),0,0.0,FL,2001,072,Broward,12011.0
11/05/2001,68,COASTAL PALM BEACH (ZONE),0,10000,0,0.0,11/05/2001,Hurricane (Typhoon),0,0.0,FL,2001,068,Palm Beach,12099.0
10/02/2002,64,LOWER BALDWIN (ZONE),0,75000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,AL,2002,064,Baldwin,1003.0
10/02/2002,62,UPPER BALDWIN (ZONE),0,0,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,AL,2002,062,Baldwin,1003.0
10/02/2002,61,UPPER MOBILE (ZONE),0,0,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,AL,2002,061,Mobile,1097.0
10/02/2002,63,LOWER MOBILE (ZONE),0,100000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,AL,2002,063,Mobile,1097.0
10/02/2002,48,EAST BATON ROUGE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,048,East Baton Rouge,22033.0
10/02/2002,34,POINTE COUPEE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,034,Pointe Coupee,22077.0
10/02/2002,62,ORLEANS (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,062,Orleans,22071.0
10/02/2002,66,LOWER TERREBONNE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,066,Terrebonne,22109.0
10/02/2002,70,LOWER ST. BERNARD (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,070,St. Bernard,22087.0
10/02/2002,64,UPPER ST. BERNARD (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,064,St. Bernard,22087.0
10/02/2002,63,UPPER PLAQUEMINES (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,063,Plaquemines,22075.0
10/02/2002,59,UPPER LAFOURCHE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,059,Lafourche,22057.0
10/02/2002,61,UPPER JEFFERSON (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,061,Jefferson,22051.0
10/02/2002,38,TANGIPAHOA (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,038,Tangipahoa,22105.0
10/02/2002,40,ST. TAMMANY (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,040,St. Tammany,22103.0
10/02/2002,58,ST. JOHN THE BAPTIST (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,058,St. John The Baptist,22095.0
10/02/2002,57,ST. JAMES (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,057,St. James,22093.0
10/02/2002,37,ST. HELENA (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,037,St. Helena,22091.0
10/02/2002,60,ST. CHARLES (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,060,St. Charles,22089.0
10/02/2002,35,WEST FELICIANA (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,035,West Feliciana,22125.0
10/02/2002,47,WEST BATON ROUGE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,047,West Baton Rouge,22121.0
10/02/2002,39,WASHINGTON (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,039,Washington,22117.0
10/02/2002,65,UPPER TERREBONNE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,065,Terrebonne,22109.0
10/02/2002,69,LOWER PLAQUEMINES (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,069,Plaquemines,22075.0
10/02/2002,67,LOWER LAFOURCHE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,067,Lafourche,22057.0
10/02/2002,68,LOWER JEFFERSON (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,068,Jefferson,22051.0
10/02/2002,50,LIVINGSTON (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,050,Livingston,22063.0
10/02/2002,46,IBERVILLE (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,046,Iberville,22047.0
10/02/2002,36,EAST FELICIANA (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,036,East Feliciana,22037.0
10/02/2002,56,ASSUMPTION (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,056,Assumption,22007.0
10/02/2002,49,ASCENSION (ZONE),0,5540000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,049,Ascension,22005.0
10/03/2002,31,ALLEN (ZONE),500000,2000000,0,0.0,10/03/2002,Hurricane (Typhoon),0,0.0,LA,2002,031,Allen,22003.0
10/03/2002,43,ACADIA (ZONE),11500000,50000000,0,0.0,10/03/2002,Hurricane (Typhoon),2,0.0,LA,2002,043,Acadia,22001.0
