FIPS_CODE,FIRE_YEAR,FIRE_FREQUENCY,TOTAL_FIRE_SIZE,STATE
01001,2003,43,274.8,AL
01001,2004,86,744.5,AL
01001,2005,63,234.2,AL
01001,2006,62,534.7,AL
01001,2007,93,477.3,AL
01001,2008,30,108.0,AL
01001,2009,16,131.0,AL
01001,2010,25,156.9,AL
01001,2011,30,135.85,AL
01001,2012,31,114.0,AL
01001,2013,39,383.6,AL
01001,2014,48,440.7,AL
01001,2015,24,232.8,AL
01001,2016,29,192.45,AL
01001,2017,13,47.1,AL
01001,2018,10,102.8,AL
01001,2019,24,182.25,AL
01001,2020,13,32.45,AL
01003,2003,135,2565.7999999999997,AL
01003,2004,167,2246.65,AL
01003,2005,135,2978.8,AL
01003,2006,199,6558.0,AL
01003,2007,126,2290.0,AL
01003,2008,67,1035.75,AL
01003,2009,86,1367.35,AL
01003,2010,102,544.45,AL
01003,2011,184,6599.75,AL
01003,2012,75,2572.5,AL
01003,2013,107,2322.96,AL
01003,2014,104,2420.65,AL
01003,2015,141,2576.93,AL
01003,2016,128,1186.5,AL
01003,2017,49,744.5,AL
01003,2018,51,1044.3,AL
01003,2019,52,1550.97,AL
01003,2020,46,2067.55,AL
01005,2003,8,56.3,AL
01005,2004,43,445.7,AL
01005,2005,13,402.5,AL
01005,2006,24,808.7,AL
01005,2007,16,282.8,AL
01005,2008,16,254.2,AL
01005,2009,17,290.0,AL
01005,2010,11,118.0,AL
01005,2011,34,478.1,AL
01005,2012,19,255.0,AL
01005,2013,16,524.5,AL
01005,2014,23,236.45,AL
01005,2015,12,146.8,AL
01005,2016,49,358.55,AL
01005,2017,18,352.05,AL
01005,2018,9,282.16999999999996,AL
01005,2019,11,155.35,AL
01005,2020,12,40.75,AL
01007,2003,25,270.0,AL
01007,2004,59,1030.6,AL
01007,2005,30,373.85,AL
01007,2006,53,1355.5,AL
01007,2007,35,858.8,AL
01007,2008,33,505.46,AL
01007,2009,22,162.8,AL
01007,2010,19,63.65,AL
01007,2011,25,532.6,AL
01007,2012,21,306.5,AL
01007,2013,22,639.61,AL
01007,2014,34,507.15,AL
01007,2015,27,119.95,AL
01007,2016,54,504.7,AL
01007,2017,4,407.6,AL
01007,2018,7,118.1,AL
01007,2019,21,6758.1,AL
01007,2020,9,267.6,AL
01009,2003,32,250.0,AL
01009,2004,20,220.0,AL
01009,2005,30,235.75,AL
01009,2006,46,641.85,AL
01009,2007,70,354.25,AL
01009,2008,21,127.1,AL
01009,2009,15,256.25,AL
01009,2010,33,627.5,AL
01009,2011,13,279.25,AL
01009,2012,19,51.5,AL
01009,2013,26,227.25,AL
01009,2014,46,687.0,AL
01009,2015,19,178.75,AL
01009,2016,53,1675.2,AL
01009,2017,7,72.1,AL
01009,2018,14,44.0,AL
01009,2019,20,156.5,AL
01009,2020,5,42.5,AL
01011,2003,6,86.1,AL
01011,2004,35,847.7,AL
01011,2005,22,374.6,AL
01011,2006,25,898.2,AL
01011,2007,34,171.8,AL
01011,2008,16,441.7,AL
01011,2009,4,154.0,AL
01011,2010,15,347.8,AL
01011,2011,23,437.5,AL
01011,2012,13,252.5,AL
01011,2013,7,98.7,AL
01011,2014,17,126.55,AL
01011,2015,12,203.5,AL
01011,2016,23,77.69,AL
01011,2017,14,306.0,AL
01011,2018,11,145.95,AL
01011,2019,24,715.35,AL
01011,2020,7,89.3,AL
01013,2003,47,248.6,AL
01013,2004,34,222.4,AL
01013,2005,54,664.9,AL
01013,2006,55,469.5,AL
01013,2007,50,424.70000000000005,AL
01013,2008,31,89.3,AL
01013,2009,29,313.46,AL
01013,2010,21,159.5,AL
01013,2011,42,498.95,AL
01013,2012,34,264.5,AL
01013,2013,61,813.9000000000001,AL
01013,2014,45,402.25,AL
01013,2015,60,1546.15,AL
01013,2016,58,197.18,AL
01013,2017,23,81.24,AL
01013,2018,19,59.3,AL
01013,2019,34,95.93,AL
01013,2020,23,95.0,AL
01015,2003,33,322.35,AL
01015,2004,32,889.5,AL
01015,2005,34,581.25,AL
01015,2006,42,1187.35,AL
