fips,state,hpi_2025,hpi_2026,hpi_2027,hpi_2028,hpi_2029,hpi_2030,hpi_chg_2025,hpi_chg_2026,hpi_chg_2027,hpi_chg_2028,hpi_chg_2029,hpi_chg_2030
1001,ALABAMA,299.3,317.1,335.9,354.3,375.3,392.2,6.8,5.9,5.9,5.5,5.9,4.5
1003,ALABAMA,651.0,695.1,733.7,761.2,792.9,821.4,2.0,6.8,5.6,3.7,4.2,3.6
1005,ALABAMA,299.0,316.7,343.2,363.7,389.5,413.1,8.6,5.9,8.4,6.0,7.1,6.0
1007,ALABAMA,277.4,296.8,317.4,340.1,360.8,384.8,9.5,7.0,6.9,7.2,6.1,6.7
1009,ALABAMA,317.6,338.1,356.0,376.6,392.0,410.5,4.9,6.4,5.3,5.8,4.1,4.7
1013,ALABAMA,262.0,275.0,291.9,308.3,321.0,341.4,7.9,5.0,6.1,5.6,4.1,6.3
1015,ALABAMA,459.5,477.7,499.1,519.9,537.7,560.0,2.7,3.9,4.5,4.2,3.4,4.2
1017,ALABAMA,338.8,361.9,379.0,400.5,421.4,445.1,5.3,6.8,4.7,5.7,5.2,5.6
1019,ALABAMA,296.0,314.4,334.8,355.1,376.7,392.6,7.7,6.2,6.5,6.1,6.1,4.2
1021,ALABAMA,355.7,376.1,392.8,411.2,433.7,454.1,4.7,5.7,4.4,4.7,5.5,4.7
1023,ALABAMA,155.5,165.6,172.9,179.8,186.8,193.8,6.2,6.5,4.4,4.0,3.9,3.7
1025,ALABAMA,287.1,307.2,329.6,351.9,375.1,396.6,9.0,7.0,7.3,6.8,6.6,5.7
1027,ALABAMA,246.4,262.3,282.6,300.1,320.0,338.5,9.0,6.4,7.8,6.2,6.6,5.8
1029,ALABAMA,321.9,347.1,364.9,391.9,408.6,431.3,5.2,7.8,5.1,7.4,4.3,5.5
1031,ALABAMA,304.8,320.8,342.6,360.4,383.0,397.5,6.5,5.3,6.8,5.2,6.3,3.8
1033,ALABAMA,383.2,400.5,422.1,443.2,467.5,485.7,5.1,4.5,5.4,5.0,5.5,3.9
1035,ALABAMA,98.6,103.3,98.3,104.4,102.9,105.6,7.2,4.9,-4.9,6.2,-1.5,2.7
1037,ALABAMA,165.1,184.0,192.8,208.7,222.8,237.1,8.7,11.4,4.8,8.2,6.7,6.4
1039,ALABAMA,247.2,264.4,280.7,298.2,316.3,337.2,9.2,7.0,6.2,6.2,6.1,6.6
1041,ALABAMA,196.2,210.9,223.8,240.2,257.1,269.1,9.0,7.5,6.1,7.3,7.0,4.7
