row_id,row_id,county_fips5,yr,STATE,Unemployment_Rate,Real_GDP,FLOOD_FREQUENCY,FLOOD_PROPERTY_DAMAGE,FLOOD_DURATION_HOURS,HEAT_STRESS_INDEX,DROUGHT_ANNUAL_MEAN_INDEX,FIRE_FREQUENCY,FIRE_SIZE,deaths_hurricane,injuries_hurricane,damage_hurricane
0,0,1001,2000,ALABAMA,4.1,,1.0,200000.0,3.5,0.5466147471581584,-2.32,0.0,0.0,0.0,0.0,0.0
1,1,1001,2001,ALABAMA,4.1,1041239,2.0,37000.0,4.25,0.2957787576981281,1.43,0.0,0.0,0.0,0.0,0.0
2,2,1001,2002,ALABAMA,4.8,1080135,0.0,0.0,0.0,0.3789726045112172,-0.76,0.0,0.0,0.0,0.0,0.0
3,3,1001,2003,ALABAMA,5.0,1111465,2.0,58000.0,6.0,0.2776108775412391,2.39,43.0,274.8,0.0,0.0,0.0
4,4,1001,2004,ALABAMA,4.7,1283522,1.0,8000.0,3.5,0.4112459009665519,0.0,86.0,744.5,0.0,0.0,0.0
5,5,1001,2005,ALABAMA,3.8,1297102,6.0,19000.0,76.0,0.2836896059835663,0.9,63.0,234.2,0.0,0.0,0.0
6,6,1001,2006,ALABAMA,3.3,1384119,1.0,0.0,1.8,0.4954037889783443,-1.34,62.0,534.7,0.0,0.0,0.0
7,7,1001,2007,ALABAMA,3.4,1407555,1.0,0.0,1.62,0.5701983841852767,-3.33,93.0,477.3,0.0,0.0,0.0
8,8,1001,2008,ALABAMA,5.3,1283751,0.0,0.0,0.0,0.4353776747801884,-1.38,30.0,108.0,0.0,0.0,0.0
9,9,1001,2009,ALABAMA,8.9,1316046,3.0,1580000.0,17.0,0.4305044257020203,1.64,16.0,131.0,0.0,0.0,0.0
10,10,1001,2010,ALABAMA,8.8,1409007,0.0,0.0,0.0,0.5529463148945841,-0.78,25.0,156.9,0.0,0.0,0.0
11,11,1001,2011,ALABAMA,8.3,1493906,0.0,0.0,0.0,0.4814282680799977,-2.57,30.0,135.85,0.0,0.0,0.0
12,12,1001,2012,ALABAMA,7.1,1726577,0.0,0.0,0.0,0.2918449565414336,-1.16,31.0,114.0,0.0,0.0,0.0
13,13,1001,2013,ALABAMA,6.3,1618151,1.0,0.0,10.5,0.3113506604736178,1.43,39.0,383.6,0.0,0.0,0.0
14,14,1001,2014,ALABAMA,5.8,1629762,2.0,0.0,35.33,0.4740619181175619,0.06,48.0,440.7,0.0,0.0,0.0
15,15,1001,2015,ALABAMA,5.2,1765826,2.0,0.0,3.67,0.4106527020216639,-1.13,24.0,232.8,0.0,0.0,0.0
16,16,1001,2016,ALABAMA,5.1,1846256,2.0,0.0,5.98,0.489209669720756,-0.49,29.0,192.45,0.0,0.0,0.0
17,17,1001,2017,ALABAMA,4.0,1762558,2.0,0.0,7.0,0.3408668840573591,1.75,13.0,47.1,0.0,0.0,0.0
18,18,1001,2018,ALABAMA,3.6,1787534,0.0,0.0,0.0,0.3683668936375567,1.67,10.0,102.8,0.0,0.0,0.0
19,19,1001,2019,ALABAMA,2.9,1740015,0.0,0.0,0.0,0.5399882860282043,-0.68,24.0,182.25,0.0,0.0,0.0
20,20,1001,2020,ALABAMA,5.3,1746979,0.0,0.0,0.0,0.3753306937006395,1.43,13.0,32.45,0.0,0.0,0.0
