feature,importance
index_nsa_lag1,0.9819742511467511
hpi_momentum,0.008336824610121833
yr,0.004111649057515342
avg_home_price,0.0011165312832644003
purchase_per_capita,0.0006509702404318447
drought_annual_mean_index,0.0004787570242172599
gdp_per_capita,0.0004580940647569907
unemployment_rate,0.0003361064965091764
index_nsa_lag2,0.00031898509134324567
heat_stress_index_roll3,0.00029339027835815953
heat_stress_index,0.0002921469445831419
drought_annual_mean_index_roll3,0.00027110846186558586
total_amt_purchase,0.00020689727863447077
state_encoded,0.00016469577734140286
prop_rate,0.00012158261612533715
