experiment,model,n_features,test_R2,test_RMSE,test_MAE,test_MAPE_%,cv_R2_mean,cv_R2_std,time_sec
A_climate_only,Bagging,23,0.204109,207.6919,122.3965,37.04,0.283854,0.019021,12.66
A_climate_only,XGBoost,23,0.203118,207.8211,120.0452,34.83,0.321965,0.013737,1.95
A_climate_only,HistGradientBoosting,23,0.19531,208.8368,120.3556,34.58,0.279473,0.010972,9.35
A_climate_only,GradientBoosting,23,0.190646,209.4412,120.2111,34.41,0.292603,0.012716,78.11
A_climate_only,RandomForest,23,0.19027,209.4897,120.8566,35.04,0.273673,0.015703,9.96
A_climate_only,ExtraTrees,23,0.165219,212.7057,122.2037,35.02,0.236988,0.007635,1.28
B_economic_only,XGBoost,15,0.905772,71.4632,44.8885,13.89,0.947499,0.001536,1.64
B_economic_only,GradientBoosting,15,0.899502,73.8027,48.1886,15.14,0.930373,0.002864,97.18
B_economic_only,HistGradientBoosting,15,0.888146,77.8607,49.1,15.26,0.927419,0.003245,9.24
B_economic_only,Bagging,15,0.86844,84.4414,52.77,16.14,0.908248,0.003702,10.54
B_economic_only,ExtraTrees,15,0.859602,87.2315,55.4948,17.09,0.882997,0.001973,1.35
B_economic_only,RandomForest,15,0.853675,89.0537,55.0705,16.64,0.891746,0.004122,11.17
C_econ_climate,XGBoost,43,0.898449,74.1883,45.6953,14.06,0.943215,0.001965,2.5
C_econ_climate,GradientBoosting,43,0.892056,76.4876,49.5032,15.39,0.929924,0.002346,215.74
C_econ_climate,HistGradientBoosting,43,0.885249,78.8626,49.9019,15.47,0.926741,0.004376,10.09
C_econ_climate,Bagging,43,0.872308,83.1906,52.3976,15.96,0.906157,0.003291,18.87
C_econ_climate,ExtraTrees,43,0.865308,85.4405,53.3696,16.36,0.89311,0.001567,2.97
C_econ_climate,RandomForest,43,0.861099,86.765,54.0336,16.3,0.895057,0.003535,23.65
D_econ_climate_lag,Bagging,44,0.99567,15.3185,8.3518,2.76,0.993954,0.000449,19.25
D_econ_climate_lag,GradientBoosting,44,0.995629,15.3908,8.0688,2.64,0.995946,0.000168,224.41
D_econ_climate_lag,ExtraTrees,44,0.994634,17.0533,7.8387,2.6,0.993701,0.000343,2.48
D_econ_climate_lag,RandomForest,44,0.994214,17.7087,8.3451,2.7,0.993412,0.000574,20.88
D_econ_climate_lag,XGBoost,44,0.985959,27.586,9.999,2.92,0.993937,0.000409,2.44
D_econ_climate_lag,HistGradientBoosting,44,0.982107,31.1412,9.9145,2.8,0.993178,0.000925,9.86
