experiment,model,RMSE,MAE,R2,MAPE_%,time_sec
all_features,GradientBoosting,16.7421,7.881,0.994839,1.527718138042542e+17,91.75
all_features,Bagging,17.4078,8.066,0.99442,1.5227429325157933e+17,12.78
all_features,ExtraTrees,19.2703,7.6186,0.993162,1.4287750092477397e+17,1.67
all_features,RandomForest,19.9021,8.0516,0.992706,1.4486193686071187e+17,11.31
all_features,StackingEnsemble,20.2971,8.7399,0.992414,1.4211636033593197e+17,19.05
all_features,DecisionTree,24.6674,11.6964,0.988795,1.5853655346832384e+17,0.77
all_features,AdaBoost,28.5985,20.9875,0.984939,1.7210803969134173e+17,23.81
all_features,XGBoost,31.24,9.4551,0.982029,1.496031349807734e+17,2.12
all_features,HistGradientBoosting,32.0054,9.6489,0.981137,1.5146750062468422e+17,8.26
all_features,KNN_10,66.8166,40.5705,0.91779,1.5599641420631235e+17,0.16
all_features,HuberRegressor,125293.4934,3053.0573,-289074.226132,1.620198592928419e+17,0.26
all_features,Lasso,194248.9874,4712.2917,-694817.486105,1.6471719835697302e+17,0.11
all_features,BayesianRidge,217830.6377,5268.3557,-873758.203348,1.6448231323549795e+17,0.03
all_features,LinearRegression,217841.2571,5268.6105,-873843.398471,1.644935955700095e+17,0.02
all_features,Ridge,217841.4862,5268.6017,-873845.236165,1.6448158060515184e+17,0.01
all_features,ElasticNet,282086.2861,6758.1737,-1465269.423725,1.5969048619714346e+17,0.1
all_features,MLP_NeuralNet,332495.2795,7921.2019,-2035750.696242,1.5852296370190982e+17,3.12
climate_only,Bagging,217.019,125.6351,0.13274,2.1950035798764813e+17,10.91
climate_only,RandomForest,217.4855,124.1985,0.129007,2.190700462745774e+17,6.7
climate_only,XGBoost,218.4091,126.2366,0.121594,2.1525786131876045e+17,1.84
climate_only,HistGradientBoosting,218.9509,125.6977,0.117231,2.2061008933051306e+17,3.51
climate_only,GradientBoosting,220.4098,126.7665,0.105427,2.172830927384836e+17,40.06
climate_only,ExtraTrees,220.8596,125.3689,0.101773,2.1864038026902605e+17,0.88
climate_only,AdaBoost,224.8397,165.8644,0.069107,3.4071909403332115e+17,9.52
climate_only,MLP_NeuralNet,229.0306,131.0965,0.034081,2.0817125800568778e+17,8.6
climate_only,LinearRegression,230.9981,131.2236,0.017414,2.3510170298805024e+17,0.02
climate_only,Ridge,230.9984,131.2236,0.017411,2.3510072128550307e+17,0.01
climate_only,Lasso,231.0318,131.1947,0.017127,2.3485928718261264e+17,2.94
climate_only,BayesianRidge,231.0458,131.217,0.017008,2.349354873961681e+17,0.05
climate_only,ElasticNet,231.3602,131.1909,0.014331,2.344025089705606e+17,0.38
climate_only,KNN_10,232.8628,135.9066,0.001486,2.240297106312662e+17,0.18
climate_only,DecisionTree,242.361,137.8328,-0.081632,2.068489702999126e+17,0.54
climate_only,HuberRegressor,244.2699,135.1159,-0.098737,2.0271595329381766e+17,0.15
