FIPS,State,County,mean_actual_hpi_change,pred_full,pred_lags_macro,climate_contribution,nri_wildfire_risk,nri_hurricane_risk,nri_coastal_flood_risk,nri_inland_flood_risk,nri_drought_risk,nri_heatwave_risk,nri_tornado_risk,nri_overall_risk_score,nri_risk_percentile,composite_climate_risk_score,climate_risk_rank
36081,NY,Queens,4.6814285714285715,4.4825997,5.7551527,-1.2725532,15.521628498727736,97.0796829370046,96.6,99.33206106870229,13.708651399491096,99.67886962106616,90.5852417302799,99.17302798982189,99.17302798982189,84.49,1
22071,LA,Orleans,2.8042857142857143,4.1405897,5.4613786,-1.3207886,48.091603053435115,99.6662494785148,81.2,93.51145038167938,56.902035623409674,97.23827874116893,71.56488549618321,98.25063613231552,98.25063613231552,84.36,2
6009,CA,Calaveras,6.238571428571428,6.68957,8.742528,-2.0529583,99.45928753180662,,,77.57633587786259,98.25063613231552,84.10404624277457,7.983460559796438,86.60941475826972,86.60941475826972,83.68,3
22051,LA,Jefferson,4.255714285714285,5.1180153,6.2989388,-1.1809237,27.25826972010178,99.79140592407175,95.6,95.99236641221374,50.03180661577608,97.495183044316,72.20101781170484,98.66412213740456,98.66412213740456,83.58,4
29510,MO,Saint Louis City,6.42,6.7099977,7.8635383,-1.153541,2.989821882951654,32.08176887776387,,96.97837150127225,0.0,99.80732177263968,98.8549618320611,98.69592875318067,98.69592875318067,83.41,5
48113,TX,Dallas,7.5042857142857144,7.3133745,8.371773,-1.058398,80.27989821882952,73.55027117229871,,99.55470737913485,34.19211195928753,99.93577392421325,99.84096692111959,99.65012722646308,99.65012722646308,83.21,6
22109,LA,Terrebonne,2.4571428571428577,3.4078393,4.841458,-1.4336188,23.346055979643765,98.41468502294535,94.0,81.93384223918575,83.7150127226463,93.6737315350032,92.93893129770991,94.24300254452926,94.24300254452926,83.14,7
48245,TX,Jefferson,5.735714285714286,5.6363044,6.795628,-1.1593235,92.43002544529261,98.24780976220275,78.8,91.34860050890585,87.59541984732824,92.74245343609503,98.50508905852416,95.67430025445293,95.67430025445293,81.93,8
6085,CA,Santa Clara,5.6242857142857146,4.397687,5.2483816,-0.85069436,97.39185750636133,,88.8,99.77735368956743,99.20483460559797,98.58702633269107,55.78880407124682,99.74554707379136,99.74554707379136,81.79,9
22057,LA,Lafourche,3.4299999999999997,3.6197553,4.9944806,-1.3747253,18.924936386768447,97.74718397997496,81.8,64.63104325699746,86.35496183206108,92.13230571612074,94.529262086514,91.34860050890585,91.34860050890585,81.27,10
6103,CA,Tehama,6.457142857142857,6.8104634,8.350669,-1.5402052,98.47328244274809,,,90.04452926208651,98.79134860050893,57.19332048811817,12.91348600508906,88.89949109414758,88.89949109414758,81.21,11
28049,MS,Hinds,3.7914285714285714,3.8222256,4.9609537,-1.1387284,54.64376590330788,86.35794743429287,,95.13358778625954,80.50254452926208,97.14193962748877,98.15521628498728,94.30661577608143,94.30661577608143,81.09,12
48355,TX,Nueces,6.357142857142857,6.145845,7.11211,-0.96626514,73.98218829516541,98.58156028368792,72.2,93.28880407124684,97.99618320610686,98.04110468850352,96.11959287531806,96.62849872773536,96.62849872773536,81.04,13
17077,IL,Jackson,4.385714285714285,5.253399,6.894477,-1.6410778,11.450381679389311,43.34584897788903,,76.52671755725191,59.223918575063614,90.68721901091843,74.20483460559797,87.11832061068702,87.11832061068702,81.03,14
22105,LA,Tangipahoa,5.109999999999999,5.519849,6.6688433,-1.1489946,78.30788804071247,97.91405924071756,69.39999999999999,91.22137404580153,84.2557251908397,93.12780989081567,90.235368956743,93.32061068702288,93.32061068702288,80.67,15
27053,MN,Hennepin,5.3028571428571425,6.360248,7.138917,-0.7786688,74.87277353689568,,,98.02798982188295,40.71246819338422,99.10083493898524,99.61832061068702,98.31424936386767,98.31424936386767,80.57,16
22093,LA,Saint James,3.1771428571428575,2.8620543,5.5830307,-2.7209764,4.802798982188295,94.11764705882352,83.39999999999998,25.47709923664122,90.87150127226464,64.35452793834297,67.55725190839695,71.02417302798982,71.02417302798982,80.56,17
48029,TX,Bexar,6.868571428571428,7.8954864,8.579438,-0.6839519,92.36641221374046,83.52106800166875,,99.65012722646308,69.529262086514,99.38985228002568,99.90458015267176,99.42748091603053,99.42748091603053,80.46,18
48201,TX,Harris,5.422857142857143,6.271157,6.9162054,-0.64504796,85.43256997455471,100.0,83.2,99.96819338422391,75.06361323155215,99.71098265895952,100.0,99.93638676844785,99.93638676844785,80.44,19
22019,LA,Calcasieu,2.6471428571428572,4.457692,5.395135,-0.93744284,90.55343511450383,98.2060909470171,84.0,94.46564885496184,85.7824427480916,88.53564547206165,95.57888040712469,95.70610687022901,95.70610687022901,80.38,20
22005,LA,Ascension,4.2371428571428575,5.069735,6.2521553,-1.1824208,26.622137404580155,97.9557780559032,79.2,77.7671755725191,81.3295165394402,91.20102761721259,95.26081424936386,92.14376590330787,92.14376590330787,80.31,21
41019,OR,Douglas,7.824285714285715,8.32049,9.416504,-1.0960133,97.83715012722645,,62.8,95.19720101781171,16.316793893129773,87.47591522157995,6.424936386768448,92.93893129770991,92.93893129770991,80.1,22
36047,NY,Kings,3.7014285714285715,4.0637865,4.66138,-0.5975932,38.54961832061068,97.41343345848976,87.2,99.36386768447836,13.931297709923664,99.74309569685293,94.17938931297711,99.26844783715013,99.26844783715013,79.77,23
22097,LA,Saint Landry,3.781428571428571,4.5731463,5.954995,-1.3818493,65.29898218829516,92.24030037546935,41.8,87.43638676844785,96.97837150127225,87.95761078998073,94.147582697201,88.19974554707379,88.19974554707379,79.74,24
22001,LA,Acadia,2.575714285714286,3.6094093,4.960489,-1.3510793,61.60941475826972,96.6624947851481,45.4,86.41857506361323,94.91094147582696,80.63583815028902,71.50127226463104,88.61323155216286,88.61323155216286,79.73,25
6089,CA,Shasta,6.13,6.6993475,7.681604,-0.982257,99.49109414758269,,,94.8473282442748,76.08142493638677,85.74181117533719,15.426208651399492,93.38422391857506,93.38422391857506,79.52,26
48439,TX,Tarrant,7.998571428571429,8.165817,8.735784,-0.56996644,91.47582697201018,72.2569879015436,,99.14122137404581,36.10050890585242,99.45407835581244,99.87277353689569,99.14122137404581,99.14122137404581,79.51,27
42101,PA,Philadelphia,5.515714285714286,6.567031,7.1041803,-0.53714955,28.68956743002545,94.28452231956612,85.39999999999998,99.58651399491094,21.660305343511453,99.9678869621066,98.66412213740456,99.58651399491094,99.58651399491094,79.5,28
53077,WA,Yakima,8.611428571428572,8.672136,9.57713,-0.9049939,98.91857506361325,,,92.87531806615776,36.1323155216285,93.51316634553629,19.529262086513995,94.02035623409668,94.02035623409668,79.3,29
