subgroup,experiment,R2,RMSE,MAE,MAPE_%,time_sec
high_disaster,climate_only,0.28048,234.4741,145.6605,37.89,5.79
high_disaster,economic_only,0.908366,83.6762,52.3312,14.12,9.45
high_disaster,econ_climate,0.903798,85.7363,53.4587,14.38,9.62
low_disaster,climate_only,-0.007105,163.3998,96.5092,31.95,4.11
low_disaster,economic_only,0.868704,58.9982,38.1679,13.76,8.62
low_disaster,econ_climate,0.866333,59.5286,38.7563,14.09,8.65
hurricane_exposed,climate_only,0.462376,118.3025,78.3272,27.38,8.74
hurricane_exposed,economic_only,0.876188,56.7722,35.6512,11.99,8.3
hurricane_exposed,econ_climate,0.890152,53.4748,33.8311,11.34,9.34
no_hurricane,climate_only,0.192606,214.4787,123.1739,34.65,9.42
no_hurricane,economic_only,0.896518,76.7846,48.3838,15.06,9.13
no_hurricane,econ_climate,0.890598,78.9505,49.8418,15.43,9.59
