feature,importance_mean,importance_std,type
state_encoded,0.02024926927686501,0.0025753446230366234,economic/context
unemployment_rate,0.019335925013479915,0.002621379995695714,economic/context
purchase_per_capita,0.016355341042556093,0.004223572748311441,economic/context
total_population,0.011288740267038189,0.0016304928946197339,economic/context
drought_annual_mean_index,0.010065327040466676,0.0006263727740211462,climate
gdp_per_capita,0.008908806670320835,0.0010689775447279871,economic/context
flood_frequency_cumsum,0.007172306566968612,0.001585046883737789,climate
fire_size,0.006040404208424133,0.0012173287074665811,climate
drought_x_gdp,0.003533162388019839,0.0011959346337654746,climate
drought_annual_mean_index_roll3,0.0035328382551686353,0.0012722967500846348,climate
hurricane_impact_cumsum,0.0026130197254131014,0.0008867201934663791,climate
heat_stress_index,0.002508178167806996,0.0015309059203927904,climate
hurricane_impact_roll3,0.0024770633564383583,0.0015818948899794826,climate
real_gdp,0.0022696169612974825,0.0009746186679078621,economic/context
climate_stress_index,0.0022571177729087343,0.002096314743177519,climate
flood_duration_hours,0.0019329039368768176,0.0030524067062970214,climate
fire_x_population,0.0013299610720345135,0.001012408140729279,climate
flood_frequency_roll3,0.001326213999742243,0.00048578069982261826,climate
flood_x_proprate,0.0008745637524499195,0.00035471903894240586,climate
flood_damage_per_event,0.0008509515165473047,0.0013510379997684508,climate
fire_total_area,0.0005823680294596123,0.001835513974062467,climate
flood_property_damage,0.0004964793046092098,0.0009508789308615672,climate
damage_hurricane,0.00039454012792137225,0.0001607249875308778,climate
fire_frequency,0.0003344721710231813,0.0009657014082480831,climate
hurricane_impact,2.575519034579976e-05,2.4818757903672176e-05,climate
log_gdp,0.0,0.0,economic/context
yr_sq,0.0,0.0,economic/context
injuries_hurricane,0.0,0.0,climate
deaths_hurricane,0.0,0.0,climate
log_population,0.0,0.0,economic/context
log_amt_purchase,0.0,0.0,economic/context
yr_centered,0.0,0.0,economic/context
heat_x_unemployment,-0.00016172782463175217,0.0006187599673101192,climate
heat_stress_index_roll3,-0.000305747850282434,0.002000760756314657,climate
flood_frequency,-0.0003492977385388896,0.00032652997011635296,climate
prop_rate,-0.0007717772102312059,0.0012241133040928414,economic/context
flood_severity,-0.0016228861561886632,0.0010543187486421897,climate
fire_frequency_roll3,-0.0031075707668058337,0.0010729921686413138,climate
fire_frequency_cumsum,-0.0034400126112545506,0.0014168825967514663,climate
climate_stress_x_avgprice,-0.00691062314637354,0.001272830391497671,climate
total_home_purchase,-0.009327243089970128,0.0012122981377082173,economic/context
total_amt_purchase,-0.01644169492636475,0.0016983092284086124,economic/context
avg_home_price,-0.01645230792386958,0.001440539911330322,economic/context
