experiment,model,n_features,R2,RMSE,MAE,MAPE_%,time_sec,cv_R2_mean,cv_R2_std
A_climate_only,HistGradientBoosting,23,-0.566183,4.8994,3.6694,144.2,9.29,0.198876,0.006524
A_climate_only,GradientBoosting,23,-0.58797,4.9334,3.695,147.24,72.55,0.207461,0.004033
A_climate_only,RandomForest,23,-0.561481,4.8921,3.6963,141.46,7.17,0.205335,0.001856
A_climate_only,XGBoost,23,-0.586152,4.9306,3.6811,155.93,1.9,0.228079,0.001432
B_economic_only,HistGradientBoosting,15,0.000216,3.9145,2.6794,198.4,3.74,0.553302,0.005226
B_economic_only,GradientBoosting,15,-0.041938,3.9962,2.7294,204.34,89.52,0.548328,0.006037
B_economic_only,RandomForest,15,-0.051881,4.0152,2.7622,202.84,7.11,0.55427,0.005082
B_economic_only,XGBoost,15,-0.094907,4.0965,2.765,203.85,1.77,0.555084,0.007114
C_econ_climate,HistGradientBoosting,43,-0.011999,3.9383,2.6914,197.79,5.92,0.560871,0.007274
C_econ_climate,GradientBoosting,43,-0.038351,3.9893,2.7306,205.07,194.86,0.558503,0.006883
C_econ_climate,RandomForest,43,-0.001908,3.9187,2.6731,202.18,18.93,0.564943,0.006246
C_econ_climate,XGBoost,43,-0.055297,4.0217,2.7348,208.23,2.16,0.569712,0.004382
D_econ_climate_lag,HistGradientBoosting,44,0.02498,3.8657,2.6696,195.36,4.28,0.575281,0.007399
D_econ_climate_lag,GradientBoosting,44,0.010081,3.8951,2.696,203.65,201.92,0.577445,0.005553
D_econ_climate_lag,RandomForest,44,0.030473,3.8548,2.6529,198.79,17.28,0.578614,0.005833
D_econ_climate_lag,XGBoost,44,0.00034,3.9143,2.6989,197.79,2.23,0.590758,0.003805
