feature,importance_mean,importance_std
avg_home_price,0.3931350629860876,0.0072342979736179855
total_amt_purchase,0.2611564259800794,0.006376425526139447
state_encoded,0.1307994990375015,0.0033948444156423306
real_gdp,0.06435521637864515,0.0020475168521147833
total_population,0.05014180102705444,0.0012355324270186257
log_amt_purchase,0.023935112625314826,0.0009690107312690643
gdp_per_capita,0.023171700747786895,0.00039403384901589005
log_gdp,0.015217946484665967,0.0007924227526885324
purchase_per_capita,0.014474975029530102,0.0007991765707032478
flood_frequency_cumsum,0.011382808516152098,0.000876791692215343
fire_frequency_cumsum,0.01077309818140798,0.0007082427864691628
prop_rate,0.010668789690720049,0.0006532109401897641
log_population,0.006849842752476765,0.00024403619920685933
heat_stress_index_roll3,0.006409331091173131,0.00034473633189178505
fire_frequency_roll3,0.005855308729731223,0.0003331496365311716
total_home_purchase,0.004625723732667719,0.0005008326089465404
unemployment_rate,0.003093121702406232,0.0009400939468057683
hurricane_impact_cumsum,0.0028375529531277865,0.00021362179201413905
flood_frequency_roll3,0.0024524538426279885,0.00041207925670470316
drought_annual_mean_index_roll3,0.002239818428817919,0.0001864121981331315
fire_size,0.0013954855405279964,0.00019891394245301285
flood_duration_hours,0.0011626640393804343,0.00024485113488938854
heat_stress_index,0.0011439099577413847,0.00013355408280530588
fire_frequency,0.0011094862331856193,0.00012528026078716535
fire_x_population,0.0008271475829434105,0.00010363151184769835
climate_stress_x_avgprice,0.0007484169758525284,9.542413238304203e-05
heat_x_unemployment,0.00046790884020415647,0.0006308324925477503
flood_x_proprate,0.00043210379411388054,0.00017355500834696024
flood_property_damage,0.00024321725402751682,0.0001153085718889884
fire_total_area,0.00014806485715408436,0.0001362617703370179
flood_severity,0.00013399158968271374,0.00010917154546345586
flood_frequency,0.00011275410865355662,3.5130772675504e-05
flood_damage_per_event,0.0001004333008567171,5.4791908944831935e-05
hurricane_impact_roll3,5.7760614785140604e-05,1.783078209065373e-05
climate_stress_index,8.470730653420411e-06,0.00015960011389090027
injuries_hurricane,0.0,0.0
yr_centered,0.0,0.0
deaths_hurricane,-6.454456540239128e-07,7.841646971429307e-07
hurricane_impact,-8.655092311404822e-07,1.8477112518020707e-06
yr_sq,-7.688034497965734e-06,6.275878920665619e-06
damage_hurricane,-2.4260721308722032e-05,1.3851380868755628e-05
drought_annual_mean_index,-0.0006790126740359725,0.0001949035537120457
drought_x_gdp,-0.00226019209442071,0.00033394141020336946
