State,Counties,Climate_R2,Economic_R2,Econ_Climate_R2,Climate_Delta_R2
RHODE ISLAND,5,-0.269358,0.309906,0.409463,0.099557
LOUISIANA,61,0.738372,0.795522,0.888015,0.092493
ARKANSAS,68,0.287569,0.84264,0.891473,0.048833
ALASKA,8,0.116666,0.535177,0.577368,0.042191
KENTUCKY,108,0.315797,0.810252,0.842271,0.032019
MONTANA,42,0.60501,0.848608,0.879517,0.030909
INDIANA,92,-0.048886,0.801884,0.831943,0.030059
WASHINGTON,39,-0.19554,0.84256,0.867568,0.025008
COLORADO,59,0.364768,0.842676,0.860881,0.018205
OKLAHOMA,61,0.221164,0.886467,0.898986,0.012519
MARYLAND,24,0.576368,0.926688,0.938007,0.011319
MINNESOTA,87,0.212924,0.871262,0.881725,0.010463
NORTH CAROLINA,99,0.302938,0.807198,0.817271,0.010073
VIRGINIA,129,0.447029,0.871708,0.879472,0.007764
ALABAMA,64,0.383496,0.850006,0.855492,0.005486
FLORIDA,65,0.255078,0.864066,0.867984,0.003918
SOUTH CAROLINA,45,0.494509,0.926935,0.93067,0.003735
IOWA,99,0.174974,0.79172,0.79525,0.00353
TEXAS,177,0.280995,0.783313,0.785689,0.002376
MISSISSIPPI,68,0.570436,0.798751,0.799852,0.001101
NEBRASKA,65,0.271841,0.842688,0.843789,0.001101
GEORGIA,138,0.346152,0.808716,0.809707,0.000991
OREGON,34,0.007377,0.868301,0.868371,7e-05
SOUTH DAKOTA,40,0.240195,0.797538,0.796011,-0.001527
ARIZONA,14,0.594327,0.651469,0.649851,-0.001618
NEW MEXICO,27,0.326634,0.935839,0.933544,-0.002295
WYOMING,22,0.163713,0.85805,0.85369,-0.00436
WEST VIRGINIA,40,0.238798,0.902406,0.896913,-0.005493
ILLINOIS,97,0.140679,0.914451,0.908791,-0.00566
NORTH DAKOTA,27,0.572541,0.957334,0.950354,-0.00698
TENNESSEE,93,0.440436,0.840708,0.833577,-0.007131
PENNSYLVANIA,64,0.568165,0.937106,0.927609,-0.009497
VERMONT,14,0.315191,0.931407,0.921522,-0.009885
OHIO,88,-0.007855,0.721311,0.710382,-0.010929
NEW YORK,62,0.460975,0.920661,0.908592,-0.012069
UTAH,27,-0.113934,0.834851,0.818568,-0.016283
MAINE,16,0.189702,0.864418,0.84792,-0.016498
CALIFORNIA,58,0.341959,0.91116,0.893145,-0.018015
KANSAS,73,0.269001,0.832544,0.813196,-0.019348
MISSOURI,105,0.166606,0.863306,0.840294,-0.023012
NEW HAMPSHIRE,10,0.520075,0.903584,0.871153,-0.032431
MASSACHUSETTS,14,0.238609,0.879492,0.844223,-0.035269
NEVADA,14,0.256771,0.842337,0.806504,-0.035833
NEW JERSEY,21,0.313968,0.859848,0.819257,-0.040591
IDAHO,42,-0.18885,0.770397,0.728742,-0.041655
MICHIGAN,83,-0.329943,0.862056,0.78078,-0.081276
WISCONSIN,72,-0.154076,0.809535,0.715306,-0.094229
CONNECTICUT,8,0.033645,0.498341,0.339785,-0.158556
