state,n_counties,n_train,n_test,A_climate_only_R2,B_economic_only_R2,C_econ_climate_R2,D_econ_clim_lag_R2,delta_R2_climate,delta_R2_lag,A_climate_only_model,B_economic_only_model,C_econ_climate_model,D_econ_clim_lag_model
RHODE ISLAND,5,85,15,-0.269358,0.309906,0.409463,0.607689,0.099557,0.198226,XGB,HistGB,HistGB,HistGB
LOUISIANA,61,1024,183,0.738372,0.795522,0.888015,0.982337,0.092493,0.094322,XGB,XGB,RF,XGB
ARKANSAS,68,1117,203,0.287569,0.84264,0.891473,0.973421,0.048833,0.081948,XGB,XGB,HistGB,HistGB
ALASKA,8,136,24,0.116666,0.535177,0.577368,0.98275,0.042191,0.405382,XGB,XGB,XGB,HistGB
KENTUCKY,108,1789,321,0.315797,0.810252,0.842271,0.980244,0.032019,0.137973,XGB,HistGB,HistGB,HistGB
MONTANA,42,670,126,0.60501,0.848608,0.879517,0.951723,0.030909,0.072206,RF,XGB,XGB,XGB
INDIANA,92,1562,276,-0.048886,0.801884,0.831943,0.976841,0.030059,0.144898,XGB,HistGB,HistGB,HistGB
WASHINGTON,39,660,117,-0.19554,0.84256,0.867568,0.959173,0.025008,0.091605,XGB,HistGB,HistGB,HistGB
COLORADO,59,971,175,0.364768,0.842676,0.860881,0.978356,0.018205,0.117475,RF,HistGB,HistGB,XGB
OKLAHOMA,61,995,183,0.221164,0.886467,0.898986,0.978747,0.012519,0.079761,XGB,HistGB,XGB,RF
MARYLAND,24,408,72,0.576368,0.926688,0.938007,0.994128,0.011319,0.056121,XGB,RF,RF,HistGB
MINNESOTA,87,1456,261,0.212924,0.871262,0.881725,0.986947,0.010463,0.105222,XGB,XGB,HistGB,HistGB
NORTH CAROLINA,99,1682,297,0.302938,0.807198,0.817271,0.979169,0.010073,0.161898,HistGB,XGB,XGB,HistGB
VIRGINIA,129,2114,386,0.447029,0.871708,0.879472,0.981128,0.007764,0.101656,HistGB,XGB,XGB,RF
ALABAMA,64,1054,192,0.383496,0.850006,0.855492,0.977567,0.005486,0.122075,RF,HistGB,XGB,RF
FLORIDA,65,1075,195,0.255078,0.864066,0.867984,0.982069,0.003918,0.114085,XGB,HistGB,HistGB,RF
SOUTH CAROLINA,45,759,135,0.494509,0.926935,0.93067,0.965934,0.003735,0.035264,HistGB,HistGB,XGB,HistGB
