state,n_counties,n_train,n_test,A_climate_only_R2,A_climate_only_RMSE,A_climate_only_model,B_economic_only_R2,B_economic_only_RMSE,B_economic_only_model,C_econ_climate_R2,C_econ_climate_RMSE,C_econ_climate_model,D_econ_clim_lag_R2,D_econ_clim_lag_RMSE,D_econ_clim_lag_model,delta_R2_climate,delta_R2_lag
ALABAMA,64,1054,192,0.383496,67.0439,RF,0.850006,33.0695,HistGB,0.855492,32.4591,XGB,0.977567,12.7891,RF,0.005486,0.122075
ALASKA,8,136,24,0.116666,98.0791,XGB,0.535177,71.1471,XGB,0.577368,67.8414,XGB,0.98275,13.7059,HistGB,0.042191,0.405382
ARIZONA,14,238,42,0.594327,108.4564,RF,0.651469,100.5282,XGB,0.649851,100.7613,XGB,0.889025,56.7257,RF,-0.001618,0.239174
ARKANSAS,68,1117,203,0.287569,66.1247,XGB,0.84264,31.0771,XGB,0.891473,25.8084,HistGB,0.973421,12.772,HistGB,0.048833,0.081948
CALIFORNIA,58,986,174,0.341959,466.1127,RF,0.91116,171.2653,HistGB,0.893145,187.8283,RF,0.985572,69.0189,XGB,-0.018015,0.092427
COLORADO,59,971,175,0.364768,254.4871,RF,0.842676,126.6474,HistGB,0.860881,119.0948,HistGB,0.978356,46.975,XGB,0.018205,0.117475
CONNECTICUT,8,136,24,0.033645,140.8254,XGB,0.498341,101.4652,XGB,0.339785,116.4007,XGB,0.9937,11.3703,HistGB,-0.158556,0.653915
FLORIDA,65,1075,195,0.255078,191.3354,XGB,0.864066,81.7343,HistGB,0.867984,80.5478,HistGB,0.982069,29.6852,RF,0.003918,0.114085
GEORGIA,138,2281,411,0.346152,96.5781,HistGB,0.808716,52.2372,XGB,0.809707,52.1016,HistGB,0.980033,16.8769,HistGB,0.000991,0.170326
IDAHO,42,708,126,-0.18885,161.472,HistGB,0.770397,70.9614,HistGB,0.728742,77.1303,HistGB,0.89054,48.9961,HistGB,-0.041655,0.161798
ILLINOIS,97,1593,291,0.140679,85.3193,XGB,0.914451,26.9202,XGB,0.908791,27.7964,HistGB,0.994776,6.6522,HistGB,-0.00566,0.085985
INDIANA,92,1562,276,-0.048886,94.555,XGB,0.801884,41.0942,HistGB,0.831943,37.8485,HistGB,0.976841,14.0501,HistGB,0.030059,0.144898
IOWA,99,1662,296,0.174974,70.0051,HistGB,0.79172,35.1739,HistGB,0.79525,34.8745,HistGB,0.981651,10.4402,RF,0.00353,0.186401
KANSAS,73,1198,218,0.269001,97.675,XGB,0.832544,46.7493,HistGB,0.813196,49.3762,HistGB,0.976415,17.5445,RF,-0.019348,0.163219
KENTUCKY,108,1789,321,0.315797,77.3036,XGB,0.810252,40.7095,HistGB,0.842271,37.1161,HistGB,0.980244,13.1359,HistGB,0.032019,0.137973
LOUISIANA,61,1024,183,0.738372,53.1007,XGB,0.795522,46.9441,XGB,0.888015,34.7406,RF,0.982337,13.7971,XGB,0.092493,0.094322
MAINE,16,271,48,0.189702,166.5797,RF,0.864418,68.1399,XGB,0.84792,72.1666,XGB,0.964537,34.8485,XGB,-0.016498,0.116617
MARYLAND,24,408,72,0.576368,140.945,XGB,0.926688,58.6331,RF,0.938007,53.9173,RF,0.994128,16.5939,HistGB,0.011319,0.056121
MASSACHUSETTS,14,238,42,0.238609,319.6805,RF,0.879492,127.1805,XGB,0.844223,144.5985,XGB,0.965774,67.7785,XGB,-0.035269,0.121551
